광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,송파구,202011,문화레져,동물,애완동물/용품,3,1,114,169854000,3841,1489949,44221
서울,송파구,202011,문화레져,동물병원,병원-동물병원,0,0,59,360395000,4104,6108394,87816
서울,송파구,202011,문화레져,레져,낚시터,0,0,1,126000,6,126000,21000
서울,송파구,202011,문화레져,레져,노래방,12,16,395,350698000,6278,887843,55861
서울,송파구,202011,문화레져,레져,놀이동산,0,0,5,920129000,74387,184025752,12369
서울,송파구,202011,문화레져,레져,당구장,0,0,128,51505000,3130,402384,16455
서울,송파구,202011,문화레져,레져,레저-기타,0,0,1,1720000,7,1720000,245714
서울,송파구,202011,문화레져,레져,무술 도장,0,0,13,11567000,46,889769,251457
서울,송파구,202011,문화레져,레져,복권,0,0,1,48000,9,48100,5344
서울,송파구,202011,문화레져,레져,볼링장,0,0,7,52872000,2201,7553164,24022
서울,송파구,202011,문화레져,레져,비디오감상실,0,0,3,1733000,61,577667,28410
서울,송파구,202011,문화레져,레져,수상스포츠,0,0,1,287000,3,287000,95667
서울,송파구,202011,문화레져,레져,수영장,0,0,7,24360000,146,3479952,166847
서울,송파구,202011,문화레져,오락실/PC방,인터넷PC방,0,2,95,251073000,48982,2642870,5126
서울,송파구,202011,문화레져,오락실/PC방,전자오락실,0,0,1,25000,18,25000,1389
서울,송파구,202011,문화레져,완구/아동용자전거,장난감/오락기기,3,0,22,88325000,1813,4014765,48718
서울,송파구,202011,문화레져,운명/운세/작명,운명/운세/작명,0,1,8,6588000,43,823500,153209
서울,송파구,202011,문화레져,음반/음원/영상,악기,1,0,10,7466000,89,746560,83883
서울,송파구,202011,문화레져,음반/음원/영상,음반/음원,0,1,25,35382000,180,1415296,196569
서울,송파구,202011,문화레져,전시/관람/체험,단전호흡,0,0,2,1170000,3,585000,390000
서울,송파구,202011,문화레져,전시/관람/체험,수족관,0,0,10,82344000,3428,8234422,24021
서울,송파구,202011,문화레져,전시/관람/체험,연극/음악/공연,0,1,4,453000,12,113300,37767
서울,송파구,202011,문화레져,전시/관람/체험,영화관,6,1,103,282163000,12817,2739450,22015
서울,송파구,202011,문화레져,전시/관람/체험,자연학습원,0,0,8,50428000,9450,6303469,5336
서울,송파구,202011,문화레져,예술품,선물/기념품,0,0,5,2737000,416,547478,6580
서울,송파구,202011,문화레져,전시/관람/체험,테마카페,0,0,6,6469000,521,1078208,12417
서울,송파구,202011,문화레져,화원,꽃집/꽃배달,2,2,171,110814000,2728,648034,40621
서울,송파구,202011,문화레져,화원,화훼/조경,0,0,5,4812000,188,962400,25596
서울,송파구,202011,생활서비스,기계/장비대여,정밀기기 대여,2,0,12,-289000,278,-24042,-1038
서울,송파구,202011,생활서비스,농기구,농기구/자재,0,0,2,7938000,97,3968850,81832
서울,송파구,202011,생활서비스,대중교통,고속버스,0,0,4,9201000,21,2300250,438143
서울,송파구,202011,생활서비스,미용/사우나/마사지,가발,0,0,5,32024000,137,6404700,233748
서울,송파구,202011,생활서비스,미용/사우나/마사지,네일케어,0,2,137,61819000,671,451231,92129
서울,송파구,202011,생활서비스,미용/사우나/마사지,목욕탕,0,0,35,48941000,3821,1398317,12808
서울,송파구,202011,문화레져,종교,종교용품,0,0,4,4699000,68,1174750,69103
서울,송파구,202011,문화레져,예술품,그림/액자,0,0,10,3953000,70,395330,56476
서울,송파구,202011,문화레져,예술품,공예품,0,0,25,21060000,187,842417,112623
서울,송파구,202011,문화레져,예술품,골동품/예술품,0,0,1,29000,1,29000,29000
서울,송파구,202011,문화레져,레져,스포츠강습,0,1,33,25754000,667,780421,38612
서울,송파구,202011,문화레져,레져,스포츠센터,19,6,353,888833000,3162,2517942,281098
서울,송파구,202011,문화레져,레져,실내골프장,2,0,80,1479258000,8164,18490729,181193
서울,송파구,202011,문화레져,레져,실내야구연습장,0,0,4,8418000,163,2104500,51644
서울,송파구,202011,문화레져,레져,요가,0,0,35,67771000,132,1936311,513416
서울,송파구,202011,문화레져,레져,유아교육/키즈카페,0,0,28,81033000,1585,2894030,51125
서울,송파구,202011,문화레져,레져,탁구장,0,0,9,3482000,45,386889,77378
서울,송파구,202011,문화레져,레져,테니스장,0,0,4,7888000,31,1972000,254452
서울,송파구,202011,문화레져,레져용품,골프용품,0,0,15,94198000,1019,6279833,92441
서울,송파구,202011,문화레져,레져용품,보트,0,0,1,1816000,235,1815500,7726
서울,송파구,202011,문화레져,레져용품,수중장비,0,0,2,452000,2,226000,226000
서울,송파구,202011,문화레져,레져용품,스포츠용품,2,1,111,687980000,4978,6198019,138204
서울,송파구,202011,문화레져,레져용품,스포츠의류전문,0,0,15,103802000,580,6920166,178970
서울,송파구,202011,문화레져,레져용품,자전거-성인용,1,0,39,59005000,1648,1512942,35804
서울,송파구,202011,문화레져,숙박,1급호텔,0,0,3,22046000,225,7348597,97981
서울,송파구,202011,문화레져,숙박,2급호텔,0,0,4,51201000,661,12800174,77459
서울,송파구,202011,문화레져,숙박,고시원,1,1,4,950000,5,237500,190000
서울,송파구,202011,문화레져,숙박,모텔,2,1,75,179341000,4559,2391208,39338
서울,송파구,202011,문화레져,숙박,숙박예약,0,0,1,141000,2,141000,70500
서울,송파구,202011,문화레져,숙박,여관/민박,0,0,9,15603000,358,1733667,43584
서울,송파구,202011,문화레져,숙박,특급호텔,0,0,4,812448000,2704,203111986,300462
서울,송파구,202011,문화레져,숙박,호텔-기타,0,0,2,8017000,233,4008450,34407
서울,송파구,202011,문화레져,여행사,여행사,0,0,2,5834000,10,2917000,583400
서울,송파구,202011,생활서비스,미용/사우나/마사지,미용실,13,12,1108,1151963000,24624,1039678,46782
서울,송파구,202011,생활서비스,미용/사우나/마사지,미용제품,2,1,49,84809000,1050,1730800,80771
서울,송파구,202011,생활서비스,미용/사우나/마사지,체형/두피관리,7,2,41,59212000,408,1444203,145128
서울,송파구,202011,생활서비스,미용/사우나/마사지,스포츠마사지,2,2,42,39743000,322,946272,123427
서울,송파구,202011,전문서비스,개인병원,병원-안과,0,0,32,484059000,5031,15126853,96215
서울,송파구,202011,전문서비스,개인병원,병원-영상의학과,0,0,5,162394000,1218,32478884,133329
서울,송파구,202011,전문서비스,개인병원,병원-외과,0,0,4,11098000,159,2774385,69796
서울,송파구,202011,전문서비스,개인병원,병원-이비인후과,0,1,50,98383000,7881,1967665,12484
서울,송파구,202011,전문서비스,개인병원,병원-일반,2,1,165,2782071000,23126,16861034,120301
서울,송파구,202011,전문서비스,개인병원,병원-재활의학과,0,1,11,165977000,2236,15088784,74229
서울,송파구,202011,전문서비스,개인병원,병원-정형외과,0,0,44,456871000,9475,10383422,48219
서울,송파구,202011,전문서비스,개인병원,병원-치과,0,0,322,1746348000,12066,5423440,144733
서울,송파구,202011,전문서비스,개인병원,병원-피부과의원,1,0,47,438470000,7057,9329154,62133
서울,송파구,202011,전문서비스,교육/연구/학교,대학교,0,0,2,1777000,247,888700,7196
서울,송파구,202011,전문서비스,개인병원,병원-신경정신과,0,0,13,46400000,1276,3569208,36363
서울,송파구,202011,전문서비스,교육/연구/학교,독서실,1,1,117,137779000,3007,1177594,45819
서울,송파구,202011,전문서비스,교육/연구/학교,유치원,0,0,3,9909000,28,3303073,353901
서울,송파구,202011,전문서비스,금융,손해보험,0,0,2,79030000,545,39514830,145009
서울,송파구,202011,전문서비스,금융,우체국,0,0,2,345000,4,172500,86250
서울,송파구,202011,전문서비스,대학병원,병원-대학/종합병원,0,0,5,7797949000,72874,1559589795,107006
서울,송파구,202011,전문서비스,보건소,보건소,0,0,1,1132000,59,1131900,19185
서울,송파구,202011,전문서비스,보관/창고업,물품보관소,1,0,2,3787000,4,1893265,946633
서울,송파구,202011,전문서비스,부동산,부동산-건물관리,0,0,6,41025000,4056,6837497,10115
서울,송파구,202011,전문서비스,부동산,부동산-주택/아파트 임대,0,0,24,48476000,1610,2019846,30110
서울,송파구,202011,전문서비스,교육/연구/학교,어린이집,3,1,354,879496000,2704,2484453,325257
서울,송파구,202011,전문서비스,부동산,부동산중개,1,0,5,11143000,3505,2228540,3179
서울,송파구,202011,전문서비스,개인병원,병원-신경외과,0,0,5,25826000,535,5165294,48274
서울,송파구,202011,전문서비스,개인병원,병원-성형외과,0,0,5,76003000,187,15200680,406435
서울,송파구,202011,일반유통,자동차,수입차,0,0,5,307709000,258,61541857,1192672
서울,송파구,202011,일반유통,자동차,오토바이,0,0,20,39262000,202,1963080,194364
서울,송파구,202011,일반유통,자동차,중고차,0,0,1,11000000,25,11000000,440000
서울,송파구,202011,일반유통,전기/가전,가전제품,1,0,57,2463956000,4593,43227303,536459
서울,송파구,202011,일반유통,전기/가전,영상/음향기기,0,0,2,3407000,4,1703500,851750
서울,송파구,202011,일반유통,전기/가전,전기자재/장비,0,0,9,7699000,34,855442,226441
서울,송파구,202011,일반유통,전기/가전,조명기구,1,1,69,89716000,1201,1300225,74701
서울,송파구,202011,일반유통,주방,그릇/주방기기,1,0,40,242891000,4375,6072277,55518
