광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,양천구,202011,전문서비스,전문용역서비스,공증인,0,0,1,2688000,11,2687500,244318
서울,양천구,202011,전문서비스,전문용역서비스,농어업서비스,0,0,5,6019000,38,1203800,158395
서울,양천구,202011,전문서비스,전문용역서비스,번역/통역서비스,1,1,50,62484000,751,1249680,83201
서울,양천구,202011,전문서비스,전문용역서비스,법무사,0,0,21,18854000,67,897802,281401
서울,양천구,202011,전문서비스,전문용역서비스,변호사,0,1,5,23616000,48,4723190,491999
서울,양천구,202011,전문서비스,전문용역서비스,용역서비스-기타,0,0,5,5732000,13,1146310,440888
서울,양천구,202011,전문서비스,전문용역서비스,이벤트/행사 대행,0,0,7,9199000,95,1314114,96829
서울,양천구,202011,전문서비스,전문용역서비스,청소/소독 대행,4,0,5,2200000,15,439960,146653
서울,양천구,202011,전문서비스,학원,문화센터,0,0,4,17120000,64,4280077,267505
서울,양천구,202011,전문서비스,학원,학습지,0,0,10,10535000,122,1053495,86352
서울,양천구,202011,전문서비스,학원,학원-기타,0,9,499,2751694000,9066,5514417,303518
서울,양천구,202011,전문서비스,학원,학원-어학,0,6,311,1127159000,2960,3624304,380797
서울,양천구,202011,전문서비스,학원,학원-예체능,84,13,242,300758000,1425,1242803,211058
서울,양천구,202011,전문서비스,학원,학원-입시/보습,0,11,621,1723552000,6488,2775446,265652
서울,양천구,202011,전문서비스,학원,학원-직업,0,0,21,123267000,265,5869848,465158
서울,양천구,202011,전문서비스,한의학,병원-한의학과,0,0,154,357856000,8669,2323738,41280
서울,양천구,202011,종합유통,마트/슈퍼마켓,대형마트,0,0,7,3193849000,77949,456264106,40974
서울,양천구,202011,전문서비스,전문용역서비스,회계서비스,0,0,13,21236000,304,1633546,69856
서울,양천구,202011,종합유통,마트/슈퍼마켓,슈퍼마켓 기업형,1,0,16,744692000,49933,46543266,14914
서울,양천구,202011,전문서비스,임신출산,산후조리원,0,0,7,16833000,20,2404716,841651
서울,양천구,202011,전문서비스,부동산,부동산중개,0,0,5,1251000,159,250260,7870
서울,양천구,202011,전문서비스,상담,결혼정보회사,0,0,23,35815000,160,1557178,223844
서울,양천구,202011,전문서비스,상담,심리상담,2,0,20,45573000,218,2278645,209050
서울,양천구,202011,전문서비스,상조,상조서비스,0,1,1,464000,28,464200,16579
서울,양천구,202011,전문서비스,상조,장례식장,0,0,3,38582000,17,12860633,2269524
서울,양천구,202011,전문서비스,상품권,농협-상품권,0,0,1,1800000,3,1800000,600000
서울,양천구,202011,전문서비스,상품권,상품권/기프티콘,1,0,13,4251851000,216733,327065423,19618
서울,양천구,202011,전문서비스,약국,약국,2,3,185,974435000,63621,5267216,15316
서울,양천구,202011,전문서비스,약국,제약회사,0,0,11,3740343000,3099,340031141,1206951
서울,양천구,202011,전문서비스,웨딩,예식장,0,0,4,96707000,232,24176750,416841
서울,양천구,202011,전문서비스,전문용역서비스,가스관리사업소,0,0,3,281541000,172,93846840,1636863
서울,양천구,202011,전문서비스,웨딩,혼수전문점,0,0,1,120000,7,120000,17143
서울,양천구,202011,전문서비스,의료기관,요양원,0,0,12,16129000,58,1344115,278093
서울,양천구,202011,전문서비스,의료기관,치료/발달센터,0,0,3,770000,10,256680,77004
서울,양천구,202011,전문서비스,의료기기,보청기,1,0,7,7118000,22,1016857,323545
서울,양천구,202011,전문서비스,의료기기,안경점,0,0,87,277754000,2821,3192569,98459
서울,양천구,202011,전문서비스,의료기기,의료기기,1,1,36,142272000,521,3952000,273075
서울,양천구,202011,전문서비스,의료기기,치과기공소,0,0,2,1600000,2,800000,800000
서울,양천구,202011,전문서비스,인쇄/출판/광고,광고,2,0,29,19910000,74,686548,269052
서울,양천구,202011,전문서비스,인쇄/출판/광고,인쇄업,0,0,23,31318000,322,1361669,97262
서울,양천구,202011,전문서비스,인쇄/출판/광고,정기간행물 발행,0,0,6,440000,16,73333,27500
서울,양천구,202011,전문서비스,인쇄/출판/광고,출판사,0,0,3,6726000,226,2242163,29763
서울,양천구,202011,전문서비스,의료기관,대체의학,0,0,1,304000,14,304000,21714
서울,양천구,202011,종합유통,마트/슈퍼마켓,슈퍼마켓 일반형,2,2,154,2828193000,169394,18364890,16696
서울,양천구,202011,종합유통,백화점,백화점,0,0,6,4052064000,65215,675344072,62134
서울,양천구,202011,종합유통,수입품,수입품,0,0,2,644000,13,321750,49500
서울,양천구,202011,종합유통,온라인,전자상거래,0,0,87,24809432000,488757,285165883,50760
서울,양천구,202011,종합유통,온라인,홈쇼핑,0,0,1,887000,13,887000,68231
서울,양천구,202011,종합유통,전용매장,복지매점,0,0,2,813000,142,406475,5725
서울,양천구,202011,종합유통,편의점,편의점,2,1,276,1937605000,322297,7020309,6012
서울,양천구,202011,전문서비스,부동산,부동산-주택/아파트 임대,0,0,4,2781000,362,695215,7682
