광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,은평구,202010,문화레져,동물,동물농장,0,0,1,571000,3,570500,190167
서울,은평구,202010,문화레져,동물,애완동물/용품,1,0,62,86021000,2380,1387432,36143
서울,은평구,202010,문화레져,동물병원,병원-동물병원,0,0,36,245573000,3111,6821466,78937
서울,은평구,202010,문화레져,레져,골프장,0,0,1,4649000,93,4649000,49989
서울,은평구,202010,문화레져,레져,낚시터,0,0,1,44000,1,44000,44000
서울,은평구,202010,문화레져,레져,노래방,1,3,175,111100000,5042,634859,22035
서울,은평구,202010,문화레져,레져,당구장,2,3,98,42819000,2926,436930,14634
서울,은평구,202010,문화레져,레져,무술 도장,0,0,8,6380000,28,797500,227857
서울,은평구,202010,문화레져,레져,볼링장,0,0,3,25920000,1015,8640017,25537
서울,은평구,202010,문화레져,레져,비디오감상실,0,0,4,3737000,23,934250,162478
서울,은평구,202010,문화레져,레져,수영장,0,1,3,17594000,113,5864633,155698
서울,은평구,202010,문화레져,레져,스포츠강습,0,1,10,11432000,341,1143210,33525
서울,은평구,202010,문화레져,레져,스포츠센터,5,3,128,330391000,1434,2581183,230399
서울,은평구,202010,문화레져,전시/관람/체험,수족관,0,0,6,2962000,90,493633,32909
서울,은평구,202010,문화레져,전시/관람/체험,연극/음악/공연,0,0,1,200000,1,200000,200000
서울,은평구,202010,문화레져,전시/관람/체험,영화관,2,0,40,71735000,5335,1793366,13446
서울,은평구,202010,문화레져,전시/관람/체험,자연학습원,0,0,2,18382000,180,9190750,102119
서울,은평구,202010,문화레져,전시/관람/체험,테마카페,0,0,4,3994000,299,998463,13357
서울,은평구,202010,문화레져,종교,종교용품,0,0,6,9836000,22,1639333,447091
서울,은평구,202010,문화레져,화원,꽃집/꽃배달,1,0,62,26649000,855,429821,31168
서울,은평구,202010,문화레져,화원,화훼/조경,0,0,3,1802000,57,600667,31614
서울,은평구,202010,생활서비스,기계/장비대여,정밀기기 대여,1,1,4,9266000,115,2316385,80570
서울,은평구,202010,생활서비스,농기구,농기구/자재,0,0,1,402000,4,401500,100375
서울,은평구,202010,생활서비스,대중교통,버스/지하철,0,0,1,792000,4,792200,198050
서울,은평구,202010,생활서비스,미용/사우나/마사지,가발,0,0,1,7800000,18,7799500,433306
서울,은평구,202010,생활서비스,미용/사우나/마사지,네일케어,0,2,65,20713000,272,318657,76150
서울,은평구,202010,생활서비스,미용/사우나/마사지,목욕탕,0,0,23,40096000,3941,1743287,10174
서울,은평구,202010,생활서비스,미용/사우나/마사지,미용실,6,11,874,607737000,16205,695351,37503
서울,은평구,202010,생활서비스,미용/사우나/마사지,미용제품,0,0,28,34419000,270,1229234,127476
서울,은평구,202010,생활서비스,미용/사우나/마사지,스포츠마사지,1,1,18,21254000,160,1180786,132838
서울,은평구,202010,생활서비스,미용/사우나/마사지,체형/두피관리,0,1,7,8407000,28,1201000,300250
서울,은평구,202010,생활서비스,미용/사우나/마사지,피부관리/마사지,0,0,70,61641000,258,880589,238919
서울,은평구,202010,생활서비스,사진,사진관,2,2,38,19486000,446,512790,43691
서울,은평구,202010,생활서비스,사진,사진기/광학제품,0,0,4,5845000,16,1461244,365311
서울,은평구,202010,생활서비스,사회단체,복지시설,0,0,3,8639000,142,2879696,60839
서울,은평구,202010,생활서비스,사회단체,사회단체,1,0,8,79414000,144,9926746,551486
서울,은평구,202010,문화레져,음반/음원/영상,음반/음원,2,0,4,4505000,35,1126225,128711
서울,은평구,202010,문화레져,음반/음원/영상,악기,0,0,11,9769000,70,888100,139559
서울,은평구,202010,문화레져,완구/아동용자전거,장난감/오락기기,1,0,12,84213000,3161,7017745,26641
서울,은평구,202010,문화레져,레져,실내골프장,0,0,20,37836000,740,1891800,51130
서울,은평구,202010,문화레져,레져,실내야구연습장,0,0,1,1991000,33,1991200,60339
서울,은평구,202010,문화레져,레져,요가,1,0,19,17348000,64,913053,271063
서울,은평구,202010,문화레져,레져,유아교육/키즈카페,0,0,13,27493000,357,2114815,77010
서울,은평구,202010,문화레져,레져,탁구장,0,0,6,1813000,21,302167,86333
서울,은평구,202010,문화레져,레져,테니스장,0,0,3,6490000,39,2163333,166410
서울,은평구,202010,문화레져,레져용품,골프용품,0,0,2,620000,27,310000,22963
서울,은평구,202010,문화레져,레져용품,낚시용품,0,0,1,10392000,268,10392000,38776
서울,은평구,202010,문화레져,레져용품,수중장비,0,0,1,4560000,2,4559500,2279750
서울,은평구,202010,문화레져,레져용품,스포츠용품,0,2,45,218166000,1693,4848127,128863
서울,은평구,202010,문화레져,레져용품,스포츠의류전문,0,0,17,122917000,1204,7230417,102091
서울,은평구,202010,문화레져,레져용품,자전거-성인용,0,0,19,25319000,365,1332592,69368
서울,은평구,202010,문화레져,숙박,고시원,0,0,3,980000,3,326667,326667
서울,은평구,202010,문화레져,숙박,모텔,2,0,58,119705000,2562,2063887,46723
서울,은평구,202010,문화레져,숙박,여관/민박,0,0,9,12952000,283,1439111,45767
서울,은평구,202010,문화레져,숙박,호텔-기타,0,0,1,2285000,51,2285000,44804
서울,은평구,202010,문화레져,여행사,여행사,0,0,1,560000,1,560000,560000
서울,은평구,202010,문화레져,예술품,공예품,0,0,19,5977000,102,314563,58595
서울,은평구,202010,문화레져,예술품,그림/액자,1,1,9,2604000,56,289300,46495
