광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,종로구,202012,전문서비스,개인병원,병원-신경외과,0,0,4,103953000,1337,25988315,77751
서울,종로구,202012,전문서비스,개인병원,병원-신경정신과,0,0,11,17791000,919,1617392,19359
서울,종로구,202012,전문서비스,개인병원,병원-안과,0,0,12,240790000,2560,20065836,94059
서울,종로구,202012,전문서비스,개인병원,병원-영상의학과,0,0,1,34302000,154,34301800,222739
서울,종로구,202012,전문서비스,개인병원,병원-외과,0,0,1,53409000,147,53409300,363329
서울,종로구,202012,전문서비스,개인병원,병원-이비인후과,0,0,16,51701000,2354,3231304,21963
서울,종로구,202012,전문서비스,개인병원,병원-일반,0,1,53,494484000,8833,9329879,55981
서울,종로구,202012,전문서비스,개인병원,병원-재활의학과,0,0,5,34710000,525,6942064,66115
서울,종로구,202012,전문서비스,개인병원,병원-정형외과,0,0,14,139436000,2601,9959728,53609
서울,종로구,202012,전문서비스,개인병원,병원-치과,0,3,155,1386724000,10528,8946608,131718
서울,종로구,202012,전문서비스,개인병원,병원-피부과의원,0,0,7,92754000,880,13250519,105402
서울,종로구,202012,전문서비스,개인병원,병원-소아과,0,0,4,8999000,619,2249850,14539
서울,종로구,202012,전문서비스,교육/연구/학교,독서실,0,0,13,23888000,767,1837567,31145
서울,종로구,202012,전문서비스,교육/연구/학교,어린이집,0,0,69,202015000,659,2927753,306548
서울,종로구,202012,전문서비스,교육/연구/학교,연구소,0,0,1,1320000,1,1320000,1320000
서울,종로구,202012,전문서비스,교육/연구/학교,유치원,0,0,1,346000,1,346400,346400
서울,종로구,202012,전문서비스,금융,새마을금고,0,0,5,214055000,21659,42810991,9883
서울,종로구,202012,전문서비스,금융,생명보험,0,0,7,22638707000,576986,3234100958,39236
서울,종로구,202012,전문서비스,금융,손해보험,0,0,19,76939841000,398399,4049465331,193123
서울,종로구,202012,전문서비스,금융,우체국,0,0,3,2127000,113,709033,18824
서울,종로구,202012,전문서비스,대학병원,병원-대학/종합병원,0,0,20,7672713000,76140,383635670,100771
서울,종로구,202012,전문서비스,교육/연구/학교,대학교,0,0,8,27716000,419,3464449,66147
서울,종로구,202012,전문서비스,개인병원,병원-성형외과,0,0,3,36439000,71,12146333,513225
서울,종로구,202012,전문서비스,개인병원,병원-비뇨기과,0,0,12,27655000,918,2304583,30125
서울,종로구,202012,일반유통,의류,아동복/유아복,0,0,1,467000,15,467400,31160
서울,종로구,202012,일반유통,의류,의류,11,13,551,2835219000,42277,5145589,67063
서울,종로구,202012,일반유통,의류,의류 대여,0,0,1,180000,1,180000,180000
서울,종로구,202012,일반유통,의류,의류-기타,0,0,3,9330000,119,3109967,78403
서울,종로구,202012,일반유통,의류,한복,0,1,32,20980000,113,655625,185664
서울,종로구,202012,일반유통,자동차,오토바이,1,0,23,20908000,254,909043,82315
서울,종로구,202012,일반유통,전기/가전,가전제품,0,1,183,351482000,1676,1920666,209715
서울,종로구,202012,일반유통,전기/가전,영상/음향기기,0,0,5,3589000,15,717800,239267
서울,종로구,202012,일반유통,전기/가전,전기자재/장비,0,0,30,25624000,181,854124,141568
서울,종로구,202012,일반유통,전기/가전,조명기구,4,0,210,161174000,1623,767493,99306
서울,종로구,202012,일반유통,주방,그릇/주방기기,1,0,44,81326000,892,1848329,91173
서울,종로구,202012,전문서비스,개인병원,병원-산부인과,0,0,10,78742000,1685,7874191,46731
서울,종로구,202012,일반유통,주방,정수기/연수기기,0,0,1,45000,1,45000,45000
서울,종로구,202012,일반유통,침구류,자석요/온돌매트/옥매트,0,0,1,249000,5,249000,49800
서울,종로구,202012,일반유통,침구류,침구류,0,1,185,208616000,798,1127654,261423
서울,종로구,202012,일반유통,컴퓨터소프트웨어,컴퓨터 소프트웨어,1,0,14,41838000,416,2988393,100571
서울,종로구,202012,일반유통,패션잡화,가방/핸드백,0,1,51,34393000,255,674367,134873
서울,종로구,202012,일반유통,패션잡화,시계/귀금속,10,4,416,960501000,1455,2308896,660138
