광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,중구,202012,전문서비스,상담,결혼정보회사,1,0,8,10270000,43,1283750,238837
서울,중구,202012,전문서비스,상담,심리상담,1,0,4,1730000,10,432500,173000
서울,중구,202012,전문서비스,상조,상조서비스,0,0,14,29271945000,629138,2090853247,46527
서울,중구,202012,전문서비스,상조,장례식장,0,0,1,3843000,4,3843000,960750
서울,중구,202012,전문서비스,상품권,농협-상품권,0,0,2,650000,2,325000,325000
서울,중구,202012,전문서비스,상품권,상품권/기프티콘,1,0,47,25977114000,306999,552704556,84616
서울,중구,202012,전문서비스,약국,약국,0,1,170,1039336000,50937,6113744,20404
서울,중구,202012,전문서비스,약국,제약회사,0,0,19,76869367000,65082,4045756180,1181116
서울,중구,202012,전문서비스,웨딩,예식서비스,0,0,3,10517000,42,3505617,250401
서울,중구,202012,전문서비스,웨딩,예식장,0,0,1,12000000,6,12000000,2000000
서울,중구,202012,전문서비스,웨딩,혼수전문점,0,0,4,2439000,16,609750,152438
서울,중구,202012,전문서비스,부동산,부동산중개,1,0,10,16466000,376,1646560,43791
서울,중구,202012,전문서비스,의료기관,요양원,0,0,11,3682000,102,334718,36097
서울,중구,202012,전문서비스,의료기기,보청기,0,0,1,82000,4,82000,20500
서울,중구,202012,전문서비스,의료기기,안경점,0,1,221,846019000,3576,3828142,236583
서울,중구,202012,전문서비스,의료기기,의료기기,2,2,103,633030000,6253,6145927,101236
서울,중구,202012,전문서비스,인쇄/출판/광고,광고,2,1,116,489105000,1033,4216426,473481
서울,중구,202012,전문서비스,인쇄/출판/광고,기념패 제작,0,0,2,3599000,3,1799600,1199733
서울,중구,202012,전문서비스,인쇄/출판/광고,영상/방송,0,0,14,215045000,8521,15360333,25237
서울,중구,202012,전문서비스,인쇄/출판/광고,인쇄업,9,2,490,1496703000,3998,3054496,374363
서울,중구,202012,전문서비스,인쇄/출판/광고,정기간행물 발행,0,1,9,91603000,4209,10178156,21764
서울,중구,202012,전문서비스,인쇄/출판/광고,출판사,0,0,8,24797000,25,3099600,991872
서울,중구,202012,전문서비스,의료기관,치료/발달센터,0,0,1,280000,4,280000,70000
서울,중구,202012,전문서비스,임신출산,산후조리서비스,0,0,2,2850000,13,1425000,219231
서울,중구,202012,전문서비스,부동산,부동산-주택/아파트 임대,0,0,34,179227000,2023,5271385,88595
서울,중구,202012,전문서비스,개인병원,병원-신경정신과,0,0,5,4875000,273,974934,17856
서울,중구,202012,전문서비스,개인병원,병원-안과,0,0,9,82186000,1725,9131741,47644
서울,중구,202012,전문서비스,개인병원,병원-영상의학과,0,0,2,166074000,1263,83037055,131492
서울,중구,202012,전문서비스,개인병원,병원-외과,0,0,1,4620000,154,4620200,30001
서울,중구,202012,전문서비스,개인병원,병원-이비인후과,0,0,23,58296000,3147,2534600,18524
서울,중구,202012,전문서비스,개인병원,병원-일반,1,0,66,1336018000,12631,20242701,105773
서울,중구,202012,전문서비스,개인병원,병원-재활의학과,0,0,3,46443000,454,15481020,102297
서울,중구,202012,전문서비스,개인병원,병원-정형외과,0,0,19,397453000,5205,20918591,76360
서울,중구,202012,전문서비스,개인병원,병원-치과,1,0,198,1212719000,6755,6124843,179529
서울,중구,202012,전문서비스,개인병원,병원-피부과의원,1,2,21,246403000,2739,11733470,89961
서울,중구,202012,전문서비스,교육/연구/학교,대학교,0,0,4,181452000,614,45363025,295525
서울,중구,202012,전문서비스,교육/연구/학교,어린이집,0,0,65,213195000,654,3279922,325986
서울,중구,202012,전문서비스,교육/연구/학교,유치원,0,0,2,1700000,2,849750,849750
서울,중구,202012,전문서비스,금융,생명보험,0,0,19,31290028000,725251,1646843581,43144
서울,중구,202012,전문서비스,금융,손해보험,0,0,14,17878836000,162916,1277059685,109743
