광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,강남구,202011,생활서비스,택시,택시,0,0,1,21932000,33,21932300,664615
서울,강남구,202011,생활서비스,항공,항공사,0,0,1,69886000,1254,69886082,55731
서울,강남구,202011,생활서비스,화물운송업,콜밴,0,0,1,66000,1,66000,66000
서울,강남구,202011,생활서비스,화물운송업,택배업,0,0,4,2770000,250,692450,11079
서울,강남구,202011,생활서비스,화물운송업,화물운송,1,0,15,16488000,272,1099179,60617
서울,강남구,202011,음식,간식,도너츠,0,0,18,109515000,15292,6084173,7162
서울,강남구,202011,음식,간식,떡/한과,0,1,28,112064000,4267,4002280,26263
서울,강남구,202011,음식,간식,베이커리,2,2,280,2646028000,221366,9450099,11953
서울,강남구,202011,음식,간식,분식,3,5,319,1069763000,102232,3353490,10464
서울,강남구,202011,생활서비스,철도,철도,0,0,2,6762470000,235863,3381234900,28671
서울,강남구,202011,음식,간식,샌드위치/토스트,0,0,67,330305000,36925,4929933,8945
서울,강남구,202011,음식,건강식품,건강식품,6,0,126,685810000,2545,5442935,269473
서울,강남구,202011,음식,건강식품,건강원,0,0,4,7202000,70,1800475,102884
서울,강남구,202011,음식,농축수산물,농산물,7,3,131,334094000,11585,2550336,28838
서울,강남구,202011,음식,농축수산물,농축산물가공,0,0,1,249000,38,248900,6550
서울,강남구,202011,음식,농축수산물,수산물,0,1,8,54997000,1849,6874615,29744
서울,강남구,202011,음식,농축수산물,유제품,0,0,6,3364741000,155004,560790134,21707
서울,강남구,202011,음식,농축수산물,청과물,0,1,46,200666000,7325,4362297,27395
서울,강남구,202011,음식,농축수산물,축산물,0,2,11,70364000,2158,6396703,32606
서울,강남구,202011,음식,부페,부페,1,0,10,125249000,2319,12524945,54010
서울,강남구,202011,음식,식품,농협-마트,0,0,2,19921000,720,9960465,27668
서울,강남구,202011,음식,식품,담배,0,0,27,67628000,1327,2504730,50963
서울,강남구,202011,음식,간식,아이스크림/빙수,0,1,40,118230000,13967,2955744,8465
서울,강남구,202011,음식,식품,미곡상,0,0,15,16078000,551,1071880,29180
서울,강남구,202011,생활서비스,자동차정비,중장비 판매,0,0,3,16914000,81,5637944,208813
서울,강남구,202011,생활서비스,자동차정비,자동차 경정비,7,3,300,1354528000,7590,4515094,178462
서울,강남구,202011,생활서비스,미용/사우나/마사지,체형/두피관리,5,2,50,169114000,489,3382275,345836
서울,강남구,202011,생활서비스,미용/사우나/마사지,피부관리/마사지,11,10,277,625138000,2210,2256815,282868
서울,강남구,202011,생활서비스,사진,사진관,5,3,283,820240000,5220,2898376,157134
서울,강남구,202011,생활서비스,사진,사진기/광학제품,0,0,15,95852000,200,6390147,479261
서울,강남구,202011,생활서비스,사회단체,복지시설,0,0,4,12129000,131,3032292,92589
서울,강남구,202011,생활서비스,사회단체,사회단체,0,0,68,295434000,1389,4344624,212696
서울,강남구,202011,생활서비스,사회단체,조합/협회,0,1,45,269987000,8047,5999701,33551
서울,강남구,202011,생활서비스,사회단체,종교단체,0,0,14,21579000,250,1541390,86318
서울,강남구,202011,생활서비스,세탁소,세탁소,11,4,358,231710000,10799,647235,21457
서울,강남구,202011,생활서비스,수리점,가전제품 수리,0,0,8,217500000,2098,27187469,103670
서울,강남구,202011,생활서비스,수리점,가정용품 수리,4,3,125,305214000,4593,2441715,66452
서울,강남구,202011,생활서비스,자동차정비,자동차 시트/타이어,0,0,16,118923000,396,7432694,300311
서울,강남구,202011,생활서비스,수리점,의류 수선,0,0,1,2940000,30,2940000,98000
서울,강남구,202011,생활서비스,연료,LPG가스,0,0,8,1155758000,20531,144469715,56293
서울,강남구,202011,생활서비스,연료,가정용연료,0,0,15,112033000,303,7468857,369745
서울,강남구,202011,생활서비스,연료,주유소,0,0,41,2870279000,58452,70006815,49105
서울,강남구,202011,생활서비스,열쇠/도장,열쇠,0,0,26,14555000,179,559792,81311
서울,강남구,202011,생활서비스,월납/세금,월납/세금,0,0,59,1008976145000,1562377,17101290593,645796
서울,강남구,202011,생활서비스,월납/세금,통신요금,0,0,5,1483543000,134645,296708512,11018
서울,강남구,202011,생활서비스,자동차-기타,렌터카,1,0,21,224620000,2755,10696211,81532
서울,강남구,202011,생활서비스,자동차-기타,자동차 견인,0,0,2,5338000,86,2669100,62072
서울,강남구,202011,생활서비스,자동차-기타,주차장,15,1,313,567830000,57006,1814154,9961
서울,강남구,202011,생활서비스,자동차정비,세차/광택,0,0,1,2150000,5,2150000,430000
서울,강남구,202011,생활서비스,수리점,정보통신기기 수리,0,1,10,14445000,109,1444520,132525
서울,강남구,202011,음식,식품,반찬,0,0,23,60100000,3575,2613043,16811
서울,강남구,202011,음식,식품,생수,0,0,2,1826000,16,912750,114094
서울,강남구,202011,음식,식품,식료품,11,9,419,1321372000,56921,3153632,23214
서울,강남구,202011,음식,한식,출장부페,0,0,1,101000,3,101000,33667
서울,강남구,202011,일반유통,가구,가구,3,1,116,1793178000,2352,15458431,762406
서울,강남구,202011,일반유통,각종기기판매/서비스,사무용기기,0,0,40,116135000,1281,2903379,90660
서울,강남구,202011,일반유통,각종기기판매/서비스,자동판매기,0,0,14,5462000,1361,390168,4013
서울,강남구,202011,일반유통,각종기기판매/서비스,컴퓨터/주변기기,1,4,174,407755000,4275,2343418,95381
서울,강남구,202011,일반유통,각종기기판매/서비스,통신관련서비스,1,0,6,8004000,625,1334005,12806
서울,강남구,202011,일반유통,각종기기판매/서비스,휴대폰,0,0,7,8136000,206,1162309,39496
서울,강남구,202011,일반유통,건설/건축,건축용자재/용품,8,2,186,19524854000,56847,104972336,343463
서울,강남구,202011,일반유통,건설/건축,인테리어,0,0,9,80435000,457,8937229,176007
서울,강남구,202011,일반유통,건설/건축,페인트,0,0,11,41457000,342,3768780,121218
서울,강남구,202011,일반유통,과학기자재,과학기기,0,0,73,3417082000,3487,46809337,979949
서울,강남구,202011,음식,한식,야식,0,0,1,2913000,68,2913000,42838
서울,강남구,202011,일반유통,과학기자재,측량/제도/정밀기기,0,0,1,7934000,10,7934140,793414
서울,강남구,202011,일반유통,기타제조업,기타 제조,1,0,50,88325000,683,1766508,129320
서울,강남구,202011,일반유통,냉난방,냉난방기기,0,0,16,51965000,172,3247784,302119
서울,강남구,202011,일반유통,문구용품,문구용품,1,1,188,1265016000,56514,6728810,22384
서울,강남구,202011,일반유통,문구용품,복사대행,0,0,5,2238000,24,447541,93238
서울,강남구,202011,일반유통,문구용품,학습교구,1,0,1,115000,5,115000,23000
서울,강남구,202011,일반유통,생활용품,생활용품,12,1,177,2448875000,110647,13835452,22132
서울,강남구,202011,일반유통,생활용품,유리/거울,0,0,13,9363000,93,720216,100675
서울,강남구,202011,일반유통,생활용품,인테리어 용품,0,0,4,22509000,70,5627130,321550
서울,강남구,202011,일반유통,생활용품,커튼/카페트/수예,0,0,44,110426000,336,2509690,328650
서울,강남구,202011,일반유통,서점,서점,3,0,94,1504173000,69927,16001841,21511
서울,강남구,202011,일반유통,옷감/직물,섬유,0,0,13,46294000,801,3561080,57795
서울,강남구,202011,일반유통,기계류제조업,기계류 제조,0,0,4,5459000,6,1364678,909785
서울,강남구,202011,음식,한식,도시락,2,1,75,296531000,16754,3953750,17699
서울,강남구,202011,음식,한식,단품요리 전문,96,85,3583,16335331000,590520,4559121,27663
서울,강남구,202011,음식,한식,기사식당,0,0,5,26393000,1786,5278530,14778
서울,강남구,202011,음식,식품,식자재,0,0,1,11587000,224,11586800,51727
서울,강남구,202011,음식,식품제조,떡/한과 제조,0,0,2,14290000,871,7145000,16406
서울,강남구,202011,음식,식품제조,식품 제조,1,1,39,71408000,4295,1830968,16626
서울,강남구,202011,음식,아시아음식,동남아/인도음식,1,1,44,250445000,10861,5691927,23059
서울,강남구,202011,음식,아시아음식,일식,16,14,642,4582732000,85822,7138212,53398
서울,강남구,202011,음식,아시아음식,중식,3,4,343,3100035000,89552,9038003,34617
서울,강남구,202011,음식,양식,기타세계요리,0,0,6,62393000,1672,10398904,37317
서울,강남구,202011,음식,양식,스테이크,0,1,25,275919000,4490,11036751,61452
서울,강남구,202011,음식,양식,양식,24,14,644,4485926000,69124,6965724,64897
서울,강남구,202011,음식,양식,패밀리 레스토랑,1,1,16,343146000,4208,21446614,81546
서울,강남구,202011,음식,유흥주점,룸살롱/단란주점,6,5,161,497411000,1809,3089509,274965
서울,강남구,202011,음식,유흥주점,일반 유흥주점,4,5,119,2166745000,2710,18207944,799537
서울,강남구,202011,음식,음료,주스,0,0,16,30012000,6613,1875760,4538
서울,강남구,202011,음식,음료,차,0,0,17,54352000,8442,3197183,6438
서울,강남구,202011,음식,음료,커피,15,11,909,2847218000,355172,3132254,8016
서울,강남구,202011,음식,주점및주류판매,꼬치구이,1,0,30,159477000,2286,5315900,69762
서울,강남구,202011,음식,주점및주류판매,맥주/요리주점,0,2,113,501038000,12966,4433969,38642
서울,강남구,202011,음식,주점및주류판매,민속주점,0,1,8,39062000,1447,4882744,26995
서울,강남구,202011,음식,주점및주류판매,주류,6,1,71,567828000,3798,7997583,149507
서울,강남구,202011,음식,주점및주류판매,포장마차,0,1,10,69361000,1519,6936050,45662
서울,강남구,202011,음식,패스트푸드,치킨,1,2,300,967552000,32048,3225172,30191
서울,강남구,202011,음식,패스트푸드,피자,5,1,115,461154000,18712,4010033,24645
서울,강남구,202011,음식,패스트푸드,햄버거,1,2,110,962479000,102499,8749810,9390
서울,강남구,202011,음식,한식,가정식,69,64,2720,14909689000,397202,5481503,37537
서울,강남구,202011,음식,한식,구내식당/푸드코트,0,0,71,680278000,39027,9581387,17431
서울,강남구,202011,생활서비스,미용/사우나/마사지,스포츠마사지,3,2,85,178658000,956,2101854,186880
서울,강남구,202011,생활서비스,미용/사우나/마사지,미용제품,4,2,97,507477000,2953,5231724,171851
서울,강남구,202011,생활서비스,미용/사우나/마사지,목욕탕,1,2,54,131435000,6605,2433980,19899
서울,강남구,202011,문화레져,동물,동물농장,0,0,1,857000,64,857000,13391
서울,강남구,202011,문화레져,동물,애완동물/용품,9,7,137,289959000,4380,2116489,66201
서울,강남구,202011,문화레져,동물병원,병원-동물병원,0,0,70,798427000,6262,11406107,127504
서울,강남구,202011,문화레져,레져,골프장,0,0,11,327695000,1931,29790426,169702
서울,강남구,202011,문화레져,레져,노래방,4,8,215,271810000,7776,1264235,34955
서울,강남구,202011,문화레져,레져,당구장,2,3,139,70159000,3823,504740,18352
서울,강남구,202011,문화레져,레져,무술 도장,0,2,29,30062000,101,1036621,297644
서울,강남구,202011,문화레져,레져,볼링장,0,0,8,63783000,1884,7972900,33855
서울,강남구,202011,문화레져,레져,비디오감상실,0,0,5,3867000,294,773300,13151
서울,강남구,202011,문화레져,레져,수영장,1,0,10,43171000,269,4317125,160488
서울,강남구,202011,문화레져,레져,스포츠강습,1,2,47,124979000,2636,2659127,47412
서울,강남구,202011,문화레져,레져,스포츠센터,18,11,603,1853058000,7694,3073065,240845
서울,강남구,202011,문화레져,레져,실내골프장,3,1,107,420848000,7625,3933163,55193
서울,강남구,202011,문화레져,완구/아동용자전거,장난감/오락기기,0,1,32,202485000,4346,6327649,46591
서울,강남구,202011,문화레져,운명/운세/작명,운명/운세/작명,1,0,29,37115000,213,1279811,174247
서울,강남구,202011,문화레져,음반/음원/영상,악기,0,0,22,83497000,328,3795309,254563
서울,강남구,202011,문화레져,음반/음원/영상,온라인종합컨텐츠,0,0,6,51357652000,2273691,8559608595,22588
서울,강남구,202011,문화레져,음반/음원/영상,음반/음원,1,1,28,39835000,437,1422675,91155
서울,강남구,202011,문화레져,전시/관람/체험,단전호흡,0,0,4,100033000,311,25008293,321650
서울,강남구,202011,문화레져,전시/관람/체험,박물관/전시관,0,0,3,3439000,321,1146333,10713
서울,강남구,202011,문화레져,전시/관람/체험,수족관,0,0,5,32748000,1396,6549666,23459
서울,강남구,202011,문화레져,전시/관람/체험,연극/음악/공연,1,0,25,168079000,1527,6723152,110071
서울,강남구,202011,문화레져,전시/관람/체험,영화관,6,0,148,1260838000,53742,8519176,23461
서울,강남구,202011,문화레져,오락실/PC방,전자오락실,0,0,3,2384000,109,794667,21872
서울,강남구,202011,문화레져,전시/관람/체험,자연학습원,0,1,4,10700000,674,2675003,15875
서울,강남구,202011,문화레져,종교,종교용품,0,0,1,2918000,8,2918000,364750
서울,강남구,202011,문화레져,화원,꽃집/꽃배달,9,2,318,252489000,4052,793992,62312
서울,강남구,202011,문화레져,화원,분재,0,0,1,2540000,3,2540000,846667
서울,강남구,202011,문화레져,화원,화훼/조경,0,0,8,5345000,120,668106,44540
서울,강남구,202011,생활서비스,기계/장비대여,정밀기기 대여,1,1,29,140139000,1343,4832387,104348
서울,강남구,202011,생활서비스,기계/장비대여,중장비 대여,0,0,1,501000,29,501390,17289
서울,강남구,202011,생활서비스,농기구,농기구/자재,0,0,1,2700000,3,2700000,900000
서울,강남구,202011,생활서비스,대중교통,고속버스,0,0,2,1275000,8,637500,159375
서울,강남구,202011,생활서비스,미용/사우나/마사지,가발,0,0,4,30276000,145,7569000,208800
서울,강남구,202011,생활서비스,미용/사우나/마사지,네일케어,0,2,169,110781000,1113,655510,99534
서울,강남구,202011,문화레져,전시/관람/체험,테마카페,0,0,6,13874000,1140,2312250,12170
서울,강남구,202011,문화레져,오락실/PC방,인터넷PC방,0,4,97,254419000,47661,2622874,5338
서울,강남구,202011,문화레져,오락실/PC방,온라인게임 ,0,0,2,621240000,1158,310619850,536476
서울,강남구,202011,문화레져,예술품,선물/기념품,2,0,2,2134000,120,1066865,17781
서울,강남구,202011,문화레져,레져,실내야구연습장,0,0,1,3385000,48,3384500,70510
서울,강남구,202011,문화레져,레져,요가,1,0,38,75762000,519,1993731,145976
서울,강남구,202011,문화레져,레져,유아교육/키즈카페,0,0,16,45144000,759,2821526,59479
서울,강남구,202011,문화레져,레져,탁구장,0,0,10,3309000,31,330930,106752
서울,강남구,202011,문화레져,레져,테니스장,0,0,13,35780000,298,2752292,120066
서울,강남구,202011,문화레져,레져용품,골프용품,0,0,48,430590000,1287,8970635,334569
서울,강남구,202011,문화레져,레져용품,낚시용품,0,0,1,730000,7,730000,104286
서울,강남구,202011,문화레져,레져용품,스포츠용품,5,1,170,2738222000,14763,16107190,185479
서울,강남구,202011,문화레져,레져용품,스포츠의류전문,0,0,32,1500636000,9094,46894879,165014
서울,강남구,202011,문화레져,레져용품,자전거-성인용,0,0,22,100430000,314,4565004,319841
서울,강남구,202011,문화레져,숙박,1급호텔,0,1,11,983021000,4460,89365502,220408
서울,강남구,202011,문화레져,숙박,2급호텔,0,0,8,256455000,2728,32056910,94009
서울,강남구,202011,문화레져,숙박,고시원,0,1,16,13048000,25,815519,521932
서울,강남구,202011,문화레져,숙박,모텔,10,5,117,704181000,8571,6018639,82159
서울,강남구,202011,문화레져,숙박,여관/민박,0,1,3,4373000,101,1457667,43297
서울,강남구,202011,문화레져,숙박,콘도미니엄,0,0,1,47807000,13,47807080,3677468
서울,강남구,202011,문화레져,숙박,특급호텔,0,0,14,1528600000,8530,109185729,179203
서울,강남구,202011,문화레져,숙박,호텔-기타,0,0,2,20822000,223,10410976,93372
서울,강남구,202011,문화레져,여행사,여행사,0,0,22,106586000,11107,4844806,9596
서울,강남구,202011,문화레져,여행사,이민/유학,0,0,2,2310000,2,1155000,1155000
서울,강남구,202011,문화레져,예술품,골동품/예술품,0,1,4,3512000,11,878000,319273
서울,강남구,202011,문화레져,예술품,공예품,1,1,26,23989000,167,922671,143649
서울,강남구,202011,문화레져,예술품,그림/액자,1,0,30,52652000,1566,1755081,33622
서울,강남구,202011,생활서비스,미용/사우나/마사지,미용실,18,14,1443,3889461000,41875,2695399,92883
서울,강남구,202011,일반유통,의류,교복,0,0,6,6064000,78,1010620,77740
서울,강남구,202011,일반유통,의류,아동복/유아복,0,0,10,29435000,411,2943474,71617
서울,강남구,202011,전문서비스,학원,학원-입시/보습,0,5,570,2061709000,5755,3617034,358247
서울,강남구,202011,전문서비스,학원,학원-직업,0,0,55,504183000,1462,9166967,344859
서울,강남구,202011,전문서비스,한의학,병원-한의학과,2,2,376,2306185000,18170,6133471,126923
서울,강남구,202011,전문서비스,한의학,한의약품,0,0,5,85859000,456,17171793,188287
서울,강남구,202011,종합유통,다단계판매,다단계,0,0,8,5004224000,42049,625528039,119009
서울,강남구,202011,종합유통,마트/슈퍼마켓,대형마트,2,0,6,1385996000,37502,230999382,36958
서울,강남구,202011,종합유통,마트/슈퍼마켓,슈퍼마켓 기업형,0,0,45,1796423000,107984,39920513,16636
서울,강남구,202011,종합유통,마트/슈퍼마켓,슈퍼마켓 일반형,0,1,175,18179107000,1628810,103880609,11161
서울,강남구,202011,종합유통,면세점,면세점,0,0,7,84341000,419,12048750,201292
서울,강남구,202011,종합유통,백화점,백화점,2,1,21,15296566000,211160,728407909,72441
서울,강남구,202011,종합유통,수입품,수입품,0,0,10,175308000,635,17530805,276076
서울,강남구,202011,종합유통,온라인,대형 이커머스 ,0,0,34,88958562000,1693308,2616428299,52535
서울,강남구,202011,종합유통,온라인,홈쇼핑,0,0,2,18365000,45,9182747,408122
서울,강남구,202011,종합유통,전용매장,복지매점,0,0,2,6603000,934,3301350,7069
서울,강남구,202011,종합유통,편의점,편의점,11,7,785,6944044000,1170938,8845916,5930
서울,강남구,202011,종합유통,온라인,전자상거래,28,0,457,248663413000,4445548,544121253,55935
서울,강남구,202011,전문서비스,학원,학원-예체능,75,20,371,1151248000,2993,3103093,384647
서울,강남구,202011,일반유통,의류,내의,0,0,59,129492000,3607,2194773,35900
서울,강남구,202011,전문서비스,학원,학원-어학,1,8,238,1345278000,6405,5652429,210036
서울,강남구,202011,전문서비스,학원,학습지,0,0,8,8531000,17,1066313,501794
서울,강남구,202011,전문서비스,개인병원,병원-산부인과,0,1,52,952852000,6447,18324078,147798
서울,강남구,202011,전문서비스,개인병원,병원-성형외과,2,2,418,7866596000,13035,18819607,603498
서울,강남구,202011,전문서비스,개인병원,병원-소아과,0,0,32,72167000,3548,2255208,20340
서울,강남구,202011,전문서비스,개인병원,병원-신경외과,0,0,17,244080000,1737,14357650,140518
서울,강남구,202011,전문서비스,개인병원,병원-신경정신과,0,0,31,108115000,2123,3487584,50926
서울,강남구,202011,전문서비스,개인병원,병원-안과,0,0,69,5176594000,14483,75023101,357426
서울,강남구,202011,전문서비스,개인병원,병원-영상의학과,0,1,7,160055000,1157,22864979,138336
서울,강남구,202011,전문서비스,개인병원,병원-외과,0,0,9,41674000,480,4630400,86820
서울,강남구,202011,전문서비스,개인병원,병원-이비인후과,0,0,67,482133000,10230,7196012,47129
서울,강남구,202011,전문서비스,개인병원,병원-일반,6,4,570,10774793000,42684,18903145,252432
서울,강남구,202011,전문서비스,개인병원,병원-재활의학과,0,0,17,309970000,2667,18233535,116224
서울,강남구,202011,전문서비스,개인병원,병원-비뇨기과,0,0,35,377536000,2455,10786733,153782
서울,강남구,202011,전문서비스,개인병원,병원-정형외과,0,0,48,1488533000,11974,31011108,124314
서울,강남구,202011,전문서비스,개인병원,병원-피부과의원,1,1,181,2770577000,14920,15307057,185696
서울,강남구,202011,전문서비스,교육/연구/학교,대학교,0,0,1,1620000,3,1620000,540000
서울,강남구,202011,전문서비스,교육/연구/학교,독서실,2,4,131,239961000,4026,1831760,59603
서울,강남구,202011,전문서비스,교육/연구/학교,어린이집,1,1,178,532924000,1613,2993956,330393
서울,강남구,202011,전문서비스,교육/연구/학교,유치원,0,0,6,13431000,19,2238477,706887
서울,강남구,202011,전문서비스,금융,금융-기타,0,0,2,27620000,101,13810000,273465
서울,강남구,202011,전문서비스,금융,새마을금고,0,0,1,54000,13,54000,4154
서울,강남구,202011,전문서비스,금융,생명보험,0,0,1,569000,102,569000,5578
서울,강남구,202011,전문서비스,개인병원,병원-치과,0,1,546,5266999000,22869,9646518,230312
서울,강남구,202011,전문서비스,금융,손해보험,1,0,37,145812833000,985871,3940887380,147903
서울,강남구,202011,전문서비스,개인병원,병원-마취과,0,0,12,205291000,1274,17107577,161139
서울,강남구,202011,전문서비스,개인병원,병원-기타,0,0,1,98959000,814,98958500,121571
서울,강남구,202011,일반유통,의류,의류,19,16,1239,12532094000,71544,10114684,175166
서울,강남구,202011,일반유통,의류,의류-기타,0,0,3,6605000,7,2201733,943600
서울,강남구,202011,일반유통,의류,한복,0,0,12,51915000,107,4326250,485187
서울,강남구,202011,일반유통,자동차,수입차,1,0,53,3565183000,2247,67267608,1586641
서울,강남구,202011,일반유통,자동차,신차,0,0,3,18380125000,994,6126708444,18491072
서울,강남구,202011,일반유통,자동차,오토바이,2,0,24,85660000,300,3569148,285532
서울,강남구,202011,일반유통,자동차,중고차,0,1,4,12760000,4,3190000,3190000
서울,강남구,202011,일반유통,전기/가전,가전제품,3,0,90,2033494000,6249,22594382,325411
서울,강남구,202011,일반유통,전기/가전,영상/음향기기,0,0,1,10000,1,10000,10000
서울,강남구,202011,일반유통,전기/가전,전기자재/장비,0,0,5,4746000,105,949110,45196
서울,강남구,202011,전문서비스,개인병원,병원-내과,1,0,98,695682000,13628,7098801,51048
서울,강남구,202011,일반유통,전기/가전,조명기구,3,0,74,113170000,852,1529323,132828
서울,강남구,202011,일반유통,주방,정수기/연수기기,0,0,3,872000,17,290567,51276
서울,강남구,202011,일반유통,주방,주방가구,0,0,4,17994000,9,4498500,1999333
서울,강남구,202011,일반유통,침구류,자석요/온돌매트/옥매트,0,0,1,938000,4,938000,234500
서울,강남구,202011,일반유통,침구류,침구류,1,1,45,225388000,641,5008623,351619
서울,강남구,202011,일반유통,컴퓨터소프트웨어,컴퓨터 소프트웨어,9,0,78,469174000,4597,6015057,102061
서울,강남구,202011,일반유통,패션잡화,가방/핸드백,1,1,56,346810000,812,6193037,427106
서울,강남구,202011,일반유통,패션잡화,시계/귀금속,3,2,134,665237000,1174,4964455,566641
서울,강남구,202011,일반유통,패션잡화,신발,4,0,69,614635000,4796,8907749,128156
