광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,강동구,202012,전문서비스,교육/연구/학교,독서실,1,2,60,46164000,1241,769394,37199
서울,강동구,202012,전문서비스,교육/연구/학교,어린이집,0,0,233,627589000,1877,2693514,334357
서울,강동구,202012,전문서비스,교육/연구/학교,유치원,0,0,3,10251000,38,3416993,269763
서울,강동구,202012,전문서비스,대학병원,병원-대학/종합병원,0,0,8,2056193000,32439,257024133,63386
서울,강동구,202012,전문서비스,보관/창고업,물품보관소,0,0,1,1951000,1,1951400,1951400
서울,강동구,202012,전문서비스,개인병원,병원-피부과의원,1,0,27,254995000,4626,9444277,55122
서울,강동구,202012,전문서비스,부동산,부동산중개,0,1,6,880000,92,146617,9562
서울,강동구,202012,전문서비스,상담,결혼정보회사,0,0,15,20443000,138,1362867,148138
서울,강동구,202012,전문서비스,상담,심리상담,0,0,14,25047000,82,1789071,305451
서울,강동구,202012,전문서비스,상조,납골/묘지,0,0,1,16119000,6,16118500,2686417
서울,강동구,202012,전문서비스,상조,상조서비스,0,0,2,26937000,1005,13468500,26803
서울,강동구,202012,전문서비스,상조,장례식장,0,0,3,36506000,20,12168500,1825275
서울,강동구,202012,전문서비스,상품권,상품권/기프티콘,2,0,16,205278000,333,12829850,616449
서울,강동구,202012,전문서비스,약국,약국,3,2,248,1339965000,74406,5403086,18009
서울,강동구,202012,전문서비스,약국,제약회사,0,0,9,3284204000,254,364911545,12929937
서울,강동구,202012,전문서비스,부동산,부동산-주택/아파트 임대,2,0,7,47734000,72,6819143,662972
서울,강동구,202012,전문서비스,웨딩,예식장,0,0,3,7970000,4,2656500,1992375
서울,강동구,202012,전문서비스,개인병원,병원-치과,0,2,223,1169852000,8409,5245974,139119
서울,강동구,202012,전문서비스,개인병원,병원-재활의학과,0,0,10,152745000,2340,15274542,65276
서울,강동구,202012,일반유통,침구류,침구류,0,1,29,42815000,374,1476381,114479
서울,강동구,202012,일반유통,컴퓨터소프트웨어,컴퓨터 소프트웨어,0,0,6,9648000,7,1607917,1378214
서울,강동구,202012,일반유통,패션잡화,가방/핸드백,1,0,12,9382000,122,781832,76901
서울,강동구,202012,일반유통,패션잡화,시계/귀금속,0,0,48,64649000,327,1346862,197705
서울,강동구,202012,일반유통,패션잡화,신발,0,0,28,25492000,380,910425,67084
서울,강동구,202012,일반유통,패션잡화,액세서리,1,2,53,38723000,1282,730613,30205
서울,강동구,202012,일반유통,화장품,화장품,6,5,285,306482000,2921,1075375,104924
서울,강동구,202012,전문서비스,개인병원,병원-가정의학과,0,0,10,22786000,1003,2278580,22718
서울,강동구,202012,전문서비스,개인병원,병원-기타,0,0,1,269886000,227,269886444,1188927
서울,강동구,202012,전문서비스,개인병원,병원-정형외과,0,0,31,201808000,5997,6509938,33652
서울,강동구,202012,전문서비스,개인병원,병원-내과,0,0,74,219523000,9027,2966525,24318
서울,강동구,202012,전문서비스,개인병원,병원-비뇨기과,0,0,10,46424000,1095,4642422,42397
서울,강동구,202012,전문서비스,개인병원,병원-산부인과,0,0,19,65926000,1521,3469793,43344
서울,강동구,202012,전문서비스,개인병원,병원-성형외과,1,0,4,45318000,165,11329463,274654
서울,강동구,202012,전문서비스,개인병원,병원-소아과,0,2,29,30094000,2121,1037730,14189
서울,강동구,202012,전문서비스,개인병원,병원-신경외과,0,0,6,54849000,952,9141467,57614
서울,강동구,202012,전문서비스,개인병원,병원-신경정신과,0,0,14,42010000,1464,3000739,28696
서울,강동구,202012,전문서비스,개인병원,병원-안과,0,0,18,170650000,4432,9480552,38504
서울,강동구,202012,전문서비스,개인병원,병원-영상의학과,0,0,1,18818000,111,18817900,169531
서울,강동구,202012,전문서비스,개인병원,병원-외과,0,0,6,144693000,1834,24115578,78895
서울,강동구,202012,전문서비스,개인병원,병원-이비인후과,0,0,34,50937000,4257,1498158,11966
서울,강동구,202012,전문서비스,개인병원,병원-일반,2,0,87,1708231000,12943,19634842,131981
서울,강동구,202012,전문서비스,개인병원,병원-마취과,0,0,14,97630000,1315,6973585,74243
서울,강동구,202012,전문서비스,의료기관,요양원,0,0,13,140792000,98,10830178,1436656
서울,강동구,202012,전문서비스,의료기기,보청기,0,0,10,8241000,20,824100,412050
서울,강동구,202012,전문서비스,학원,학원-예체능,19,8,172,221543000,750,1288041,295391
서울,강동구,202012,전문서비스,학원,학원-입시/보습,0,5,269,351949000,1127,1308361,312289
서울,강동구,202012,전문서비스,학원,학원-직업,0,1,14,235258000,340,16804135,691935
서울,강동구,202012,전문서비스,한의학,병원-한의학과,1,2,191,370506000,8517,1939824,43502
서울,강동구,202012,전문서비스,한의학,한의약품,0,0,2,5620000,100,2809750,56195
서울,강동구,202012,종합유통,다단계판매,다단계,0,0,1,766917000,2746,766917290,279285
서울,강동구,202012,종합유통,마트/슈퍼마켓,대형마트,0,0,8,3652844000,99256,456605515,36802
서울,강동구,202012,종합유통,마트/슈퍼마켓,슈퍼마켓 기업형,0,0,13,591665000,35355,45512660,16735
서울,강동구,202012,종합유통,마트/슈퍼마켓,슈퍼마켓 일반형,2,1,131,3325337000,193448,25384250,17190
서울,강동구,202012,종합유통,백화점,백화점,0,0,6,1535456000,45736,255909356,33572
서울,강동구,202012,종합유통,수입품,수입품,0,0,2,720000,23,360000,31304
서울,강동구,202012,전문서비스,학원,학원-어학,0,0,167,314571000,1166,1883660,269787
서울,강동구,202012,종합유통,아울렛,아울렛,0,0,1,544438000,13820,544438460,39395
서울,강동구,202012,종합유통,온라인,홈쇼핑,0,0,7,26222795000,270522,3746113575,96934
서울,강동구,202012,종합유통,편의점,편의점,3,5,341,2156190000,314814,6323137,6849
서울,강동구,202012,종합유통,온라인,전자상거래,0,0,12,1543700000,24147,128641680,63929
서울,강동구,202012,전문서비스,학원,학원-기타,0,5,192,556501000,1863,2898445,298712
서울,강동구,202012,전문서비스,학원,학습지,1,0,5,26570000,44,5314060,603870
서울,강동구,202012,전문서비스,학원,문화센터,0,0,1,220000,3,220000,73333
서울,강동구,202012,전문서비스,의료기기,성인용품,0,0,3,756000,23,252000,32870
서울,강동구,202012,전문서비스,의료기기,안경점,0,1,98,291135000,3218,2970766,90471
서울,강동구,202012,전문서비스,의료기기,의료기기,3,2,67,282013000,1390,4209148,202887
서울,강동구,202012,전문서비스,의료기기,치과기공소,0,0,3,6980000,4,2326667,1745000
서울,강동구,202012,전문서비스,인쇄/출판/광고,광고,1,0,37,25555000,143,690668,178704
서울,강동구,202012,전문서비스,인쇄/출판/광고,인쇄업,0,0,20,23574000,66,1178688,357178
서울,강동구,202012,전문서비스,인쇄/출판/광고,정기간행물 발행,0,0,1,135000,1,135000,135000
서울,강동구,202012,전문서비스,인쇄/출판/광고,출판사,0,0,2,4013000,128,2006400,31350
서울,강동구,202012,전문서비스,임신출산,산후조리서비스,0,0,4,8538000,30,2134445,284593
서울,강동구,202012,전문서비스,임신출산,산후조리원,0,0,10,87168000,75,8716840,1162245
서울,강동구,202012,전문서비스,전문용역서비스,공인노무사,0,0,1,4400000,2,4400000,2200000
서울,강동구,202012,전문서비스,전문용역서비스,공증인,0,0,1,1849000,19,1849475,97341
서울,강동구,202012,전문서비스,전문용역서비스,농어업서비스,0,0,8,9568000,336,1195951,28475
서울,강동구,202012,전문서비스,전문용역서비스,번역/통역서비스,0,1,48,62794000,320,1308215,196232
서울,강동구,202012,전문서비스,전문용역서비스,법무사,0,0,1,1093000,4,1092500,273125
서울,강동구,202012,전문서비스,전문용역서비스,변호사,0,0,3,234000,5,78000,46800
서울,강동구,202012,전문서비스,전문용역서비스,세무사,0,0,1,620000,4,620000,155000
서울,강동구,202012,전문서비스,전문용역서비스,이벤트/행사 대행,0,0,4,1784000,64,445875,27867
서울,강동구,202012,전문서비스,전문용역서비스,청소/소독 대행,3,1,2,5819000,18,2909565,323285
서울,강동구,202012,전문서비스,전문용역서비스,회계서비스,1,0,9,13214000,22,1468267,600655
서울,강동구,202012,전문서비스,학원,교육단체,0,0,1,29000,3,28662,9554
서울,강동구,202012,일반유통,주방,정수기/연수기기,0,0,1,122000,4,122000,30500
서울,강동구,202012,일반유통,주방,그릇/주방기기,0,1,26,33641000,251,1293887,134028
서울,강동구,202012,일반유통,전기/가전,전기자재/장비,0,0,5,1971000,64,394180,30795
서울,강동구,202012,일반유통,전기/가전,조명기구,2,0,39,68434000,1105,1754717,61931
서울,강동구,202012,음식,간식,샌드위치/토스트,0,1,25,61339000,7397,2453548,8292
서울,강동구,202012,음식,간식,아이스크림/빙수,0,0,54,111277000,12715,2060688,8752
서울,강동구,202012,음식,건강식품,건강식품,4,0,55,123534000,889,2246066,138958
서울,강동구,202012,음식,건강식품,건강원,0,0,14,8711000,148,622179,58855
서울,강동구,202012,음식,농축수산물,농산물,4,0,168,832978000,22767,4958205,36587
서울,강동구,202012,음식,농축수산물,수산물,0,0,36,167398000,9147,4649957,18301
서울,강동구,202012,음식,농축수산물,유제품,0,0,11,14257000,74,1296049,192656
서울,강동구,202012,음식,농축수산물,청과물,0,1,49,129357000,6635,2639937,19496
서울,강동구,202012,음식,농축수산물,축산물,2,2,11,70704000,1873,6427602,37749
서울,강동구,202012,음식,부페,부페,0,0,4,4025000,150,1006175,26831
서울,강동구,202012,음식,식품,농협-마트,0,0,6,138311000,6195,23051782,22326
서울,강동구,202012,음식,간식,분식,1,2,182,287578000,28879,1580098,9958
서울,강동구,202012,음식,식품,담배,0,0,12,25706000,535,2142133,48048
서울,강동구,202012,음식,식품,반찬,0,0,37,61061000,4759,1650292,12831
서울,강동구,202012,음식,식품,생수,0,0,1,39000,1,38500,38500
서울,강동구,202012,음식,식품,식료품,14,7,392,1239119000,63003,3161017,19668
서울,강동구,202012,음식,식품,식자재,0,0,8,157235000,10713,19654428,14677
서울,강동구,202012,음식,식품제조,식품 제조,0,1,52,88564000,4874,1703147,18171
서울,강동구,202012,음식,아시아음식,동남아/인도음식,0,0,9,24092000,1020,2676879,23620
서울,강동구,202012,음식,아시아음식,일식,6,1,182,507709000,12948,2789611,39211
서울,강동구,202012,음식,아시아음식,중식,5,1,129,384618000,18198,2981534,21135
서울,강동구,202012,음식,양식,스테이크,0,0,12,15364000,529,1280312,29043
서울,강동구,202012,음식,양식,양식,4,2,54,110037000,3284,2037720,33507
서울,강동구,202012,음식,식품,미곡상,0,0,27,36862000,1401,1365254,26311
서울,강동구,202012,음식,양식,패밀리 레스토랑,0,0,3,68392000,1068,22797180,64037
서울,강동구,202012,음식,간식,베이커리,3,2,158,626287000,61948,3963839,10110
서울,강동구,202012,음식,간식,도너츠,0,0,8,31945000,3864,3993081,8267
서울,강동구,202012,생활서비스,사회단체,조합/협회,0,0,2,5008000,13,2504000,385231
서울,강동구,202012,생활서비스,사회단체,종교단체,0,0,6,6985000,70,1164098,99780
서울,강동구,202012,생활서비스,세탁소,세탁소,3,2,144,63471000,4917,440773,12909
서울,강동구,202012,생활서비스,수리점,가전제품 수리,0,0,3,97041000,1194,32346967,81274
서울,강동구,202012,생활서비스,수리점,가정용품 수리,0,2,71,124209000,3441,1749424,36097
서울,강동구,202012,생활서비스,수리점,의류 수선,0,0,1,30000,1,30000,30000
서울,강동구,202012,생활서비스,수리점,정보통신기기 수리,1,0,4,730000,10,182500,73000
서울,강동구,202012,생활서비스,연료,LPG가스,0,0,7,1068768000,25780,152681186,41457
서울,강동구,202012,생활서비스,연료,가정용연료,0,0,10,23904000,131,2390430,182476
서울,강동구,202012,생활서비스,연료,주유소,0,0,20,1008775000,24882,50438728,40542
서울,강동구,202012,생활서비스,열쇠/도장,열쇠,0,0,26,7296000,124,280628,58841
서울,강동구,202012,음식,간식,떡/한과,0,0,21,19061000,1408,907674,13538
서울,강동구,202012,생활서비스,월납/세금,월납/세금,0,0,1,1427000,44,1427000,32432
서울,강동구,202012,생활서비스,자동차-기타,렌터카,1,0,14,62228000,156,4444892,398901
서울,강동구,202012,생활서비스,자동차-기타,자동차 견인,0,0,2,493000,4,246500,123250
서울,강동구,202012,생활서비스,자동차-기타,주차장,3,0,57,66251000,9575,1162303,6919
서울,강동구,202012,생활서비스,자동차정비,자동차 경정비,0,0,249,636645000,4745,2556807,134172
서울,강동구,202012,생활서비스,자동차정비,자동차 시트/타이어,0,1,11,58473000,178,5315764,328502
서울,강동구,202012,생활서비스,자동차정비,중장비 판매,0,0,1,1100000,2,1100000,550000
서울,강동구,202012,생활서비스,화물운송업,종합이삿짐대행,0,0,1,550000,2,550000,275000
서울,강동구,202012,생활서비스,화물운송업,콜밴,0,0,2,278000,4,139050,69525
서울,강동구,202012,생활서비스,화물운송업,택배업,0,0,3,3717000,275,1238907,13515
서울,강동구,202012,생활서비스,화물운송업,화물운송,3,1,12,7227000,42,602283,172081
서울,강동구,202012,음식,유흥주점,룸살롱/단란주점,1,0,3,1596000,10,532000,159600
서울,강동구,202012,음식,유흥주점,일반 유흥주점,2,2,2,722000,22,361000,32818
서울,강동구,202012,음식,음료,주스,0,0,7,4688000,1352,669777,3468
서울,강동구,202012,일반유통,기타제조업,기타 제조,0,0,14,27024000,153,1930280,176627
서울,강동구,202012,일반유통,냉난방,냉난방기기,0,0,17,56405000,271,3317951,208137
서울,강동구,202012,일반유통,냉난방,보일러,0,0,2,1420000,2,710000,710000
서울,강동구,202012,일반유통,문구용품,문구용품,0,1,58,178745000,7544,3081803,23694
서울,강동구,202012,일반유통,문구용품,복사대행,0,0,1,2660000,191,2659610,13925
서울,강동구,202012,일반유통,문구용품,학습교구,0,0,1,232000,1,232000,232000
서울,강동구,202012,일반유통,생활용품,생활용품,4,3,84,358183000,16830,4264081,21282
서울,강동구,202012,일반유통,생활용품,유리/거울,1,0,5,346000,17,69200,20353
서울,강동구,202012,일반유통,생활용품,인테리어 용품,0,0,2,683000,5,341500,136600
서울,강동구,202012,일반유통,생활용품,커튼/카페트/수예,0,0,30,46118000,191,1537257,241454
서울,강동구,202012,일반유통,서점,서점,1,0,39,109547000,3094,2808887,35406
서울,강동구,202012,일반유통,옷감/직물,섬유,0,0,2,1856000,39,927850,47582
서울,강동구,202012,일반유통,의류,교복,0,0,1,1457000,17,1457000,85706
서울,강동구,202012,일반유통,의류,내의,0,1,33,42867000,1563,1298996,27426
서울,강동구,202012,일반유통,의류,아동복/유아복,1,0,7,6080000,199,868576,30553
서울,강동구,202012,일반유통,의류,의류,8,8,303,319716000,3858,1055169,82871
서울,강동구,202012,일반유통,의류,의류-기타,0,0,1,1480000,6,1479800,246633
서울,강동구,202012,일반유통,의류,한복,0,0,5,4643000,32,928500,145078
서울,강동구,202012,일반유통,자동차,수입차,0,0,1,5000000,1,5000000,5000000
서울,강동구,202012,일반유통,자동차,오토바이,0,0,28,85171000,357,3041835,238575
서울,강동구,202012,일반유통,전기/가전,가전제품,2,0,30,615957000,1005,20531886,612892
서울,강동구,202012,일반유통,옷감/직물,한복/포목점,0,0,2,1243000,15,621500,82867
