광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,강북구,202012,문화레져,음반/음원/영상,악기,0,0,4,6515000,11,1628750,592273
서울,강북구,202012,문화레져,음반/음원/영상,음반/음원,0,0,2,250000,4,124750,62375
서울,강북구,202012,문화레져,전시/관람/체험,단전호흡,0,0,1,490000,2,490000,245000
서울,강북구,202012,문화레져,전시/관람/체험,수족관,0,0,4,3220000,163,805075,19756
서울,강북구,202012,문화레져,전시/관람/체험,연극/음악/공연,0,0,1,1900000,1,1900000,1900000
서울,강북구,202012,문화레져,전시/관람/체험,영화관,1,0,25,25025000,2544,1000992,9837
서울,강북구,202012,문화레져,전시/관람/체험,자연학습원,0,0,3,823000,8,274333,102875
서울,강북구,202012,문화레져,전시/관람/체험,테마카페,0,0,3,3364000,316,1121213,10644
서울,강북구,202012,문화레져,종교,종교용품,0,0,9,13608000,62,1511944,219476
서울,강북구,202012,문화레져,화원,꽃집/꽃배달,1,0,51,26940000,678,528227,39734
서울,강북구,202012,문화레져,화원,화훼/조경,0,0,1,120000,3,120000,40000
서울,강북구,202012,문화레져,운명/운세/작명,운명/운세/작명,1,0,6,6586000,11,1097667,598727
서울,강북구,202012,생활서비스,기계/장비대여,정밀기기 대여,1,0,1,2398000,7,2398000,342571
서울,강북구,202012,생활서비스,대중교통,버스/지하철,0,0,1,22000,1,22000,22000
서울,강북구,202012,생활서비스,미용/사우나/마사지,네일케어,0,0,54,10867000,172,201241,63180
서울,강북구,202012,생활서비스,미용/사우나/마사지,목욕탕,0,0,21,21405000,1136,1019267,18842
서울,강북구,202012,생활서비스,미용/사우나/마사지,미용실,19,7,545,275067000,7757,504710,35460
서울,강북구,202012,생활서비스,미용/사우나/마사지,미용제품,0,0,34,19968000,311,587282,64205
서울,강북구,202012,생활서비스,미용/사우나/마사지,스포츠마사지,1,0,17,10179000,91,598765,111857
서울,강북구,202012,생활서비스,미용/사우나/마사지,체형/두피관리,0,0,8,4647000,35,580900,132777
서울,강북구,202012,생활서비스,미용/사우나/마사지,피부관리/마사지,0,1,43,16552000,106,384919,156146
서울,강북구,202012,생활서비스,사진,사진관,1,0,32,21879000,345,683707,63416
서울,강북구,202012,생활서비스,사진,사진기/광학제품,0,0,1,193000,24,193400,8058
서울,강북구,202012,문화레져,완구/아동용자전거,장난감/오락기기,1,1,8,5527000,103,690906,53663
서울,강북구,202012,문화레져,오락실/PC방,인터넷PC방,0,2,40,70899000,14120,1772470,5021
서울,강북구,202012,문화레져,레져,스포츠센터,2,2,36,17139000,104,476094,164802
서울,강북구,202012,문화레져,레져,실내골프장,0,0,9,7607000,202,845250,37660
서울,강북구,202012,문화레져,레져,실내야구연습장,0,0,1,42000,3,42000,14000
서울,강북구,202012,문화레져,레져,요가,0,0,2,-121000,1,-60500,-121000
서울,강북구,202012,문화레져,레져,유아교육/키즈카페,0,0,6,2978000,190,496272,15672
서울,강북구,202012,문화레져,레져,탁구장,0,0,1,150000,1,150000,150000
서울,강북구,202012,문화레져,레져용품,골프용품,0,0,4,5977000,37,1494300,161546
서울,강북구,202012,문화레져,레져용품,낚시용품,0,0,1,342000,14,342000,24429
서울,강북구,202012,문화레져,레져용품,스포츠용품,0,1,28,96849000,924,3458877,104814
서울,강북구,202012,문화레져,레져용품,스포츠의류전문,0,0,17,174824000,1154,10283752,151494
서울,강북구,202012,문화레져,숙박,1급호텔,0,0,1,540000,11,540000,49091
서울,강북구,202012,문화레져,숙박,고시원,0,0,3,780000,3,260000,260000
서울,강북구,202012,문화레져,숙박,모텔,3,1,84,92861000,2435,1105487,38136
서울,강북구,202012,문화레져,숙박,여관/민박,0,0,13,5535000,165,425769,33545
서울,강북구,202012,문화레져,예술품,공예품,1,0,15,11563000,45,770893,256964
서울,강북구,202012,문화레져,예술품,그림/액자,0,0,3,286000,5,95333,57200
서울,강북구,202012,문화레져,레져용품,자전거-성인용,0,0,9,6705000,51,745000,131471
서울,강북구,202012,생활서비스,사회단체,복지시설,0,0,1,896000,10,895650,89565
서울,강북구,202012,생활서비스,사회단체,사회단체,0,0,6,18377000,40,3062895,459434
서울,강북구,202012,생활서비스,사회단체,조합/협회,0,0,3,1332000,75,443933,17757
서울,강북구,202012,음식,간식,아이스크림/빙수,0,0,20,43280000,3860,2164003,11212
서울,강북구,202012,음식,건강식품,건강식품,1,2,25,32622000,216,1304884,151028
서울,강북구,202012,음식,건강식품,건강원,1,0,9,3303000,65,367000,50815
서울,강북구,202012,음식,농축수산물,농산물,6,5,174,202111000,8698,1161557,23236
서울,강북구,202012,음식,농축수산물,수산물,0,1,29,99221000,4736,3421430,20950
