광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,강서구,202011,음식,아시아음식,중식,3,0,172,804254000,31474,4675896,25553
서울,강서구,202011,음식,양식,스테이크,0,0,11,20093000,590,1826621,34056
서울,강서구,202011,음식,양식,양식,6,2,102,272926000,8112,2675747,33645
서울,강서구,202011,음식,양식,패밀리 레스토랑,0,0,3,157074000,1877,52358106,83684
서울,강서구,202011,음식,유흥주점,룸살롱/단란주점,1,3,131,188511000,1405,1439012,134171
서울,강서구,202011,음식,유흥주점,일반 유흥주점,2,2,100,292010000,2475,2920102,117984
서울,강서구,202011,음식,음료,주스,0,1,14,29866000,4889,2133284,6109
서울,강서구,202011,음식,음료,차,0,0,8,16077000,2093,2009565,7681
서울,강서구,202011,음식,음료,커피,12,7,399,848341000,133795,2126167,6341
서울,강서구,202011,음식,주점및주류판매,꼬치구이,0,0,32,87836000,1851,2744878,47453
서울,강서구,202011,음식,주점및주류판매,맥주/요리주점,0,1,133,280378000,6815,2108107,41141
서울,강서구,202011,음식,아시아음식,일식,7,5,232,1167842000,24791,5033802,47107
서울,강서구,202011,음식,주점및주류판매,민속주점,0,0,6,18086000,440,3014333,41105
서울,강서구,202011,음식,주점및주류판매,포장마차,0,0,14,47273000,1291,3376671,36618
서울,강서구,202011,음식,패스트푸드,치킨,7,5,301,558165000,26366,1854369,21170
서울,강서구,202011,음식,패스트푸드,피자,4,1,101,208553000,11493,2064884,18146
서울,강서구,202011,음식,패스트푸드,햄버거,2,0,56,445186000,51494,7949748,8645
서울,강서구,202011,음식,한식,가정식,44,29,1379,4392123000,125242,3185006,35069
서울,강서구,202011,음식,한식,구내식당/푸드코트,0,0,20,286722000,13664,14336077,20984
서울,강서구,202011,음식,한식,기사식당,0,0,3,10747000,730,3582167,14721
서울,강서구,202011,음식,한식,단품요리 전문,48,39,2145,6056052000,279958,2823334,21632
서울,강서구,202011,음식,한식,도시락,0,0,19,62984000,3763,3314968,16738
서울,강서구,202011,음식,한식,야식,0,0,4,5763000,170,1440750,33900
서울,강서구,202011,음식,주점및주류판매,주류,0,0,5,18259000,307,3651700,59474
서울,강서구,202011,일반유통,가구,가구,0,0,39,198384000,189,5086765,1049650
서울,강서구,202011,음식,아시아음식,동남아/인도음식,0,0,14,60982000,2686,4355859,22704
서울,강서구,202011,음식,식품제조,떡/한과 제조,0,0,1,474000,27,474300,17567
서울,강서구,202011,생활서비스,화물운송업,콜밴,0,0,3,1291000,18,430467,71744
서울,강서구,202011,생활서비스,화물운송업,택배업,0,0,5,2897000,221,579388,13108
서울,강서구,202011,생활서비스,화물운송업,화물운송,2,0,40,260060000,1085,6501501,239687
서울,강서구,202011,음식,간식,도너츠,0,0,11,74248000,10306,6749815,7204
서울,강서구,202011,음식,간식,떡/한과,0,0,41,46461000,2663,1133197,17447
서울,강서구,202011,음식,간식,베이커리,2,5,204,796505000,88933,3904434,8956
서울,강서구,202011,음식,간식,분식,3,4,231,481126000,51486,2082797,9345
서울,강서구,202011,음식,간식,샌드위치/토스트,0,0,24,79562000,9623,3315074,8268
서울,강서구,202011,음식,간식,아이스크림/빙수,0,0,54,110330000,13788,2043151,8002
서울,강서구,202011,음식,건강식품,건강식품,2,0,65,93882000,768,1444334,122242
서울,강서구,202011,음식,건강식품,건강원,0,0,15,3996000,48,266387,83246
서울,강서구,202011,음식,식품제조,식품 제조,0,0,32,31095000,2124,971726,14640
서울,강서구,202011,음식,농축수산물,농산물,1,1,221,773808000,23528,3501395,32889
서울,강서구,202011,음식,농축수산물,유제품,0,0,2,2565000,19,1282443,134994
서울,강서구,202011,음식,농축수산물,청과물,2,2,96,163715000,7083,1705368,23114
서울,강서구,202011,음식,농축수산물,축산물,1,2,11,20054000,1000,1823088,20054
서울,강서구,202011,음식,부페,부페,0,0,5,143308000,706,28661644,202986
서울,강서구,202011,음식,식품,농협-마트,0,0,9,336069000,14369,37340956,23388
서울,강서구,202011,음식,식품,담배,0,0,14,24269000,595,1733495,40788
서울,강서구,202011,음식,식품,미곡상,0,2,25,41366000,1761,1654633,23490
서울,강서구,202011,음식,식품,반찬,0,1,41,76070000,5784,1855377,13152
서울,강서구,202011,음식,식품,생수,0,0,1,40000,1,39600,39600
서울,강서구,202011,음식,식품,식료품,10,5,416,1344753000,57704,3232580,23304
서울,강서구,202011,음식,식품,식자재,0,0,4,272243000,12606,68060783,21596
서울,강서구,202011,음식,농축수산물,수산물,0,0,105,713069000,18431,6791135,38689
서울,강서구,202011,생활서비스,화물운송업,종합이삿짐대행,0,0,3,2336000,7,778667,333714
서울,강서구,202011,일반유통,각종기기판매/서비스,사무용기기,0,0,18,19686000,3084,1093654,6383
서울,강서구,202011,일반유통,각종기기판매/서비스,컴퓨터/주변기기,3,2,144,123003000,721,854185,170600
서울,강서구,202011,일반유통,자동차,오토바이,0,0,24,26108000,203,1087846,128612
서울,강서구,202011,일반유통,자동차,중고차,1,0,9,515290000,44,57254404,11711128
서울,강서구,202011,일반유통,전기/가전,가전제품,1,1,52,85928531000,54032,1652471746,1590327
서울,강서구,202011,일반유통,전기/가전,영상/음향기기,0,0,1,2475000,37,2474800,66886
서울,강서구,202011,일반유통,전기/가전,전기자재/장비,0,0,2,197000,155,98550,1272
서울,강서구,202011,일반유통,전기/가전,조명기구,2,0,56,87553000,1228,1563455,71298
서울,강서구,202011,일반유통,주방,그릇/주방기기,4,1,57,214575000,5850,3764474,36679
서울,강서구,202011,일반유통,주방,정수기/연수기기,0,0,3,1785000,15,594933,118987
서울,강서구,202011,일반유통,주방,주방가구,0,0,2,351000,3,175500,117000
서울,강서구,202011,일반유통,침구류,자석요/온돌매트/옥매트,0,0,1,55000,1,55000,55000
서울,강서구,202011,일반유통,자동차,수입차,0,0,12,450230000,422,37519179,1066896
서울,강서구,202011,일반유통,침구류,침구류,0,0,28,50774000,441,1813350,115133
서울,강서구,202011,일반유통,패션잡화,가방/핸드백,0,0,10,11471000,217,1147135,52863
