광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,관악구,202009,전문서비스,개인병원,병원-정형외과,0,0,29,259932000,7426,8963168,35003
서울,관악구,202009,전문서비스,개인병원,병원-치과,0,0,202,1163885000,9570,5761808,121618
서울,관악구,202009,전문서비스,개인병원,병원-피부과의원,0,0,14,142183000,3088,10155921,46044
서울,관악구,202009,전문서비스,교육/연구/학교,고등학교,0,0,1,60000,1,60000,60000
서울,관악구,202009,전문서비스,교육/연구/학교,대학교,0,0,18,1172609000,33493,65144945,35011
서울,관악구,202009,전문서비스,교육/연구/학교,독서실,2,3,70,48058000,714,686546,67308
서울,관악구,202009,전문서비스,교육/연구/학교,어린이집,1,1,200,511824000,1609,2559119,318101
서울,관악구,202009,전문서비스,교육/연구/학교,유치원,0,0,8,9192000,36,1149060,255347
서울,관악구,202009,전문서비스,금융,새마을금고,0,0,1,136000,35,136000,3886
서울,관악구,202009,전문서비스,개인병원,병원-재활의학과,0,0,5,49199000,674,9839804,72996
서울,관악구,202009,전문서비스,대학병원,병원-대학/종합병원,0,0,1,429029000,5276,429028770,81317
서울,관악구,202009,전문서비스,보건소,보건소,0,0,2,591000,51,295400,11584
서울,관악구,202009,전문서비스,부동산,부동산-주택/아파트 임대,0,0,6,1983000,30,330467,66093
서울,관악구,202009,전문서비스,부동산,부동산중개,0,1,4,818000,15,204375,54500
서울,관악구,202009,전문서비스,상담,결혼정보회사,0,0,10,7951000,86,795100,92453
서울,관악구,202009,전문서비스,상담,심리상담,1,0,11,9645000,75,876836,128603
서울,관악구,202009,전문서비스,상조,장례식장,0,0,1,650000,1,650000,650000
서울,관악구,202009,전문서비스,금융,손해보험,0,1,1,902000,7,902000,128857
서울,관악구,202009,전문서비스,개인병원,병원-일반,1,2,81,1135731000,13955,14021373,81385
서울,관악구,202009,전문서비스,개인병원,병원-이비인후과,0,0,26,79392000,4880,3053544,16269
서울,관악구,202009,전문서비스,개인병원,병원-외과,0,0,3,22814000,478,7604732,47728
서울,관악구,202009,일반유통,자동차,오토바이,0,0,40,57378000,385,1434440,149033
서울,관악구,202009,일반유통,전기/가전,가전제품,1,0,26,533458000,724,20517601,736820
서울,관악구,202009,일반유통,전기/가전,전기자재/장비,0,0,4,5292000,52,1322875,101760
서울,관악구,202009,일반유통,전기/가전,조명기구,1,0,46,30414000,884,661179,34405
서울,관악구,202009,일반유통,주방,그릇/주방기기,0,0,23,28224000,325,1227110,86842
서울,관악구,202009,일반유통,주방,정수기/연수기기,0,0,2,960000,5,480000,192000
서울,관악구,202009,일반유통,침구류,자석요/온돌매트/옥매트,0,0,1,1600000,1,1600000,1600000
서울,관악구,202009,일반유통,침구류,침구류,0,0,25,28726000,424,1149020,67749
서울,관악구,202009,일반유통,컴퓨터소프트웨어,컴퓨터 소프트웨어,1,0,6,22545000,433,3757423,52066
서울,관악구,202009,일반유통,패션잡화,가방/핸드백,0,0,10,10368000,153,1036770,67763
서울,관악구,202009,일반유통,패션잡화,시계/귀금속,0,0,49,81537000,595,1664012,137036
서울,관악구,202009,일반유통,패션잡화,신발,1,0,40,27813000,570,695315,48794
