광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,광진구,202012,음식,간식,분식,0,2,152,314337000,31974,2068008,9831
서울,광진구,202012,음식,간식,샌드위치/토스트,1,2,25,81744000,9965,3269752,8203
서울,광진구,202012,음식,간식,아이스크림/빙수,0,0,36,79102000,8424,2197281,9390
서울,광진구,202012,음식,건강식품,건강식품,2,1,37,145253000,419,3925757,346666
서울,광진구,202012,음식,건강식품,건강원,0,0,9,3298000,43,366444,76698
서울,광진구,202012,음식,농축수산물,건어물,0,0,1,317000,17,317000,18647
서울,광진구,202012,음식,농축수산물,농산물,4,1,129,431018000,15432,3341225,27930
서울,광진구,202012,음식,농축수산물,농축산물가공,0,0,1,774000,73,774400,10608
서울,광진구,202012,음식,농축수산물,수산물,0,0,18,39812000,1925,2211789,20682
서울,광진구,202012,음식,농축수산물,유제품,0,0,7,3527000,28,503897,125974
서울,광진구,202012,음식,농축수산물,청과물,1,2,40,53652000,3419,1341288,15692
서울,광진구,202012,음식,간식,베이커리,2,3,134,512290000,52077,3823060,9837
서울,광진구,202012,음식,농축수산물,축산물,4,0,13,33936000,986,2610469,34418
서울,광진구,202012,음식,식품,농협-마트,0,0,3,101145000,3715,33714897,27226
서울,광진구,202012,음식,식품,담배,1,0,13,28236000,572,2172008,49364
서울,광진구,202012,음식,식품,미곡상,0,0,22,31790000,765,1445011,41556
서울,광진구,202012,음식,식품,반찬,0,0,19,24613000,1869,1295421,13169
서울,광진구,202012,음식,식품,식료품,11,3,318,1273370000,55467,4004307,22957
서울,광진구,202012,음식,식품,식자재,0,0,3,70284000,3559,23427990,19748
서울,광진구,202012,음식,식품제조,식품 제조,0,0,33,24138000,1740,731467,13873
서울,광진구,202012,음식,아시아음식,동남아/인도음식,0,0,12,26316000,1625,2193017,16195
서울,광진구,202012,음식,아시아음식,일식,3,1,194,491236000,15384,2532144,31932
서울,광진구,202012,음식,아시아음식,중식,2,1,187,573529000,22805,3066998,25149
서울,광진구,202012,음식,양식,기타세계요리,0,0,2,9891000,227,4945490,43573
서울,광진구,202012,음식,부페,부페,0,0,2,2697000,39,1348250,69141
