광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,노원구,202012,일반유통,가구,가구,1,0,41,79652000,165,1942727,482738
서울,노원구,202012,일반유통,각종기기판매/서비스,사무용기기,2,0,12,19295000,96,1607908,200989
서울,노원구,202012,일반유통,각종기기판매/서비스,자동판매기,1,0,10,2139000,665,213860,3216
서울,노원구,202012,일반유통,각종기기판매/서비스,컴퓨터/주변기기,4,0,92,53834000,560,585149,96132
서울,노원구,202012,일반유통,각종기기판매/서비스,통신관련서비스,0,0,1,7000,1,7000,7000
서울,노원구,202012,일반유통,각종기기판매/서비스,휴대폰,0,0,5,4598000,26,919600,176846
서울,노원구,202012,일반유통,건설/건축,건축용자재/용품,3,1,93,121939000,1473,1311172,82783
서울,노원구,202012,일반유통,건설/건축,페인트,0,0,4,3887000,84,971775,46275
서울,노원구,202012,일반유통,과학기자재,과학기기,0,0,24,193494000,279,8062252,693527
서울,노원구,202012,일반유통,과학기자재,측량/제도/정밀기기,0,0,2,59718000,33,29859015,1809637
서울,노원구,202012,음식,한식,야식,0,0,4,1244000,61,311100,20400
서울,노원구,202012,일반유통,기계류제조업,기계류 제조,0,0,1,44000,1,44000,44000
서울,노원구,202012,일반유통,냉난방,냉난방기기,2,0,15,43266000,265,2884369,163266
서울,노원구,202012,일반유통,냉난방,보일러,0,0,2,2577000,4,1288250,644125
서울,노원구,202012,일반유통,문구용품,문구용품,1,1,71,224497000,8332,3161927,26944
서울,노원구,202012,일반유통,문구용품,복사대행,0,0,2,1934000,8,966770,241693
서울,노원구,202012,일반유통,생활용품,생활용품,3,3,77,479328000,26601,6225040,18019
서울,노원구,202012,일반유통,생활용품,유리/거울,0,0,5,5012000,16,1002476,313274
서울,노원구,202012,일반유통,생활용품,인테리어 용품,0,1,5,5091000,9,1018160,565644
서울,노원구,202012,일반유통,생활용품,커튼/카페트/수예,0,0,30,50755000,115,1691817,441343
서울,노원구,202012,일반유통,서점,서점,2,1,59,229966000,10084,3897736,22805
서울,노원구,202012,일반유통,옷감/직물,섬유,0,0,1,131000,3,131000,43667
서울,노원구,202012,일반유통,기타제조업,기타 제조,0,0,13,16544000,31,1272594,533668
서울,노원구,202012,음식,한식,도시락,0,0,15,37298000,1887,2486507,19766
서울,노원구,202012,음식,한식,기사식당,0,0,4,5927000,501,1481750,11830
서울,노원구,202012,음식,식품제조,떡/한과 제조,0,0,4,3049000,259,762188,11771
서울,노원구,202012,음식,식품제조,식품 제조,0,0,37,50183000,3123,1356286,16069
서울,노원구,202012,음식,아시아음식,동남아/인도음식,0,0,9,20866000,930,2318428,22436
서울,노원구,202012,음식,아시아음식,일식,2,2,141,366504000,9461,2599319,38738
서울,노원구,202012,음식,아시아음식,중식,3,1,115,353195000,16053,3071263,22002
서울,노원구,202012,음식,양식,기타세계요리,0,0,1,486000,14,485500,34679
서울,노원구,202012,음식,양식,스테이크,0,0,8,19715000,1022,2464392,19291
서울,노원구,202012,음식,양식,양식,1,3,47,78056000,2817,1660758,27709
서울,노원구,202012,음식,양식,패밀리 레스토랑,0,0,4,101912000,1615,25477967,63103
서울,노원구,202012,음식,유흥주점,룸살롱/단란주점,0,0,1,150000,1,150000,150000
서울,노원구,202012,음식,유흥주점,일반 유흥주점,0,0,3,2232000,42,744133,53152
서울,노원구,202012,음식,한식,단품요리 전문,27,20,1384,2233760000,115446,1613988,19349
서울,노원구,202012,음식,음료,주스,0,1,16,14363000,4413,897656,3255
서울,노원구,202012,음식,음료,커피,2,2,263,311698000,48483,1185163,6429
서울,노원구,202012,음식,주점및주류판매,꼬치구이,0,0,8,9687000,350,1210813,27676
서울,노원구,202012,음식,주점및주류판매,맥주/요리주점,0,0,71,43352000,1301,610598,33322
서울,노원구,202012,음식,주점및주류판매,민속주점,0,0,2,1956000,52,977750,37606
서울,노원구,202012,음식,주점및주류판매,주류,0,0,5,10654000,184,2130800,57902
서울,노원구,202012,음식,주점및주류판매,포장마차,0,0,9,7404000,244,822611,30342
서울,노원구,202012,음식,패스트푸드,치킨,2,4,274,417474000,22660,1523628,18423
서울,노원구,202012,음식,패스트푸드,피자,1,0,77,153697000,7796,1996070,19715
서울,노원구,202012,음식,패스트푸드,햄버거,1,0,54,309875000,36533,5738418,8482
서울,노원구,202012,음식,한식,가정식,26,17,872,1577741000,59026,1809336,26730
서울,노원구,202012,음식,한식,구내식당/푸드코트,0,0,3,559000,54,186400,10356
서울,노원구,202012,음식,음료,차,0,0,5,15132000,2198,3026330,6884
서울,노원구,202012,일반유통,의류,교복,0,0,6,15336000,120,2556000,127800
서울,노원구,202012,일반유통,의류,내의,2,0,32,52494000,1498,1640431,35043
서울,노원구,202012,일반유통,의류,아동복/유아복,0,0,5,1899000,90,379720,21096
서울,노원구,202012,전문서비스,개인병원,병원-영상의학과,0,0,3,29534000,424,9844703,69656
서울,노원구,202012,전문서비스,개인병원,병원-외과,0,0,6,32826000,667,5470977,49214
서울,노원구,202012,전문서비스,개인병원,병원-이비인후과,0,0,33,60304000,4230,1827386,14256
서울,노원구,202012,전문서비스,개인병원,병원-일반,1,0,77,1013213000,9280,13158612,109182
서울,노원구,202012,전문서비스,개인병원,병원-재활의학과,0,0,8,52793000,1632,6599129,32349
서울,노원구,202012,전문서비스,개인병원,병원-정형외과,0,0,22,274861000,6069,12493690,45289
서울,노원구,202012,전문서비스,개인병원,병원-치과,1,0,187,1208330000,8624,6461658,140112
서울,노원구,202012,전문서비스,개인병원,병원-피부과의원,1,1,24,293426000,4082,12226070,71883
서울,노원구,202012,전문서비스,교육/연구/학교,대학교,0,0,16,19159000,2311,1197466,8291
서울,노원구,202012,전문서비스,교육/연구/학교,독서실,2,1,81,58008000,1437,716152,40368
서울,노원구,202012,전문서비스,개인병원,병원-안과,1,0,22,217518000,3909,9887168,55645
