광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,동대문구,202012,문화레져,전시/관람/체험,수족관,0,0,4,1971000,56,492825,35202
서울,동대문구,202012,문화레져,전시/관람/체험,영화관,2,0,40,28821000,1770,720520,16283
서울,동대문구,202012,문화레져,전시/관람/체험,자연학습원,1,0,2,3961000,10,1980450,396090
서울,동대문구,202012,문화레져,전시/관람/체험,테마카페,0,0,2,866000,54,432750,16028
서울,동대문구,202012,문화레져,종교,종교용품,1,0,6,5556000,52,925967,106842
서울,동대문구,202012,문화레져,화원,꽃집/꽃배달,0,2,63,55353000,947,878617,58451
서울,동대문구,202012,문화레져,화원,화훼/조경,0,0,1,363000,8,363000,45375
서울,동대문구,202012,생활서비스,기계/장비대여,정밀기기 대여,3,1,31,59967000,355,1934423,168921
서울,동대문구,202012,생활서비스,농기구,농기구/자재,0,0,2,4743000,82,2371563,57843
서울,동대문구,202012,생활서비스,대중교통,고속버스,0,0,1,480000,1,480000,480000
서울,동대문구,202012,문화레져,음반/음원/영상,음반/음원,0,0,3,3666000,7,1222000,523714
서울,동대문구,202012,생활서비스,대중교통,버스/지하철,0,0,1,446000,17,446200,26247
서울,동대문구,202012,생활서비스,미용/사우나/마사지,목욕탕,0,1,23,14582000,1239,634006,11769
서울,동대문구,202012,생활서비스,미용/사우나/마사지,미용실,13,2,496,257459000,8071,519071,31899
서울,동대문구,202012,생활서비스,미용/사우나/마사지,미용제품,1,2,23,23379000,220,1016457,106266
서울,동대문구,202012,생활서비스,미용/사우나/마사지,스포츠마사지,1,0,16,16501000,106,1031313,155670
서울,동대문구,202012,생활서비스,미용/사우나/마사지,체형/두피관리,0,0,7,3861000,19,551571,203211
서울,동대문구,202012,생활서비스,미용/사우나/마사지,피부관리/마사지,1,1,38,19142000,106,503726,180581
서울,동대문구,202012,생활서비스,사진,사진관,0,0,46,13201000,348,286984,37935
서울,동대문구,202012,생활서비스,사진,사진기/광학제품,0,0,4,430000,20,107553,21511
서울,동대문구,202012,생활서비스,사회단체,복지시설,0,0,2,1633000,15,816350,108847
서울,동대문구,202012,생활서비스,사회단체,사회단체,0,0,11,15765000,168,1433223,93842
서울,동대문구,202012,생활서비스,사회단체,조합/협회,0,0,8,23798000,130,2974799,183065
서울,동대문구,202012,생활서비스,미용/사우나/마사지,네일케어,0,1,52,12031000,170,231356,70768
서울,동대문구,202012,생활서비스,사회단체,종교단체,0,0,4,6872000,9,1718000,763556
서울,동대문구,202012,문화레져,운명/운세/작명,운명/운세/작명,0,1,3,1787000,3,595667,595667
서울,동대문구,202012,문화레져,레져,유아교육/키즈카페,0,0,7,7275000,63,1039214,115468
서울,동대문구,202012,문화레져,레져,탁구장,0,0,1,12000,1,12000,12000
서울,동대문구,202012,문화레져,레져용품,골프용품,0,0,5,13859000,52,2771800,266519
서울,동대문구,202012,문화레져,레져용품,낚시용품,0,0,1,1773000,69,1773000,25696
서울,동대문구,202012,문화레져,레져용품,스포츠용품,1,1,23,53558000,446,2328607,120085
서울,동대문구,202012,문화레져,레져용품,스포츠의류전문,0,1,7,49362000,315,7051710,156705
서울,동대문구,202012,문화레져,레져용품,자전거-성인용,0,0,10,22416000,99,2241590,226423
서울,동대문구,202012,문화레져,숙박,1급호텔,0,0,2,8232000,93,4116149,88519
서울,동대문구,202012,문화레져,숙박,2급호텔,0,0,1,5114000,143,5114000,35762
서울,동대문구,202012,문화레져,음반/음원/영상,악기,0,0,3,5422000,22,1807333,246455
서울,동대문구,202012,문화레져,숙박,고시원,1,0,4,1700000,5,425000,340000
서울,동대문구,202012,문화레져,숙박,여관/민박,0,0,11,6707000,174,609727,38546
서울,동대문구,202012,문화레져,예술품,골동품/예술품,0,0,10,10445000,16,1044500,652813
서울,동대문구,202012,문화레져,예술품,공예품,0,1,12,8823000,61,735250,144639
서울,동대문구,202012,문화레져,예술품,그림/액자,0,0,6,6201000,25,1033517,248044
서울,동대문구,202012,문화레져,예술품,선물/기념품,0,0,7,12938000,116,1848303,111536
서울,동대문구,202012,문화레져,오락실/PC방,온라인게임 ,0,0,1,3177000,274,3177450,11597
서울,동대문구,202012,문화레져,오락실/PC방,인터넷PC방,1,2,55,71258000,14571,1295598,4890
서울,동대문구,202012,문화레져,오락실/PC방,전자오락실,0,0,2,354000,17,177150,20841
서울,동대문구,202012,문화레져,완구/아동용자전거,장난감/오락기기,0,1,6,2224000,60,370700,37070
서울,동대문구,202012,문화레져,숙박,모텔,3,2,68,60059000,1592,883221,37726
서울,동대문구,202012,생활서비스,세탁소,세탁소,1,0,92,34109000,2769,370748,12318
서울,동대문구,202012,생활서비스,수리점,가전제품 수리,0,0,4,67157000,777,16789250,86431
서울,동대문구,202012,음식,농축수산물,농산물,3,3,418,643618000,16153,1539755,39845
서울,동대문구,202012,음식,농축수산물,수산물,0,2,67,82962000,3001,1238246,27645
서울,동대문구,202012,음식,농축수산물,유제품,0,0,6,1361000,15,226750,90700
서울,동대문구,202012,음식,농축수산물,청과물,0,3,129,154504000,4283,1197703,36074
서울,동대문구,202012,음식,농축수산물,축산물,0,0,12,41406000,1043,3450506,39699
서울,동대문구,202012,음식,부페,부페,0,0,1,26807000,46,26807000,582761
서울,동대문구,202012,음식,식품,농협-마트,0,0,5,93476000,3826,18695118,24432
서울,동대문구,202012,음식,식품,담배,0,0,7,6705000,145,957843,46241
서울,동대문구,202012,음식,식품,미곡상,0,0,39,58185000,1174,1491918,49561
서울,동대문구,202012,음식,식품,반찬,0,0,27,41946000,2668,1553558,15722
서울,동대문구,202012,음식,식품,생수,0,0,1,39000,1,38500,38500
서울,동대문구,202012,음식,농축수산물,곡물/사료,0,0,1,925000,19,925000,48684
서울,동대문구,202012,음식,식품,식료품,5,3,475,2880369000,64027,6063935,44987
서울,동대문구,202012,음식,식품제조,떡/한과 제조,0,0,1,216000,15,216000,14400
서울,동대문구,202012,음식,식품제조,식품 제조,0,0,50,25479000,1754,509579,14526
서울,동대문구,202012,음식,아시아음식,동남아/인도음식,0,0,8,13403000,1342,1675375,9987
서울,동대문구,202012,음식,아시아음식,일식,3,1,141,276524000,7969,1961164,34700
서울,동대문구,202012,음식,아시아음식,중식,3,1,158,368525000,16831,2332438,21896
서울,동대문구,202012,음식,양식,스테이크,0,0,7,5662000,179,808829,31630
서울,동대문구,202012,음식,양식,양식,2,0,78,88541000,3374,1135140,26242
서울,동대문구,202012,음식,유흥주점,룸살롱/단란주점,0,0,1,388000,13,388000,29846
서울,동대문구,202012,음식,유흥주점,일반 유흥주점,1,0,2,1720000,4,860000,430000
서울,동대문구,202012,음식,식품,식자재,0,0,3,386643000,18930,128881097,20425
서울,동대문구,202012,음식,건강식품,건강원,0,0,11,4537000,47,412455,96532
서울,동대문구,202012,음식,건강식품,건강식품,3,1,171,294242000,2871,1720715,102488
서울,동대문구,202012,음식,간식,아이스크림/빙수,0,0,34,60861000,7502,1790026,8113
서울,동대문구,202012,생활서비스,수리점,가정용품 수리,2,0,42,71908000,906,1712102,79369
서울,동대문구,202012,생활서비스,수리점,정보통신기기 수리,0,0,3,1294000,7,431333,184857
서울,동대문구,202012,생활서비스,연료,LPG가스,0,0,4,981554000,28909,245388509,33953
서울,동대문구,202012,생활서비스,연료,가정용연료,0,0,19,68582000,266,3609575,257827
서울,동대문구,202012,생활서비스,연료,주유소,1,0,21,1552501000,34708,73928623,44730
서울,동대문구,202012,생활서비스,열쇠/도장,도장,0,0,1,437000,9,437000,48556
서울,동대문구,202012,생활서비스,열쇠/도장,열쇠,0,1,28,13895000,221,496236,62872
서울,동대문구,202012,생활서비스,자동차-기타,렌터카,0,0,6,4944000,16,824000,309000
서울,동대문구,202012,생활서비스,자동차-기타,자동차 견인,0,0,4,4225000,31,1056250,136290
서울,동대문구,202012,생활서비스,자동차-기타,주차장,0,0,50,27549000,4006,550971,6877
서울,동대문구,202012,생활서비스,자동차정비,세차/광택,0,0,1,255000,4,255000,63750
서울,동대문구,202012,생활서비스,자동차정비,자동차 경정비,4,2,479,1326977000,4665,2770307,284454
서울,동대문구,202012,생활서비스,자동차정비,자동차 시트/타이어,0,0,46,132918000,404,2889517,329004
서울,동대문구,202012,생활서비스,자동차정비,중장비 판매,0,0,1,5838000,98,5837584,59567
서울,동대문구,202012,생활서비스,화물운송업,콜밴,0,0,4,808000,18,201925,44872
서울,동대문구,202012,생활서비스,화물운송업,택배업,0,0,6,11233000,541,1872105,20763
서울,동대문구,202012,생활서비스,화물운송업,화물운송,2,1,10,15501000,140,1550108,110722
서울,동대문구,202012,음식,간식,도너츠,0,0,5,21561000,2972,4312114,7255
서울,동대문구,202012,음식,간식,떡/한과,0,0,21,20836000,1429,992171,14581
서울,동대문구,202012,음식,간식,베이커리,3,2,97,388556000,38641,4005736,10056
서울,동대문구,202012,음식,간식,분식,2,1,155,178588000,17552,1152183,10175
서울,동대문구,202012,음식,간식,샌드위치/토스트,0,0,17,37914000,4212,2230249,9001
서울,동대문구,202012,문화레져,레져,요가,1,2,4,1764000,5,441000,352800
서울,동대문구,202012,음식,음료,주스,0,0,6,4284000,1015,714027,4221
서울,동대문구,202012,문화레져,레져,실내야구연습장,0,0,1,123000,4,123100,30775
서울,동대문구,202012,문화레져,레져,스포츠센터,0,1,62,79841000,1363,1287759,58577
서울,동대문구,202012,문화레져,동물병원,병원-동물병원,0,0,27,140986000,1952,5221713,72227
서울,동대문구,202012,문화레져,레져,골프장,0,0,1,198000,4,198000,49500
서울,동대문구,202012,문화레져,레져,낚시터,0,0,1,32000,1,32000,32000
서울,동대문구,202012,문화레져,레져,노래방,2,2,58,9551000,262,164677,36455
서울,동대문구,202012,문화레져,레져,당구장,2,1,65,5103000,353,78505,14456
서울,동대문구,202012,문화레져,레져,무술 도장,0,0,1,730000,2,730000,365000
서울,동대문구,202012,문화레져,레져,볼링장,0,0,4,1590000,94,397575,16918
서울,동대문구,202012,문화레져,레져,비디오감상실,0,0,2,919000,31,459250,29629
서울,동대문구,202012,문화레져,레져,수영장,0,0,1,315000,4,315000,78750
서울,동대문구,202012,문화레져,레져,스포츠강습,0,0,9,2373000,112,263711,21191
서울,동대문구,202012,문화레져,동물,애완동물/용품,1,1,38,31953000,878,840861,36393
서울,동대문구,202012,문화레져,레져,실내골프장,0,0,20,14077000,491,703850,28670
서울,동대문구,202012,음식,음료,차,0,0,2,2544000,379,1271780,6711
서울,동대문구,202012,음식,주점및주류판매,꼬치구이,0,0,14,16429000,344,1173500,47759
서울,동대문구,202012,전문서비스,학원,학원-입시/보습,0,3,114,111016000,392,973824,283204
서울,동대문구,202012,전문서비스,학원,학원-직업,0,0,10,167917000,226,16791746,742998
서울,동대문구,202012,전문서비스,한의학,병원-한의학과,1,1,227,507169000,7037,2234226,72072
서울,동대문구,202012,전문서비스,한의학,한약방,0,0,24,14835000,79,618125,187785
서울,동대문구,202012,전문서비스,한의학,한의약품,0,0,13,71667000,152,5512811,471490
서울,동대문구,202012,종합유통,마트/슈퍼마켓,대형마트,0,0,5,1891519000,50595,378303842,37385
서울,동대문구,202012,종합유통,마트/슈퍼마켓,슈퍼마켓 기업형,0,1,6,324396000,18016,54066063,18006
서울,동대문구,202012,종합유통,마트/슈퍼마켓,슈퍼마켓 일반형,1,1,152,3995328000,230650,26285055,17322
서울,동대문구,202012,종합유통,백화점,백화점,0,0,4,1096345000,17495,274086170,62666
서울,동대문구,202012,종합유통,수입품,수입품,0,0,1,1134000,13,1134000,87231
서울,동대문구,202012,전문서비스,학원,학원-예체능,8,3,85,100413000,218,1181326,460609
서울,동대문구,202012,종합유통,온라인,전자상거래,0,0,10,121857000,1535,12185743,79386
서울,동대문구,202012,종합유통,전용매장,복지매점,0,0,2,7999000,1874,3999495,4268
