광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,동작구,202012,전문서비스,부동산,부동산중개,0,0,5,11686000,237,2337100,49306
서울,동작구,202012,전문서비스,상담,결혼정보회사,0,0,7,20346000,38,2906571,535421
서울,동작구,202012,전문서비스,상담,심리상담,0,0,13,21800000,110,1676885,198177
서울,동작구,202012,전문서비스,상조,장례식장,0,0,1,500000,1,500000,500000
서울,동작구,202012,전문서비스,상품권,농협-상품권,0,0,1,10000,1,10000,10000
서울,동작구,202012,전문서비스,상품권,상품권/기프티콘,3,0,6,23839000,49,3973233,486518
서울,동작구,202012,전문서비스,약국,약국,0,1,184,1131314000,61617,6148446,18360
서울,동작구,202012,전문서비스,약국,제약회사,0,0,40,3260027000,24080,81500669,135383
서울,동작구,202012,전문서비스,웨딩,예식서비스,0,0,1,2365000,4,2365000,591250
서울,동작구,202012,전문서비스,웨딩,예식장,0,0,5,55257000,89,11051430,620867
서울,동작구,202012,전문서비스,부동산,부동산-주택/아파트 임대,0,1,4,4122000,65,1030500,63415
서울,동작구,202012,전문서비스,웨딩,혼수전문점,0,0,2,720000,2,360000,360000
서울,동작구,202012,전문서비스,의료기관,요양원,0,0,5,45606000,18,9121163,2533656
서울,동작구,202012,전문서비스,의료기기,보청기,0,0,6,7547000,19,1257833,397211
서울,동작구,202012,전문서비스,의료기기,안경점,0,0,73,215429000,2687,2951077,80174
서울,동작구,202012,전문서비스,의료기기,의료기기,0,0,44,242436000,842,5509915,287929
서울,동작구,202012,전문서비스,의료기기,치과기공소,0,0,1,2537000,1,2537300,2537300
서울,동작구,202012,전문서비스,인쇄/출판/광고,광고,0,0,17,17018000,88,1001053,193385
서울,동작구,202012,전문서비스,인쇄/출판/광고,기념패 제작,0,0,2,593000,14,296650,42379
서울,동작구,202012,전문서비스,인쇄/출판/광고,인쇄업,2,1,38,46687000,3026,1228607,15429
서울,동작구,202012,전문서비스,의료기관,대체의학,0,0,1,155000,6,155000,25833
서울,동작구,202012,전문서비스,인쇄/출판/광고,출판사,0,0,5,20894000,91,4178784,229604
서울,동작구,202012,전문서비스,부동산,부동산-건물관리,0,0,1,3387000,59,3386500,57398
서울,동작구,202012,전문서비스,보건소,보건소,0,0,2,380000,26,189800,14600
서울,동작구,202012,전문서비스,개인병원,병원-비뇨기과,0,0,6,19064000,761,3177267,25051
서울,동작구,202012,전문서비스,개인병원,병원-산부인과,0,0,7,33382000,879,4768887,37977
서울,동작구,202012,전문서비스,개인병원,병원-성형외과,0,0,3,15379000,54,5126167,284787
서울,동작구,202012,전문서비스,개인병원,병원-소아과,0,0,16,13763000,1023,860203,13454
서울,동작구,202012,전문서비스,개인병원,병원-신경외과,0,0,3,30894000,554,10298087,55766
서울,동작구,202012,전문서비스,개인병원,병원-신경정신과,0,0,6,14308000,468,2384700,30573
서울,동작구,202012,전문서비스,개인병원,병원-안과,0,0,16,42158000,2013,2634863,20943
서울,동작구,202012,전문서비스,개인병원,병원-영상의학과,0,0,1,6317000,78,6316820,80985
서울,동작구,202012,전문서비스,개인병원,병원-외과,0,0,4,6185000,199,1546333,31082
서울,동작구,202012,전문서비스,개인병원,병원-이비인후과,0,0,25,26314000,2996,1052552,8783
서울,동작구,202012,전문서비스,개인병원,병원-일반,0,0,62,437620000,7167,7058389,61060
서울,동작구,202012,전문서비스,보관/창고업,물품보관소,0,0,2,20000,3,10000,6667
서울,동작구,202012,전문서비스,개인병원,병원-재활의학과,0,0,7,44417000,985,6345347,45094
서울,동작구,202012,전문서비스,개인병원,병원-치과,1,1,168,870200000,6864,5179764,126777
서울,동작구,202012,전문서비스,개인병원,병원-피부과의원,0,0,16,129042000,3854,8065136,33483
서울,동작구,202012,전문서비스,교육/연구/학교,대학교,0,0,9,32022000,178,3558021,179900
서울,동작구,202012,전문서비스,교육/연구/학교,독서실,0,0,82,112706000,2064,1374466,54606
