광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,성북구,202009,전문서비스,개인병원,병원-치과,1,0,144,892752000,6102,6199664,146305
서울,성북구,202009,전문서비스,개인병원,병원-피부과의원,0,0,11,165964000,2491,15087610,66625
서울,성북구,202009,전문서비스,교육/연구/학교,대학교,0,0,11,93658000,9947,8514385,9416
서울,성북구,202009,전문서비스,교육/연구/학교,독서실,1,0,47,35844000,416,762644,86164
서울,성북구,202009,전문서비스,교육/연구/학교,어린이집,1,4,222,496575000,1515,2236823,327772
서울,성북구,202009,전문서비스,교육/연구/학교,유치원,0,0,3,3166000,8,1055417,395781
서울,성북구,202009,전문서비스,금융,새마을금고,0,0,1,592000,135,591500,4381
서울,성북구,202009,전문서비스,금융,우체국,1,0,1,121000,22,121000,5500
서울,성북구,202009,전문서비스,대학병원,병원-대학/종합병원,0,0,3,1487385000,14203,495794833,104723
서울,성북구,202009,전문서비스,개인병원,병원-정형외과,0,0,18,148768000,4450,8264881,33431
서울,성북구,202009,전문서비스,보건소,보건소,0,0,1,1218000,12,1217840,101487
서울,성북구,202009,전문서비스,부동산,부동산-주택/아파트 임대,1,0,2,684000,15,342125,45617
서울,성북구,202009,전문서비스,부동산,부동산중개,0,0,3,273000,16,90867,17038
서울,성북구,202009,전문서비스,상담,결혼정보회사,0,0,15,18693000,122,1246200,153221
서울,성북구,202009,전문서비스,상담,심리상담,1,0,14,23955000,128,1711071,187148
서울,성북구,202009,전문서비스,상조,상조서비스,0,0,1,30383000,32,30382720,949460
서울,성북구,202009,전문서비스,상품권,상품권/기프티콘,0,0,7,103956000,177,14850786,587319
서울,성북구,202009,전문서비스,약국,약국,2,2,204,1012802000,60045,4964717,16867
서울,성북구,202009,전문서비스,약국,제약회사,0,0,1,23896000,9,23896380,2655153
서울,성북구,202009,전문서비스,웨딩,예식서비스,0,0,1,430000,1,430000,430000
서울,성북구,202009,전문서비스,개인병원,병원-재활의학과,0,0,8,141428000,1740,17678498,81280
서울,성북구,202009,전문서비스,개인병원,병원-이비인후과,0,0,23,64348000,4470,2797734,14396
서울,성북구,202009,일반유통,전기/가전,영상/음향기기,0,0,1,1067000,5,1067000,213400
서울,성북구,202009,일반유통,전기/가전,전기자재/장비,0,0,5,9993000,9,1998538,1110299
서울,성북구,202009,일반유통,전기/가전,조명기구,0,0,34,31946000,687,939574,46500
서울,성북구,202009,일반유통,주방,그릇/주방기기,0,1,24,27553000,716,1148038,38482
서울,성북구,202009,일반유통,주방,정수기/연수기기,0,0,1,1578000,6,1578000,263000
서울,성북구,202009,일반유통,침구류,자석요/온돌매트/옥매트,0,0,1,106000,97,106000,1093
서울,성북구,202009,일반유통,침구류,침구류,0,0,19,14267000,206,750884,69256
서울,성북구,202009,일반유통,컴퓨터소프트웨어,컴퓨터 소프트웨어,0,0,1,2800000,2,2800000,1400000
서울,성북구,202009,일반유통,패션잡화,가방/핸드백,2,2,11,4500000,244,409101,18443
서울,성북구,202009,일반유통,패션잡화,시계/귀금속,1,0,38,61675000,462,1623030,133496
서울,성북구,202009,일반유통,패션잡화,신발,1,0,28,33966000,481,1213057,70615
서울,성북구,202009,전문서비스,개인병원,병원-일반,0,0,64,1042004000,11258,16281305,92557
서울,성북구,202009,일반유통,패션잡화,액세서리,1,1,52,37734000,2497,725647,15112
