광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,중랑구,202010,문화레져,레져용품,자전거-성인용,0,0,21,63504000,372,3024000,170710
서울,중랑구,202010,문화레져,숙박,2급호텔,0,0,1,6026000,145,6026000,41559
서울,중랑구,202010,문화레져,숙박,고시원,0,0,3,2291000,15,763500,152700
서울,중랑구,202010,문화레져,숙박,모텔,1,0,61,85632000,2142,1403798,39977
서울,중랑구,202010,문화레져,숙박,숙박예약,0,0,1,359000,11,358500,32591
서울,중랑구,202010,문화레져,숙박,여관/민박,0,0,10,2362000,77,236200,30675
서울,중랑구,202010,문화레져,숙박,호텔-기타,0,0,1,3075000,95,3075000,32368
서울,중랑구,202010,문화레져,여행사,여행사,0,0,1,975000,2,975000,487500
서울,중랑구,202010,문화레져,예술품,공예품,0,2,3,390000,5,130000,78000
서울,중랑구,202010,문화레져,예술품,그림/액자,0,0,1,125000,2,125000,62500
서울,중랑구,202010,문화레져,레져용품,스포츠의류전문,0,0,16,107141000,1003,6696323,106821
서울,중랑구,202010,문화레져,오락실/PC방,전자오락실,0,0,1,212000,32,211500,6609
서울,중랑구,202010,문화레져,완구/아동용자전거,장난감/오락기기,0,0,7,10560000,240,1508514,43998
서울,중랑구,202010,문화레져,운명/운세/작명,운명/운세/작명,0,0,6,7691000,12,1281833,640917
서울,중랑구,202010,문화레져,음반/음원/영상,악기,0,0,3,3373000,9,1124333,374778
서울,중랑구,202010,문화레져,음반/음원/영상,음반/음원,0,0,3,733000,26,244367,28196
서울,중랑구,202010,문화레져,전시/관람/체험,단전호흡,0,0,1,701000,12,701000,58417
서울,중랑구,202010,문화레져,전시/관람/체험,수족관,0,0,4,1852000,57,463000,32491
서울,중랑구,202010,문화레져,전시/관람/체험,연극/음악/공연,0,0,2,663000,4,331500,165750
서울,중랑구,202010,문화레져,전시/관람/체험,영화관,1,0,26,60439000,3981,2324587,15182
서울,중랑구,202010,문화레져,전시/관람/체험,자연학습원,0,0,2,2336000,48,1168200,48675
서울,중랑구,202010,문화레져,전시/관람/체험,테마카페,0,0,2,1844000,128,922125,14408
서울,중랑구,202010,문화레져,오락실/PC방,인터넷PC방,2,2,49,119311000,24059,2434916,4959
서울,중랑구,202010,문화레져,레져용품,스포츠용품,0,1,33,102671000,737,3111234,139309
서울,중랑구,202010,문화레져,레져용품,낚시용품,0,0,4,29002000,469,7250571,61839
서울,중랑구,202010,문화레져,레져용품,골프용품,0,0,4,10091000,71,2522750,142127
서울,중랑구,202010,문화레져,동물,애완동물/용품,1,1,60,71874000,2344,1197902,30663
서울,중랑구,202010,문화레져,동물병원,병원-동물병원,0,1,27,223450000,2020,8275932,110619
