INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010001LI12210001000101161,20201201,49,화,11,서울특별시,1153,구로구,13,FEMALE,7,10970.3447,1961.158365
LI122100010001LI12210001000101162,20201201,49,화,11,서울특별시,1153,구로구,17,FEMALE,2,9000.26247,3452.66375
LI122100010001LI12210001000101163,20201201,49,화,11,서울특별시,1153,구로구,21,FEMALE,1,10170.23581,2006.012136
LI122100010001LI12210001000101164,20201201,49,화,11,서울특별시,1153,구로구,14,FEMALE,7,11128.75705,2058.668799
LI122100010001LI12210001000101165,20201201,49,화,11,서울특별시,1153,구로구,3,MALE,4,14455.87597,631.9212544
LI122100010001LI12210001000101166,20201201,49,화,11,서울특별시,1153,구로구,9,FEMALE,2,11516.70373,3844.815762
LI122100010001LI12210001000101167,20201201,49,화,11,서울특별시,1153,구로구,15,FEMALE,4,11688.08848,3103.453398
LI122100010001LI12210001000101168,20201201,49,화,11,서울특별시,1153,구로구,0,FEMALE,5,17759.92611,719.0036881
LI122100010001LI12210001000101169,20201201,49,화,11,서울특별시,1153,구로구,0,MALE,0,1416.460004,17.68337917
LI122100010001LI122100010001011610,20201201,49,화,11,서울특별시,1153,구로구,13,MALE,7,8915.431413,2188.111212
LI122100010001LI122100010001011611,20201201,49,화,11,서울특별시,1153,구로구,13,FEMALE,1,13346.23503,1504.99128
LI122100010001LI122100010001011612,20201201,49,화,11,서울특별시,1153,구로구,17,MALE,5,12417.56691,8071.712659
LI122100010001LI122100010001011613,20201201,49,화,11,서울특별시,1153,구로구,17,FEMALE,3,11272.57789,4123.641568
LI122100010001LI122100010001011614,20201201,49,화,11,서울특별시,1153,구로구,7,MALE,7,8277.326141,1556.176208
LI122100010001LI122100010001011615,20201201,49,화,11,서울특별시,1153,구로구,22,MALE,0,811.3151796,26.29731631
LI122100010001LI122100010001011616,20201201,49,화,11,서울특별시,1153,구로구,17,MALE,2,8299.536608,3541.924111
LI122100010001LI122100010001011617,20201201,49,화,11,서울특별시,1153,구로구,0,MALE,4,16319.43623,1174.863183
LI122100010001LI122100010001011618,20201201,49,화,11,서울특별시,1153,구로구,1,MALE,1,11932.05412,671.9975452
LI122100010001LI122100010001011619,20201201,49,화,11,서울특별시,1153,구로구,10,MALE,5,14415.18366,3960.052912
LI122100010001LI122100010001011620,20201201,49,화,11,서울특별시,1153,구로구,14,MALE,2,10541.20559,2331.80859
LI122100010001LI122100010001011621,20201201,49,화,11,서울특별시,1153,구로구,13,MALE,1,13362.11704,1609.905765
LI122100010001LI122100010001011622,20201201,49,화,11,서울특별시,1153,구로구,23,FEMALE,4,12380.60761,1467.013582
LI122100010001LI122100010001011623,20201201,49,화,11,서울특별시,1153,구로구,10,FEMALE,2,11547.48459,2138.791521
LI122100010001LI122100010001011624,20201201,49,화,11,서울특별시,1153,구로구,13,FEMALE,3,14504.88083,2261.058448
LI122100010001LI122100010001011625,20201201,49,화,11,서울특별시,1153,구로구,23,MALE,5,12677.00591,1871.300618
LI122100010001LI122100010001011626,20201201,49,화,11,서울특별시,1153,구로구,3,MALE,5,16022.68216,639.5945947
LI122100010001LI122100010001011627,20201201,49,화,11,서울특별시,1153,구로구,8,FEMALE,2,11420.91336,7232.739826
LI122100010001LI122100010001011628,20201201,49,화,11,서울특별시,1153,구로구,6,FEMALE,0,1193.925165,32.96256876
LI122100010001LI122100010001011629,20201201,49,화,11,서울특별시,1153,구로구,17,FEMALE,0,1415.646076,182.7037539
LI122100010001LI122100010001011630,20201201,49,화,11,서울특별시,1153,구로구,14,FEMALE,1,12842.75974,1670.003205
LI122100010001LI122100010001011631,20201201,49,화,11,서울특별시,1153,구로구,6,FEMALE,7,8410.317104,912.880193
LI122100010001LI122100010001011632,20201201,49,화,11,서울특별시,1153,구로구,18,FEMALE,5,13159.90263,5154.688778
LI122100010001LI122100010001011633,20201201,49,화,11,서울특별시,1153,구로구,8,FEMALE,5,15560.12963,5262.178584
LI122100010001LI122100010001011634,20201201,49,화,11,서울특별시,1153,구로구,19,FEMALE,0,1159.193666,131.297493
LI122100010001LI122100010001011635,20201201,49,화,11,서울특별시,1153,구로구,7,MALE,2,9730.465093,3224.11349
LI122100010001LI122100010001011636,20201201,49,화,11,서울특별시,1153,구로구,0,MALE,5,17964.7128,1263.69307
LI122100010001LI122100010001011637,20201201,49,화,11,서울특별시,1153,구로구,4,FEMALE,6,12946.16643,708.9390876
LI122100010001LI122100010001011638,20201201,49,화,11,서울특별시,1153,구로구,8,FEMALE,3,14710.84095,7610.99725
LI122100010001LI122100010001011639,20201201,49,화,11,서울특별시,1153,구로구,11,MALE,1,13053.77403,1227.064121
