INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010001LI12210001000101191,20201201,49,화,11,서울특별시,1132,도봉구,20,MALE,7,6306.438504,585.6362728
LI122100010001LI12210001000101192,20201201,49,화,11,서울특별시,1132,도봉구,22,MALE,3,6493.170992,1152.913627
LI122100010001LI12210001000101193,20201201,49,화,11,서울특별시,1132,도봉구,20,FEMALE,0,1010.462685,69.41669464
LI122100010001LI12210001000101194,20201201,49,화,11,서울특별시,1132,도봉구,9,FEMALE,3,6668.910556,1050.885818
LI122100010001LI12210001000101195,20201201,49,화,11,서울특별시,1132,도봉구,20,FEMALE,5,10139.97768,1730.972227
LI122100010001LI12210001000101196,20201201,49,화,11,서울특별시,1132,도봉구,23,FEMALE,2,7839.787428,720.9680071
LI122100010001LI12210001000101197,20201201,49,화,11,서울특별시,1132,도봉구,1,FEMALE,1,10230.79977,368.7376025
LI122100010001LI12210001000101198,20201201,49,화,11,서울특별시,1132,도봉구,15,FEMALE,7,9063.139147,1356.651391
LI122100010001LI12210001000101199,20201201,49,화,11,서울특별시,1132,도봉구,10,FEMALE,1,11223.31668,629.5838006
LI122100010001LI122100010001011910,20201201,49,화,11,서울특별시,1132,도봉구,15,FEMALE,1,10899.14215,983.83357
LI122100010001LI122100010001011911,20201201,49,화,11,서울특별시,1132,도봉구,7,FEMALE,1,9862.356384,393.012023
LI122100010001LI122100010001011912,20201201,49,화,11,서울특별시,1132,도봉구,14,MALE,6,7534.444543,1910.9347
LI122100010001LI122100010001011913,20201201,49,화,11,서울특별시,1132,도봉구,2,MALE,3,7595.390153,300.5670623
LI122100010001LI122100010001011914,20201201,49,화,11,서울특별시,1132,도봉구,18,FEMALE,7,8412.702497,936.2172709
LI122100010001LI122100010001011915,20201201,49,화,11,서울특별시,1132,도봉구,0,FEMALE,7,10083.68238,228.9366784
LI122100010001LI122100010001011916,20201201,49,화,11,서울특별시,1132,도봉구,20,MALE,2,6452.603301,1337.706039
LI122100010001LI122100010001011917,20201201,49,화,11,서울특별시,1132,도봉구,3,FEMALE,7,8777.490315,138.2716882
LI122100010001LI122100010001011918,20201201,49,화,11,서울특별시,1132,도봉구,18,MALE,0,789.190829,61.83078957
LI122100010001LI122100010001011919,20201201,49,화,11,서울특별시,1132,도봉구,18,FEMALE,4,8720.397814,2565.632176
LI122100010001LI122100010001011920,20201201,49,화,11,서울특별시,1132,도봉구,1,MALE,7,7321.924374,199.7920996
LI122100010001LI122100010001011921,20201201,49,화,11,서울특별시,1132,도봉구,12,FEMALE,6,9690.761497,1459.550537
LI122100010001LI122100010001011922,20201201,49,화,11,서울특별시,1132,도봉구,4,FEMALE,3,7242.150803,205.5733855
LI122100010001LI122100010001011923,20201201,49,화,11,서울특별시,1132,도봉구,20,MALE,4,6945.656919,1769.193675
LI122100010001LI122100010001011924,20201201,49,화,11,서울특별시,1132,도봉구,8,FEMALE,5,11690.13415,2608.149083
LI122100010001LI122100010001011925,20201201,49,화,11,서울특별시,1132,도봉구,9,FEMALE,1,10931.27837,524.2477555
LI122100010001LI122100010001011926,20201201,49,화,11,서울특별시,1132,도봉구,22,FEMALE,4,9496.480003,997.247431
LI122100010001LI122100010001011927,20201201,49,화,11,서울특별시,1132,도봉구,11,MALE,7,7083.212359,1356.790707
LI122100010001LI122100010001011928,20201201,49,화,11,서울특별시,1132,도봉구,21,MALE,7,6342.700652,537.733452
LI122100010001LI122100010001011929,20201201,49,화,11,서울특별시,1132,도봉구,3,MALE,1,11083.25253,293.7556441
LI122100010001LI122100010001011930,20201201,49,화,11,서울특별시,1132,도봉구,15,MALE,1,12158.42173,1293.481119
LI122100010001LI122100010001011931,20201201,49,화,11,서울특별시,1132,도봉구,0,MALE,1,13500.67237,525.4344959
LI122100010001LI122100010001011932,20201201,49,화,11,서울특별시,1132,도봉구,16,FEMALE,6,8975.605854,1649.222392
LI122100010001LI122100010001011933,20201201,49,화,11,서울특별시,1132,도봉구,10,FEMALE,2,6655.748645,736.6250048
LI122100010001LI122100010001011934,20201201,49,화,11,서울특별시,1132,도봉구,8,FEMALE,3,6809.690617,1736.002484
LI122100010001LI122100010001011935,20201201,49,화,11,서울특별시,1132,도봉구,2,FEMALE,4,10403.53335,275.5052819
LI122100010001LI122100010001011936,20201201,49,화,11,서울특별시,1132,도봉구,15,FEMALE,3,5629.360599,884.2936505
LI122100010001LI122100010001011937,20201201,49,화,11,서울특별시,1132,도봉구,4,FEMALE,6,10314.59966,325.8637569
