INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010001LI12210001000101211,20201201,49,화,11,서울특별시,1159,동작구,14,MALE,6,7722.856526,2327.549573
LI122100010001LI12210001000101212,20201201,49,화,11,서울특별시,1159,동작구,15,MALE,3,6692.560163,2365.573515
LI122100010001LI12210001000101213,20201201,49,화,11,서울특별시,1159,동작구,8,FEMALE,3,10360.65517,5256.401351
LI122100010001LI12210001000101214,20201201,49,화,11,서울특별시,1159,동작구,17,FEMALE,6,8364.002023,2435.971964
LI122100010001LI12210001000101215,20201201,49,화,11,서울특별시,1159,동작구,6,MALE,3,8768.844285,1888.665124
LI122100010001LI12210001000101216,20201201,49,화,11,서울특별시,1159,동작구,14,MALE,3,7645.964244,2157.476779
LI122100010001LI12210001000101217,20201201,49,화,11,서울특별시,1159,동작구,16,MALE,6,6677.053976,3081.963927
LI122100010001LI12210001000101218,20201201,49,화,11,서울특별시,1159,동작구,11,MALE,5,8476.84287,2479.218481
LI122100010001LI12210001000101219,20201201,49,화,11,서울특별시,1159,동작구,7,FEMALE,7,8964.422524,974.7654761
LI122100010001LI122100010001012110,20201201,49,화,11,서울특별시,1159,동작구,22,FEMALE,2,10488.64613,2346.567892
LI122100010001LI122100010001012111,20201201,49,화,11,서울특별시,1159,동작구,20,MALE,6,6691.930933,1933.084145
LI122100010001LI122100010001012112,20201201,49,화,11,서울특별시,1159,동작구,20,MALE,3,8567.111032,3296.642645
LI122100010001LI122100010001012113,20201201,49,화,11,서울특별시,1159,동작구,18,MALE,0,533.2255416,76.52000427
LI122100010001LI122100010001012114,20201201,49,화,11,서울특별시,1159,동작구,20,FEMALE,5,9416.637298,2326.726854
LI122100010001LI122100010001012115,20201201,49,화,11,서울특별시,1159,동작구,12,FEMALE,3,9614.760191,1647.555048
LI122100010001LI122100010001012116,20201201,49,화,11,서울특별시,1159,동작구,22,FEMALE,7,6953.990217,567.1519883
LI122100010001LI122100010001012117,20201201,49,화,11,서울특별시,1159,동작구,19,FEMALE,6,8153.553619,1866.59861
LI122100010001LI122100010001012118,20201201,49,화,11,서울특별시,1159,동작구,3,FEMALE,4,9460.780472,332.4159421
LI122100010001LI122100010001012119,20201201,49,화,11,서울특별시,1159,동작구,8,FEMALE,0,898.2060652,92.79099512
LI122100010001LI122100010001012120,20201201,49,화,11,서울특별시,1159,동작구,8,MALE,5,9223.905558,4074.453765
LI122100010001LI122100010001012121,20201201,49,화,11,서울특별시,1159,동작구,10,MALE,5,8410.310721,2521.512343
LI122100010001LI122100010001012122,20201201,49,화,11,서울특별시,1159,동작구,19,FEMALE,4,8833.832426,3078.685359
LI122100010001LI122100010001012123,20201201,49,화,11,서울특별시,1159,동작구,19,MALE,7,5363.93855,1142.339802
LI122100010001LI122100010001012124,20201201,49,화,11,서울특별시,1159,동작구,18,MALE,4,7009.318755,5791.458813
LI122100010001LI122100010001012125,20201201,49,화,11,서울특별시,1159,동작구,15,MALE,6,6796.921769,2700.26124
LI122100010001LI122100010001012126,20201201,49,화,11,서울특별시,1159,동작구,11,MALE,4,7711.944619,2255.249958
LI122100010001LI122100010001012127,20201201,49,화,11,서울특별시,1159,동작구,3,FEMALE,6,8973.886963,240.1625795
LI122100010001LI122100010001012128,20201201,49,화,11,서울특별시,1159,동작구,9,MALE,4,7865.990314,3054.187519
LI122100010001LI122100010001012129,20201201,49,화,11,서울특별시,1159,동작구,4,FEMALE,3,10192.6074,402.7804871
LI122100010001LI122100010001012130,20201201,49,화,11,서울특별시,1159,동작구,1,MALE,6,8194.478612,532.9748172
LI122100010001LI122100010001012131,20201201,49,화,11,서울특별시,1159,동작구,22,MALE,1,8500.660406,1175.724825
LI122100010001LI122100010001012132,20201201,49,화,11,서울특별시,1159,동작구,5,FEMALE,6,9156.403359,881.1680555
LI122100010001LI122100010001012133,20201201,49,화,11,서울특별시,1159,동작구,0,MALE,2,12573.2979,989.5489813
LI122100010001LI122100010001012134,20201201,49,화,11,서울특별시,1159,동작구,8,FEMALE,1,9612.840116,696.2875917
LI122100010001LI122100010001012135,20201201,49,화,11,서울특별시,1159,동작구,11,FEMALE,6,9681.940552,1794.430488
LI122100010001LI122100010001012136,20201201,49,화,11,서울특별시,1159,동작구,0,FEMALE,7,9316.376747,251.9301288
LI122100010001LI122100010001012137,20201201,49,화,11,서울특별시,1159,동작구,7,FEMALE,4,10651.35246,2706.833193
LI122100010001LI122100010001012138,20201201,49,화,11,서울특별시,1159,동작구,3,MALE,2,11188.88243,512.4290237
LI122100010001LI122100010001012139,20201201,49,화,11,서울특별시,1159,동작구,16,FEMALE,2,8767.117067,2295.286447
LI122100010001LI122100010001012140,20201201,49,화,11,서울특별시,1159,동작구,13,FEMALE,2,10870.72749,1903.233387
LI122100010001LI122100010001012141,20201201,49,화,11,서울특별시,1159,동작구,6,MALE,7,5833.604212,1217.19492
LI122100010001LI122100010001012142,20201201,49,화,11,서울특별시,1159,동작구,5,MALE,6,8428.429709,1894.762421
LI122100010001LI122100010001012143,20201201,49,화,11,서울특별시,1159,동작구,19,FEMALE,0,730.2778528,60.07553053
LI122100010001LI122100010001012144,20201201,49,화,11,서울특별시,1159,동작구,9,MALE,2,10784.93152,2414.105228
LI122100010001LI122100010001012145,20201201,49,화,11,서울특별시,1159,동작구,9,FEMALE,0,922.799978,73.01085329
LI122100010001LI122100010001012146,20201201,49,화,11,서울특별시,1159,동작구,1,FEMALE,5,10587.15718,367.5877427
LI122100010001LI122100010001012147,20201201,49,화,11,서울특별시,1159,동작구,4,MALE,0,638.3737822,14.37799215
LI122100010001LI122100010001012148,20201201,49,화,11,서울특별시,1159,동작구,14,MALE,2,11072.95824,2051.561443
LI122100010001LI122100010001012149,20201201,49,화,11,서울특별시,1159,동작구,13,FEMALE,3,9287.703179,1666.980994
LI122100010001LI122100010001012150,20201201,49,화,11,서울특별시,1159,동작구,13,MALE,1,10512.84996,1206.548998
LI122100010001LI122100010001012151,20201201,49,화,11,서울특별시,1159,동작구,4,MALE,1,8145.995073,188.4099813
LI122100010001LI122100010001012152,20201201,49,화,11,서울특별시,1159,동작구,19,FEMALE,2,10497.23312,4205.037772
LI122100010001LI122100010001012153,20201201,49,화,11,서울특별시,1159,동작구,20,FEMALE,7,7133.392928,779.7932246
LI122100010001LI122100010001012154,20201201,49,화,11,서울특별시,1159,동작구,12,FEMALE,7,9746.057859,1449.085524
LI122100010001LI122100010001012155,20201201,49,화,11,서울특별시,1159,동작구,23,MALE,4,8453.491352,1556.355389
LI122100010001LI122100010001012156,20201201,49,화,11,서울특별시,1159,동작구,23,FEMALE,2,10576.37768,1596.721267
LI122100010001LI122100010001012157,20201201,49,화,11,서울특별시,1159,동작구,16,MALE,7,5740.792009,2023.12348
LI122100010001LI122100010001012158,20201201,49,화,11,서울특별시,1159,동작구,9,FEMALE,7,9571.607611,1385.254565
LI122100010001LI122100010001012159,20201201,49,화,11,서울특별시,1159,동작구,14,FEMALE,0,961.055367,110.0159018
LI122100010001LI122100010001012160,20201201,49,화,11,서울특별시,1159,동작구,9,MALE,6,8068.34974,2147.895413
