INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010001LI12210001000101251,20201201,49,화,11,서울특별시,1165,서초구,11,FEMALE,7,9917.424924,2766.785494
LI122100010001LI12210001000101252,20201201,49,화,11,서울특별시,1165,서초구,1,FEMALE,2,8368.930884,615.3703582
LI122100010001LI12210001000101253,20201201,49,화,11,서울특별시,1165,서초구,22,FEMALE,6,5704.606048,1147.599101
LI122100010001LI12210001000101254,20201201,49,화,11,서울특별시,1165,서초구,19,MALE,5,9987.349367,7535.819687
LI122100010001LI12210001000101255,20201201,49,화,11,서울특별시,1165,서초구,14,MALE,1,11509.13069,1749.164297
LI122100010001LI12210001000101256,20201201,49,화,11,서울특별시,1165,서초구,19,MALE,1,9286.719978,1744.015903
LI122100010001LI12210001000101257,20201201,49,화,11,서울특별시,1165,서초구,17,MALE,3,14946.90446,7626.907595
LI122100010001LI12210001000101258,20201201,49,화,11,서울특별시,1165,서초구,12,MALE,7,8701.904569,3132.429171
LI122100010001LI12210001000101259,20201201,49,화,11,서울특별시,1165,서초구,15,MALE,1,9805.134747,2264.107729
LI122100010001LI122100010001012510,20201201,49,화,11,서울특별시,1165,서초구,22,MALE,7,3957.483609,752.6711594
LI122100010001LI122100010001012511,20201201,49,화,11,서울특별시,1165,서초구,18,FEMALE,4,13958.23904,6886.242807
LI122100010001LI122100010001012512,20201201,49,화,11,서울특별시,1165,서초구,10,MALE,1,10917.87362,1134.320728
LI122100010001LI122100010001012513,20201201,49,화,11,서울특별시,1165,서초구,21,FEMALE,1,8796.318619,2085.054617
LI122100010001LI122100010001012514,20201201,49,화,11,서울특별시,1165,서초구,8,MALE,3,15159.28964,13019.78764
LI122100010001LI122100010001012515,20201201,49,화,11,서울특별시,1165,서초구,0,FEMALE,5,10092.22795,699.6165552
LI122100010001LI122100010001012516,20201201,49,화,11,서울특별시,1165,서초구,22,MALE,6,4581.340293,2424.122856
LI122100010001LI122100010001012517,20201201,49,화,11,서울특별시,1165,서초구,17,MALE,1,9570.704474,2493.189622
LI122100010001LI122100010001012518,20201201,49,화,11,서울특별시,1165,서초구,13,MALE,7,8809.746102,3360.020247
LI122100010001LI122100010001012519,20201201,49,화,11,서울특별시,1165,서초구,0,FEMALE,4,12832.2843,844.6485621
LI122100010001LI122100010001012520,20201201,49,화,11,서울특별시,1165,서초구,1,FEMALE,6,7543.608143,335.3959537
LI122100010001LI122100010001012521,20201201,49,화,11,서울특별시,1165,서초구,18,FEMALE,0,722.0474949,126.7998259
LI122100010001LI122100010001012522,20201201,49,화,11,서울특별시,1165,서초구,4,FEMALE,0,902.0058808,13.00599647
LI122100010001LI122100010001012523,20201201,49,화,11,서울특별시,1165,서초구,11,FEMALE,2,20361.79052,4046.178562
LI122100010001LI122100010001012524,20201201,49,화,11,서울특별시,1165,서초구,14,MALE,0,851.0585938,115.7258711
LI122100010001LI122100010001012525,20201201,49,화,11,서울특별시,1165,서초구,18,MALE,7,5356.34572,2612.028448
LI122100010001LI122100010001012526,20201201,49,화,11,서울특별시,1165,서초구,1,MALE,4,10527.99631,1068.454786
LI122100010001LI122100010001012527,20201201,49,화,11,서울특별시,1165,서초구,11,MALE,4,22976.56224,6609.918658
LI122100010001LI122100010001012528,20201201,49,화,11,서울특별시,1165,서초구,19,FEMALE,4,11865.81691,5149.471731
LI122100010001LI122100010001012529,20201201,49,화,11,서울특별시,1165,서초구,21,FEMALE,6,6436.113329,2147.446618
