INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010001LI12210001000101271,20201201,49,화,11,서울특별시,1129,성북구,1,FEMALE,5,10134.5729,436.8031511
LI122100010001LI12210001000101272,20201201,49,화,11,서울특별시,1129,성북구,1,FEMALE,7,7433.998984,284.5522773
LI122100010001LI12210001000101273,20201201,49,화,11,서울특별시,1129,성북구,18,FEMALE,4,9415.80601,3728.292603
LI122100010001LI12210001000101274,20201201,49,화,11,서울특별시,1129,성북구,19,MALE,1,10540.21916,1484.229492
LI122100010001LI12210001000101275,20201201,49,화,11,서울특별시,1129,성북구,1,MALE,6,7153.570012,542.6249548
LI122100010001LI12210001000101276,20201201,49,화,11,서울특별시,1129,성북구,15,MALE,5,6953.351331,2882.754438
LI122100010001LI12210001000101277,20201201,49,화,11,서울특별시,1129,성북구,9,FEMALE,1,11224.98923,753.9879918
LI122100010001LI12210001000101278,20201201,49,화,11,서울특별시,1129,성북구,5,MALE,5,9949.561814,1984.554159
LI122100010001LI12210001000101279,20201201,49,화,11,서울특별시,1129,성북구,12,FEMALE,5,10260.29492,1979.563955
LI122100010001LI122100010001012710,20201201,49,화,11,서울특별시,1129,성북구,20,MALE,4,8019.678923,2907.505404
LI122100010001LI122100010001012711,20201201,49,화,11,서울특별시,1129,성북구,9,MALE,3,6407.643041,2052.053334
LI122100010001LI122100010001012712,20201201,49,화,11,서울특별시,1129,성북구,9,FEMALE,3,8078.859907,1999.091994
LI122100010001LI122100010001012713,20201201,49,화,11,서울특별시,1129,성북구,12,MALE,5,7977.569262,2561.509218
LI122100010001LI122100010001012714,20201201,49,화,11,서울특별시,1129,성북구,4,MALE,3,7979.820882,539.2918239
LI122100010001LI122100010001012715,20201201,49,화,11,서울특별시,1129,성북구,13,MALE,1,12902.52255,1325.677212
LI122100010001LI122100010001012716,20201201,49,화,11,서울특별시,1129,성북구,21,MALE,1,11642.33285,1864.307283
LI122100010001LI122100010001012717,20201201,49,화,11,서울특별시,1129,성북구,20,MALE,2,8907.358536,2343.315385
LI122100010001LI122100010001012718,20201201,49,화,11,서울특별시,1129,성북구,2,MALE,5,9667.816517,620.9293873
LI122100010001LI122100010001012719,20201201,49,화,11,서울특별시,1129,성북구,3,MALE,5,9697.53518,637.7269559
LI122100010001LI122100010001012720,20201201,49,화,11,서울특별시,1129,성북구,13,FEMALE,3,7958.452813,1429.579601
LI122100010001LI122100010001012721,20201201,49,화,11,서울특별시,1129,성북구,15,FEMALE,2,9814.645332,1895.044861
LI122100010001LI122100010001012722,20201201,49,화,11,서울특별시,1129,성북구,10,MALE,7,5940.90096,1550.385887
LI122100010001LI122100010001012723,20201201,49,화,11,서울특별시,1129,성북구,0,MALE,0,951.5129619,26.08014297
LI122100010001LI122100010001012724,20201201,49,화,11,서울특별시,1129,성북구,8,FEMALE,6,9213.267766,2023.218382
LI122100010001LI122100010001012725,20201201,49,화,11,서울특별시,1129,성북구,16,MALE,0,855.2719924,84.64178491
LI122100010001LI122100010001012726,20201201,49,화,11,서울특별시,1129,성북구,13,FEMALE,0,1216.441149,94.59477305
LI122100010001LI122100010001012727,20201201,49,화,11,서울특별시,1129,성북구,11,FEMALE,6,8816.19792,1744.620146
LI122100010001LI122100010001012728,20201201,49,화,11,서울특별시,1129,성북구,16,FEMALE,6,7852.761375,2358.974433
LI122100010001LI122100010001012729,20201201,49,화,11,서울특별시,1129,성북구,2,FEMALE,3,8594.129894,424.5675434
LI122100010001LI122100010001012730,20201201,49,화,11,서울특별시,1129,성북구,12,MALE,2,10137.89161,1888.261856
LI122100010001LI122100010001012731,20201201,49,화,11,서울특별시,1129,성북구,21,MALE,7,4608.607337,799.7923081
LI122100010001LI122100010001012732,20201201,49,화,11,서울특별시,1129,성북구,15,FEMALE,0,1121.693137,135.2646661
LI122100010001LI122100010001012733,20201201,49,화,11,서울특별시,1129,성북구,14,MALE,2,9868.644047,1967.529066
LI122100010001LI122100010001012734,20201201,49,화,11,서울특별시,1129,성북구,13,MALE,7,6015.419525,1548.324918
