INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010001LI12210001000101291,20201201,49,화,11,서울특별시,1147,양천구,15,MALE,3,6074.002541,2252.535125
LI122100010001LI12210001000101292,20201201,49,화,11,서울특별시,1147,양천구,18,MALE,1,16263.2392,2503.104399
LI122100010001LI12210001000101293,20201201,49,화,11,서울특별시,1147,양천구,15,FEMALE,7,7704.377339,1362.72194
LI122100010001LI12210001000101294,20201201,49,화,11,서울특별시,1147,양천구,6,FEMALE,3,8184.687963,711.4564137
LI122100010001LI12210001000101295,20201201,49,화,11,서울특별시,1147,양천구,15,FEMALE,0,1145.278259,151.4996281
LI122100010001LI12210001000101296,20201201,49,화,11,서울특별시,1147,양천구,19,MALE,0,747.102567,56.71737099
LI122100010001LI12210001000101297,20201201,49,화,11,서울특별시,1147,양천구,9,FEMALE,2,8469.821999,1357.789722
LI122100010001LI12210001000101298,20201201,49,화,11,서울특별시,1147,양천구,6,FEMALE,5,10693.37621,1041.990472
LI122100010001LI12210001000101299,20201201,49,화,11,서울특별시,1147,양천구,8,MALE,3,7475.661603,3225.435789
LI122100010001LI122100010001012910,20201201,49,화,11,서울특별시,1147,양천구,5,FEMALE,3,9364.758629,444.3676131
LI122100010001LI122100010001012911,20201201,49,화,11,서울특별시,1147,양천구,17,FEMALE,2,6785.358136,1712.247566
LI122100010001LI122100010001012912,20201201,49,화,11,서울특별시,1147,양천구,0,FEMALE,1,18091.77365,744.7282541
LI122100010001LI122100010001012913,20201201,49,화,11,서울특별시,1147,양천구,5,MALE,6,9350.46663,1567.108462
LI122100010001LI122100010001012914,20201201,49,화,11,서울특별시,1147,양천구,14,MALE,0,1287.071973,109.8278267
LI122100010001LI122100010001012915,20201201,49,화,11,서울특별시,1147,양천구,3,MALE,7,6162.27484,166.432399
LI122100010001LI122100010001012916,20201201,49,화,11,서울특별시,1147,양천구,11,MALE,7,6741.383779,1287.451564
LI122100010001LI122100010001012917,20201201,49,화,11,서울특별시,1147,양천구,14,FEMALE,5,11914.69968,2036.943679
LI122100010001LI122100010001012918,20201201,49,화,11,서울특별시,1147,양천구,13,MALE,2,8071.100979,1458.759984
LI122100010001LI122100010001012919,20201201,49,화,11,서울특별시,1147,양천구,4,FEMALE,0,1260.723502,23.10744476
LI122100010001LI122100010001012920,20201201,49,화,11,서울특별시,1147,양천구,7,FEMALE,7,8246.077976,672.8412709
LI122100010001LI122100010001012921,20201201,49,화,11,서울특별시,1147,양천구,18,FEMALE,4,11857.45129,3889.326422
LI122100010001LI122100010001012922,20201201,49,화,11,서울특별시,1147,양천구,2,MALE,5,11502.89919,520.0278337
LI122100010001LI122100010001012923,20201201,49,화,11,서울특별시,1147,양천구,19,FEMALE,1,13729.84745,1694.058621
LI122100010001LI122100010001012924,20201201,49,화,11,서울특별시,1147,양천구,8,FEMALE,5,12358.32701,2878.683249
LI122100010001LI122100010001012925,20201201,49,화,11,서울특별시,1147,양천구,16,MALE,6,6780.652165,3135.545745
LI122100010001LI122100010001012926,20201201,49,화,11,서울특별시,1147,양천구,1,FEMALE,0,1236.448668,12.55841494
LI122100010001LI122100010001012927,20201201,49,화,11,서울특별시,1147,양천구,9,MALE,3,7077.565745,2288.975779
LI122100010001LI122100010001012928,20201201,49,화,11,서울특별시,1147,양천구,6,MALE,0,861.7135904,25.64515376
LI122100010001LI122100010001012929,20201201,49,화,11,서울특별시,1147,양천구,17,MALE,0,871.8477921,107.909097
LI122100010001LI122100010001012930,20201201,49,화,11,서울특별시,1147,양천구,1,FEMALE,5,12131.91144,402.6687503
LI122100010001LI122100010001012931,20201201,49,화,11,서울특별시,1147,양천구,3,MALE,4,11697.10169,534.1018933
LI122100010001LI122100010001012932,20201201,49,화,11,서울특별시,1147,양천구,22,MALE,5,9160.941317,2140.344154
LI122100010001LI122100010001012933,20201201,49,화,11,서울특별시,1147,양천구,20,MALE,7,4930.564654,694.3889207
LI122100010001LI122100010001012934,20201201,49,화,11,서울특별시,1147,양천구,23,MALE,7,4700.234349,270.3333443
LI122100010001LI122100010001012935,20201201,49,화,11,서울특별시,1147,양천구,4,MALE,4,11876.63474,654.2379547
LI122100010001LI122100010001012936,20201201,49,화,11,서울특별시,1147,양천구,21,MALE,7,4922.256672,638.6696976
LI122100010001LI122100010001012937,20201201,49,화,11,서울특별시,1147,양천구,18,MALE,5,8209.086245,4618.271548
LI122100010001LI122100010001012938,20201201,49,화,11,서울특별시,1147,양천구,16,MALE,1,15927.46811,2503.280834
LI122100010001LI122100010001012939,20201201,49,화,11,서울특별시,1147,양천구,1,MALE,1,16163.55798,665.7296064
LI122100010001LI122100010001012940,20201201,49,화,11,서울특별시,1147,양천구,21,MALE,6,7173.340081,1832.602376
LI122100010001LI122100010001012941,20201201,49,화,11,서울특별시,1147,양천구,18,MALE,4,7938.895245,4835.074024
LI122100010001LI122100010001012942,20201201,49,화,11,서울특별시,1147,양천구,21,FEMALE,7,6191.766813,535.0458065
