광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,구로구,202011,일반유통,자동차,수입차,0,0,4,2373896000,514,593473885,4618474
서울,구로구,202011,일반유통,자동차,오토바이,0,0,24,18654000,174,777248,107207
서울,구로구,202011,일반유통,자동차,중고차,0,0,1,30925000,8,30925000,3865625
서울,구로구,202011,일반유통,전기/가전,가전제품,1,0,112,11496590000,725170,102648123,15854
서울,구로구,202011,일반유통,전기/가전,영상/음향기기,0,0,2,480000,4,239895,119948
서울,구로구,202011,일반유통,전기/가전,전기자재/장비,0,0,29,29803000,223,1027701,133647
서울,구로구,202011,일반유통,전기/가전,조명기구,2,2,298,365758000,2501,1227376,146245
서울,구로구,202011,일반유통,주방,그릇/주방기기,0,0,29,30516000,801,1052271,38097
서울,구로구,202011,일반유통,주방,정수기/연수기기,0,0,1,209000,2,209000,104500
서울,구로구,202011,일반유통,의류,한복,0,0,7,3223000,19,460457,169642
서울,구로구,202011,일반유통,침구류,침구류,1,0,21,29188000,228,1389905,128018
서울,구로구,202011,일반유통,패션잡화,가방/핸드백,0,1,12,3972000,78,330984,50921
서울,구로구,202011,일반유통,패션잡화,시계/귀금속,0,1,35,23365000,142,667569,164542
서울,구로구,202011,일반유통,패션잡화,신발,0,2,34,27442000,816,807126,33630
서울,구로구,202011,일반유통,패션잡화,액세서리,2,1,38,18192000,630,478725,28875
서울,구로구,202011,일반유통,화장품,화장품,4,7,261,220338000,3634,844205,60632
서울,구로구,202011,전문서비스,개인병원,병원-가정의학과,0,0,16,28281000,1461,1767585,19358
서울,구로구,202011,전문서비스,개인병원,병원-내과,0,0,41,206396000,7696,5034045,26819
서울,구로구,202011,전문서비스,개인병원,병원-마취과,0,0,8,113452000,1542,14181548,73575
서울,구로구,202011,전문서비스,개인병원,병원-비뇨기과,0,0,8,17695000,911,2211846,19423
서울,구로구,202011,전문서비스,개인병원,병원-산부인과,0,0,12,49442000,1252,4120129,39490
