광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,마포구,202010,생활서비스,사회단체,사회단체,4,0,25,24915000,422,996609,59041
서울,마포구,202010,생활서비스,사회단체,조합/협회,0,0,18,106243000,4881,5902399,21767
서울,마포구,202010,생활서비스,사회단체,종교단체,0,0,5,3240000,6,648000,540000
서울,마포구,202010,생활서비스,세탁소,세탁소,2,1,143,101868000,6357,712365,16025
서울,마포구,202010,생활서비스,수리점,가전제품 수리,0,0,4,102094000,1203,25523450,84866
서울,마포구,202010,생활서비스,수리점,가정용품 수리,1,0,58,81186000,1488,1399763,54561
서울,마포구,202010,생활서비스,수리점,정보통신기기 수리,0,0,4,1993000,12,498250,166083
서울,마포구,202010,생활서비스,연료,LPG가스,0,0,1,438411000,203,438411323,2159662
서울,마포구,202010,생활서비스,연료,가정용연료,0,0,18,169048000,101,9391542,1673740
서울,마포구,202010,생활서비스,사회단체,복지시설,0,0,3,1302000,43,433838,30268
서울,마포구,202010,생활서비스,연료,주유소,0,0,16,719253000,18096,44953310,39747
서울,마포구,202010,생활서비스,열쇠/도장,열쇠,0,0,25,9413000,205,376516,45917
서울,마포구,202010,생활서비스,월납/세금,월납/세금,0,0,2,7271192000,25105,3635595975,289631
서울,마포구,202010,생활서비스,월납/세금,통신요금,0,0,3,22314665000,118919,7438221661,187646
서울,마포구,202010,생활서비스,자동차-기타,렌터카,0,6,8,15127000,40,1890869,378174
서울,마포구,202010,생활서비스,자동차-기타,자동차 견인,0,0,1,275000,2,275000,137500
서울,마포구,202010,생활서비스,자동차-기타,주차장,4,0,99,147345000,15599,1488337,9446
서울,마포구,202010,생활서비스,자동차정비,자동차 경정비,1,1,162,401931000,3097,2481053,129781
서울,마포구,202010,생활서비스,자동차정비,자동차 시트/타이어,0,0,7,23516000,53,3359429,443698
서울,마포구,202010,생활서비스,자동차정비,중장비 판매,0,0,2,19097000,54,9548690,353655
서울,마포구,202010,생활서비스,택시,택시,0,0,1,1317000,4,1317100,329275
서울,마포구,202010,생활서비스,열쇠/도장,도장,0,0,1,168000,30,168000,5600
서울,마포구,202010,생활서비스,사진,사진기/광학제품,1,0,8,59834000,993,7479311,60256
서울,마포구,202010,생활서비스,사진,사진관,8,6,134,103155000,2117,769814,48727
서울,마포구,202010,생활서비스,미용/사우나/마사지,피부관리/마사지,1,2,125,185476000,980,1483807,189261
서울,마포구,202010,문화레져,음반/음원/영상,음반/음원,0,0,30,49397000,1129,1646561,43753
서울,마포구,202010,문화레져,전시/관람/체험,단전호흡,0,0,1,150000,1,150000,150000
서울,마포구,202010,문화레져,전시/관람/체험,박물관/전시관,0,0,2,1867000,25,933625,74690
서울,마포구,202010,문화레져,전시/관람/체험,수족관,0,0,4,4472000,77,1117875,58071
서울,마포구,202010,문화레져,전시/관람/체험,연극/음악/공연,0,0,10,25565000,1325,2556496,19294
서울,마포구,202010,문화레져,전시/관람/체험,영화관,7,2,94,149868000,9316,1594338,16087
서울,마포구,202010,문화레져,전시/관람/체험,자연학습원,0,1,7,3787000,155,540937,24429
서울,마포구,202010,문화레져,전시/관람/체험,테마카페,0,0,9,15615000,994,1734957,15709
서울,마포구,202010,문화레져,종교,종교용품,0,0,1,68000,1,68000,68000
서울,마포구,202010,문화레져,화원,꽃집/꽃배달,6,2,144,110955000,4318,770520,25696
서울,마포구,202010,문화레져,화원,화훼/조경,0,0,5,3829000,111,765792,34495
서울,마포구,202010,생활서비스,기계/장비대여,정밀기기 대여,0,0,29,78535000,674,2708099,116521
서울,마포구,202010,생활서비스,기계/장비대여,중장비 대여,0,0,1,2080000,182,2080000,11429
서울,마포구,202010,생활서비스,농기구,농기구/자재,0,0,2,43629000,22,21814350,1983123
서울,마포구,202010,생활서비스,대중교통,버스/지하철,0,0,1,176000,34,176000,5176
서울,마포구,202010,생활서비스,미용/사우나/마사지,가발,0,0,5,9200000,97,1840000,94845
서울,마포구,202010,생활서비스,미용/사우나/마사지,네일케어,0,0,97,55143000,800,568485,68929
서울,마포구,202010,생활서비스,미용/사우나/마사지,목욕탕,0,0,25,73367000,4433,2934672,16550
서울,마포구,202010,생활서비스,미용/사우나/마사지,미용실,17,13,962,1370276000,22284,1424403,61491
서울,마포구,202010,생활서비스,미용/사우나/마사지,미용제품,1,3,42,50029000,652,1191157,76731
서울,마포구,202010,생활서비스,미용/사우나/마사지,스포츠마사지,1,1,30,36178000,320,1205927,113056
서울,마포구,202010,생활서비스,미용/사우나/마사지,체형/두피관리,1,0,16,24875000,135,1554656,184256
서울,마포구,202010,생활서비스,화물운송업,콜밴,0,0,4,3396000,14,849000,242571
서울,마포구,202010,생활서비스,화물운송업,퀵배달,0,0,1,13276000,594,13275680,22350
서울,마포구,202010,생활서비스,화물운송업,택배업,0,0,2,1455000,121,727635,12027
서울,마포구,202010,음식,양식,패밀리 레스토랑,0,2,6,128541000,2251,21423477,57104
서울,마포구,202010,음식,유흥주점,룸살롱/단란주점,0,2,58,78538000,565,1354103,139005
서울,마포구,202010,음식,유흥주점,일반 유흥주점,0,1,38,73999000,1181,1947353,62658
서울,마포구,202010,음식,음료,주스,0,0,7,12264000,2566,1752057,4780
서울,마포구,202010,음식,음료,차,1,0,8,25689000,3932,3211094,6533
서울,마포구,202010,음식,음료,커피,9,9,534,1328506000,185525,2487838,7161
서울,마포구,202010,음식,주점및주류판매,꼬치구이,0,0,31,122554000,2222,3953347,55155
서울,마포구,202010,음식,주점및주류판매,맥주/요리주점,0,1,89,298858000,7872,3357957,37965
서울,마포구,202010,음식,주점및주류판매,민속주점,0,0,4,14416000,356,3603975,40494
서울,마포구,202010,음식,주점및주류판매,주류,1,0,16,74871000,1040,4679439,71991
서울,마포구,202010,음식,주점및주류판매,포장마차,0,0,13,87882000,2318,6760190,37913
서울,마포구,202010,음식,패스트푸드,치킨,4,5,241,553748000,22219,2297709,24922
서울,마포구,202010,음식,패스트푸드,피자,4,2,90,247886000,10695,2754294,23178
서울,마포구,202010,음식,패스트푸드,햄버거,0,0,61,397362000,44530,6514130,8923
서울,마포구,202010,음식,한식,가정식,35,29,1757,6353077000,206748,3615866,30729
서울,마포구,202010,음식,한식,구내식당/푸드코트,0,1,12,52758000,4577,4396516,11527
서울,마포구,202010,음식,한식,기사식당,0,0,6,46588000,2657,7764633,17534
서울,마포구,202010,음식,한식,단품요리 전문,61,64,3136,9076283000,434797,2894223,20875
서울,마포구,202010,음식,한식,도시락,0,0,31,81097000,4548,2616043,17831
서울,마포구,202010,음식,한식,야식,0,0,2,1461000,39,730350,37454
서울,마포구,202010,일반유통,가구,가구,0,0,37,86543000,2084,2339008,41528
서울,마포구,202010,일반유통,각종기기판매/서비스,사무용기기,0,0,34,92837000,737,2730512,125967
서울,마포구,202010,일반유통,각종기기판매/서비스,자동판매기,0,0,7,3173000,855,453286,3711
서울,마포구,202010,일반유통,각종기기판매/서비스,컴퓨터/주변기기,2,2,125,11477529000,272332,91820236,42145
서울,마포구,202010,일반유통,각종기기판매/서비스,통신관련서비스,0,0,5,56955000,927,11391017,61440
서울,마포구,202010,음식,양식,양식,14,15,492,1685759000,46392,3426339,36337
서울,마포구,202010,문화레져,음반/음원/영상,악기,0,0,22,22234000,434,1010614,51229
서울,마포구,202010,음식,양식,스테이크,0,1,16,42214000,1667,2638353,25323
서울,마포구,202010,음식,아시아음식,중식,4,5,252,1298202000,45703,5151594,28405
서울,마포구,202010,생활서비스,화물운송업,화물운송,0,1,21,162878000,1185,7756094,137450
서울,마포구,202010,음식,간식,도너츠,0,0,7,38863000,6132,5551830,6338
서울,마포구,202010,음식,간식,떡/한과,0,1,24,39892000,2655,1662174,15025
서울,마포구,202010,음식,간식,베이커리,3,4,233,867345000,87772,3722512,9882
서울,마포구,202010,음식,간식,분식,4,5,220,516519000,54319,2347813,9509
서울,마포구,202010,음식,간식,샌드위치/토스트,0,0,29,126692000,14142,4368677,8959
서울,마포구,202010,음식,간식,아이스크림/빙수,0,0,27,73419000,8856,2719235,8290
서울,마포구,202010,음식,건강식품,건강식품,0,1,46,211224000,668,4591826,316204
서울,마포구,202010,음식,건강식품,건강원,0,0,6,3253000,137,542167,23745
서울,마포구,202010,음식,농축수산물,농산물,2,0,148,777129000,44209,5250874,17579
서울,마포구,202010,음식,농축수산물,수산물,0,1,47,265836000,7268,5656094,36576
서울,마포구,202010,음식,농축수산물,유제품,0,1,3,2005000,20,668167,100225
서울,마포구,202010,음식,농축수산물,청과물,2,0,43,191070000,8179,4443477,23361
서울,마포구,202010,음식,농축수산물,축산물,0,0,13,86655000,2365,6665749,36640
서울,마포구,202010,음식,부페,부페,0,0,6,33462000,513,5577082,65229
서울,마포구,202010,음식,식품,농협-마트,0,0,1,119953000,4726,119953190,25382
서울,마포구,202010,음식,식품,담배,0,0,12,31521000,577,2626767,54629
서울,마포구,202010,음식,식품,미곡상,1,0,17,26961000,537,1585929,50206
서울,마포구,202010,음식,식품,반찬,0,0,19,55308000,3591,2910921,15402
서울,마포구,202010,음식,식품,식료품,1,6,353,898003000,61107,2543919,14696
서울,마포구,202010,음식,식품,식자재,0,0,5,19861000,624,3972118,31828
서울,마포구,202010,음식,식품제조,식품 제조,0,2,40,70724000,4891,1768092,14460
서울,마포구,202010,음식,아시아음식,동남아/인도음식,0,0,24,108086000,4940,4503588,21880
서울,마포구,202010,음식,아시아음식,일식,11,11,481,2290309000,62076,4761557,36895
서울,마포구,202010,음식,양식,기타세계요리,0,0,3,43128000,830,14376111,51962
서울,마포구,202010,문화레져,운명/운세/작명,운명/운세/작명,1,0,19,2841000,114,149526,24921
서울,마포구,202010,문화레져,완구/아동용자전거,장난감/오락기기,0,1,44,151692000,6673,3447542,22732
서울,마포구,202010,일반유통,각종기기판매/서비스,휴대폰,0,0,1,120000,1,120000,120000
서울,마포구,202010,문화레져,레져,유아교육/키즈카페,0,0,20,539564000,5459,26978184,98839
서울,마포구,202010,문화레져,레져,탁구장,0,0,5,1252000,61,250320,20518
서울,마포구,202010,문화레져,레져,테니스장,0,0,1,1507000,6,1507000,251167
서울,마포구,202010,문화레져,레져용품,골프용품,0,0,7,16381000,163,2340129,100496
서울,마포구,202010,문화레져,레져용품,낚시용품,0,0,1,9093000,189,9092700,48110
서울,마포구,202010,문화레져,레져용품,스포츠용품,2,2,48,287135000,1852,5981982,155041
서울,마포구,202010,문화레져,레져용품,스포츠의류전문,0,0,9,282419000,2218,31379927,127331
서울,마포구,202010,문화레져,레져용품,자전거-성인용,0,0,33,91286000,818,2766243,111597
서울,마포구,202010,문화레져,숙박,1급호텔,0,0,2,52372000,616,26186154,85020
서울,마포구,202010,문화레져,숙박,2급호텔,0,0,1,60879000,472,60878823,128981
서울,마포구,202010,문화레져,숙박,고시원,0,0,4,2097000,97,524125,21613
서울,마포구,202010,문화레져,숙박,모텔,4,4,65,172425000,2870,2652687,60078
서울,마포구,202010,문화레져,숙박,여관/민박,0,0,12,10480000,321,873300,32647
서울,마포구,202010,문화레져,숙박,특급호텔,0,0,4,128392000,1426,32098111,90037
서울,마포구,202010,문화레져,숙박,호텔-기타,0,0,5,15810000,404,3162056,39134
서울,마포구,202010,문화레져,여행사,여행사,0,0,13,44934000,216,3456465,208028
서울,마포구,202010,문화레져,예술품,골동품/예술품,1,0,3,2576000,25,858667,103040
서울,마포구,202010,문화레져,예술품,공예품,4,1,36,17867000,445,496294,40150
서울,마포구,202010,문화레져,예술품,그림/액자,2,1,27,19126000,68,708359,281260
서울,마포구,202010,문화레져,예술품,선물/기념품,0,0,5,3186000,279,637100,11418
서울,마포구,202010,문화레져,오락실/PC방,인터넷PC방,1,1,48,145465000,26370,3030528,5516
서울,마포구,202010,문화레져,오락실/PC방,전자오락실,0,0,4,5032000,478,1257875,10526
서울,마포구,202010,문화레져,레져,요가,0,3,32,78203000,145,2443857,539334
서울,마포구,202010,문화레져,레져,실내야구연습장,0,0,2,4739000,77,2369675,61550
서울,마포구,202010,문화레져,레져,스포츠센터,12,3,234,555720000,3461,2374873,160566
서울,마포구,202010,문화레져,동물,동물농장,0,0,1,1350000,77,1350000,17532
서울,마포구,202010,문화레져,동물,애완동물/용품,3,1,68,125558000,3554,1846441,35329
서울,마포구,202010,문화레져,동물병원,병원-동물병원,0,0,39,424999000,3448,10897403,123259
서울,마포구,202010,문화레져,레져,낚시터,0,0,1,187000,8,187000,23375
서울,마포구,202010,문화레져,레져,노래방,2,4,187,199425000,8050,1066443,24773
서울,마포구,202010,문화레져,레져,당구장,0,2,84,52306000,3366,622685,15539
서울,마포구,202010,문화레져,레져,무술 도장,0,1,12,20756000,64,1729667,324313
서울,마포구,202010,문화레져,레져,볼링장,0,0,5,35776000,1243,7155208,28782
서울,마포구,202010,문화레져,레져,비디오감상실,0,0,5,11832000,531,2366300,22282
서울,마포구,202010,문화레져,레져,수영장,0,0,4,26446000,140,6611623,188904
서울,마포구,202010,문화레져,레져,스포츠강습,1,0,43,72769000,1896,1692295,38380
서울,마포구,202010,문화레져,레져,실내골프장,0,0,32,119202000,2808,3725077,42451
서울,마포구,202010,일반유통,건설/건축,건축용자재/용품,6,1,98,247961000,2885,2530219,85949
서울,마포구,202010,일반유통,건설/건축,페인트,0,0,11,25262000,427,2296581,59163
서울,마포구,202010,전문서비스,학원,학습지,0,0,8,90620000,417,11327480,217314
서울,마포구,202010,전문서비스,학원,학원-기타,0,2,318,1242542000,3917,3907366,317218
서울,마포구,202010,전문서비스,학원,학원-어학,0,1,159,299602000,933,1884289,321117
서울,마포구,202010,전문서비스,학원,학원-예체능,39,2,261,688787000,2032,2639030,338970
서울,마포구,202010,전문서비스,학원,학원-입시/보습,1,3,268,646423000,2925,2412025,220999
서울,마포구,202010,전문서비스,학원,학원-직업,0,0,27,417572000,934,15465620,447079
서울,마포구,202010,전문서비스,한의학,병원-한의학과,2,0,150,471310000,7587,3142068,62121
서울,마포구,202010,전문서비스,한의학,한의약품,0,0,2,2405000,2,1202613,1202613
서울,마포구,202010,종합유통,다단계판매,다단계,0,0,3,5184000,174,1728000,29793
서울,마포구,202010,종합유통,마트/슈퍼마켓,대형마트,0,0,11,4448948000,110228,404449805,40361
서울,마포구,202010,종합유통,마트/슈퍼마켓,슈퍼마켓 기업형,0,0,11,600329000,36636,54575370,16386
서울,마포구,202010,종합유통,마트/슈퍼마켓,슈퍼마켓 일반형,1,1,131,2789057000,155592,21290514,17925
서울,마포구,202010,종합유통,백화점,백화점,0,0,4,313691000,9321,78422778,33654
서울,마포구,202010,종합유통,온라인,전자상거래,13,0,297,170314680000,5107754,573450102,33344
서울,마포구,202010,종합유통,온라인,홈쇼핑,0,0,7,1128323000,23627,161188972,47756
서울,마포구,202010,종합유통,전용매장,복지매점,0,0,5,6986000,1538,1397278,4543
서울,마포구,202010,종합유통,편의점,편의점,6,5,469,3748313000,642578,7992140,5833
서울,마포구,202010,전문서비스,전문용역서비스,회계서비스,0,2,31,106969000,2244,3450619,47669
서울,마포구,202010,일반유통,침구류,침구류,1,0,11,41253000,300,3750247,137509
서울,마포구,202010,일반유통,컴퓨터소프트웨어,컴퓨터 소프트웨어,2,0,23,130238000,445,5662516,292669
서울,마포구,202010,일반유통,패션잡화,가방/핸드백,0,0,30,50030000,433,1667652,115542
서울,마포구,202010,일반유통,패션잡화,시계/귀금속,0,0,44,80783000,652,1835971,123900
서울,마포구,202010,일반유통,패션잡화,신발,0,0,40,175594000,3623,4389862,48467
서울,마포구,202010,일반유통,패션잡화,액세서리,3,4,159,257863000,13316,1621781,19365
서울,마포구,202010,일반유통,화장품,화장품,4,7,357,511392000,10495,1432471,48727
서울,마포구,202010,전문서비스,개인병원,병원-가정의학과,0,0,13,36623000,1360,2817140,26929
서울,마포구,202010,전문서비스,개인병원,병원-기타,0,0,1,196627000,2724,196626510,72183
서울,마포구,202010,전문서비스,개인병원,병원-내과,0,0,52,302659000,9549,5820361,31695
서울,마포구,202010,전문서비스,개인병원,병원-마취과,0,0,8,50895000,787,6361901,64670
서울,마포구,202010,전문서비스,개인병원,병원-비뇨기과,0,0,10,37135000,1241,3713489,29923
서울,마포구,202010,전문서비스,개인병원,병원-산부인과,0,0,27,190564000,3649,7057943,52224
서울,마포구,202010,전문서비스,개인병원,병원-성형외과,0,0,8,27035000,125,3379343,216278
서울,마포구,202010,전문서비스,개인병원,병원-소아과,0,0,21,79474000,2739,3784470,29016
서울,마포구,202010,전문서비스,개인병원,병원-신경외과,0,0,5,41615000,880,8323020,47290
서울,마포구,202010,전문서비스,개인병원,병원-신경정신과,0,0,11,19580000,1310,1779964,14946
서울,마포구,202010,전문서비스,개인병원,병원-안과,0,0,15,67092000,2741,4472782,24477
서울,마포구,202010,전문서비스,개인병원,병원-영상의학과,0,0,2,3652000,55,1826065,66402
서울,마포구,202010,전문서비스,개인병원,병원-외과,0,0,4,13269000,285,3317358,46559
서울,마포구,202010,전문서비스,개인병원,병원-이비인후과,0,0,32,133240000,5867,4163753,22710
서울,마포구,202010,전문서비스,개인병원,병원-일반,1,0,118,1384159000,15661,11730161,88383
서울,마포구,202010,전문서비스,개인병원,병원-재활의학과,1,0,8,100925000,1595,12615583,63276
서울,마포구,202010,전문서비스,개인병원,병원-정형외과,0,0,23,281821000,6240,12253088,45164
서울,마포구,202010,일반유통,주방,그릇/주방기기,0,0,27,47170000,674,1747042,69985
서울,마포구,202010,일반유통,전기/가전,전기자재/장비,0,0,7,5341000,231,762996,23121
서울,마포구,202010,일반유통,과학기자재,과학기기,0,0,20,1029601000,14464,51480057,71184
서울,마포구,202010,일반유통,기계류제조업,기계류 제조,1,0,1,1026000,8,1025600,128200
서울,마포구,202010,일반유통,기타제조업,가구 제조,0,0,1,386000,2,386000,193000
서울,마포구,202010,일반유통,기타제조업,기타 제조,0,1,27,49670000,3251,1839632,15278
서울,마포구,202010,일반유통,냉난방,냉난방기기,0,0,19,46384000,162,2441254,286320
서울,마포구,202010,일반유통,냉난방,보일러,0,0,1,275000,1,275000,275000
서울,마포구,202010,일반유통,문구용품,문구용품,3,2,101,396545000,19246,3926192,20604
서울,마포구,202010,일반유통,문구용품,복사대행,0,0,3,2778000,172,926073,16152
서울,마포구,202010,일반유통,생활용품,생활용품,4,3,139,814579000,46997,5860278,17333
서울,마포구,202010,일반유통,생활용품,유리/거울,0,0,6,5024000,23,837267,218417
서울,마포구,202010,일반유통,생활용품,인테리어 용품,0,0,1,8671000,504,8670700,17204
서울,마포구,202010,일반유통,생활용품,커튼/카페트/수예,0,0,25,34895000,297,1395789,117491
서울,마포구,202010,일반유통,서점,서점,1,1,89,158806000,5965,1784338,26623
서울,마포구,202010,일반유통,옷감/직물,섬유,0,0,7,11452000,266,1635929,43051
서울,마포구,202010,일반유통,의류,교복,0,0,3,1537000,43,512347,35745
서울,마포구,202010,일반유통,의류,내의,1,2,28,64116000,2294,2289846,27949
서울,마포구,202010,일반유통,의류,아동복/유아복,0,0,13,29893000,849,2299500,35210
서울,마포구,202010,일반유통,의류,의류,15,14,604,5068588000,69476,8391703,72955
서울,마포구,202010,일반유통,의류,의류-기타,0,0,1,275000,12,275000,22917
서울,마포구,202010,일반유통,의류,한복,0,0,5,8121000,12,1624200,676750
서울,마포구,202010,일반유통,자동차,수입차,0,0,6,2355719000,552,392619803,4267607
서울,마포구,202010,일반유통,자동차,오토바이,0,0,25,58541000,444,2341647,131849
서울,마포구,202010,일반유통,전기/가전,가전제품,0,0,40,2634095000,31477,65852377,83683
서울,마포구,202010,일반유통,전기/가전,조명기구,1,0,60,40980000,1754,683002,23364
서울,마포구,202010,일반유통,건설/건축,인테리어,0,0,6,28964000,12,4827330,2413665
서울,마포구,202010,전문서비스,개인병원,병원-치과,2,0,198,1138828000,8734,5751655,130390
서울,마포구,202010,전문서비스,의료기기,보청기,0,0,5,18445000,28,3689000,658750
서울,마포구,202010,전문서비스,의료기기,성인용품,0,1,6,28984000,630,4830713,46007
서울,마포구,202010,전문서비스,의료기기,안경점,1,0,118,655839000,5873,5557959,111670
서울,마포구,202010,전문서비스,의료기기,의료기기,1,1,55,370949000,875,6744536,423942
서울,마포구,202010,전문서비스,의료기기,치과기공소,0,0,1,3532000,3,3532000,1177333
서울,마포구,202010,전문서비스,인쇄/출판/광고,광고,5,0,99,202704000,1328,2047519,152639
서울,마포구,202010,전문서비스,인쇄/출판/광고,영상/방송,0,0,3,9123000,576,3041128,15839
서울,마포구,202010,전문서비스,인쇄/출판/광고,인쇄업,0,0,99,114273000,3912,1154271,29211
서울,마포구,202010,전문서비스,인쇄/출판/광고,정기간행물 발행,0,0,5,3955000,113,791000,35000
서울,마포구,202010,전문서비스,인쇄/출판/광고,출판사,0,0,13,6692000,93,514785,71959
서울,마포구,202010,전문서비스,임신출산,산후조리서비스,0,0,1,800000,10,800000,80000
서울,마포구,202010,전문서비스,임신출산,산후조리원,0,0,3,38132000,33,12710667,1155515
서울,마포구,202010,전문서비스,전문용역서비스,건축설계사무소,0,0,1,60000,1,60000,60000
서울,마포구,202010,전문서비스,전문용역서비스,농어업서비스,0,0,3,30396000,317,10131833,95885
서울,마포구,202010,전문서비스,전문용역서비스,번역/통역서비스,0,0,91,149186000,5914,1639402,25226
서울,마포구,202010,전문서비스,전문용역서비스,법무사,1,0,16,10430000,66,651869,158029
