광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,서초구,202012,전문서비스,전문용역서비스,공증인,0,0,2,1947000,38,973500,51237
서울,서초구,202012,전문서비스,전문용역서비스,농어업서비스,0,0,12,66249000,972,5520728,68157
서울,서초구,202012,전문서비스,전문용역서비스,문서/물품 서비스,0,0,1,57761000,12141,57760900,4758
서울,서초구,202012,전문서비스,전문용역서비스,번역/통역서비스,0,0,133,447812000,4126,3367004,108534
서울,서초구,202012,전문서비스,전문용역서비스,법무사,25,2,330,1515558000,2017,4592600,751392
서울,서초구,202012,전문서비스,전문용역서비스,변리사,0,0,1,-8845000,3,-8844630,-2948210
서울,서초구,202012,전문서비스,전문용역서비스,변호사,0,3,48,163939000,267,3415395,614004
서울,서초구,202012,전문서비스,전문용역서비스,세무사,0,0,3,3188000,8,1062801,398550
서울,서초구,202012,전문서비스,전문용역서비스,용역서비스-기타,0,0,4,1617000,6,404250,269500
서울,서초구,202012,전문서비스,전문용역서비스,이벤트/행사 대행,2,0,18,22648000,141,1258194,160621
서울,서초구,202012,전문서비스,전문용역서비스,청소/소독 대행,5,1,2,1221000,29,610500,42103
서울,서초구,202012,전문서비스,전문용역서비스,공인노무사,1,0,1,143000,1,143000,143000
서울,서초구,202012,전문서비스,전문용역서비스,환경측정/검사/평가서비스,0,0,2,2661000,2,1330500,1330500
서울,서초구,202012,전문서비스,학원,문화센터,0,0,3,7949000,60,2649657,132483
서울,서초구,202012,전문서비스,학원,학습지,0,0,5,58606000,216,11721250,271325
서울,서초구,202012,전문서비스,학원,학원-기타,0,5,478,2612235000,5959,5464927,438368
서울,서초구,202012,전문서비스,학원,학원-어학,0,0,190,754056000,2178,3968713,346215
서울,서초구,202012,전문서비스,학원,학원-예체능,27,12,154,622588000,1955,4042780,318459
서울,서초구,202012,전문서비스,학원,학원-입시/보습,0,8,340,641484000,1625,1886719,394760
서울,서초구,202012,전문서비스,학원,학원-직업,0,0,20,783176000,1559,39158815,502358
서울,서초구,202012,전문서비스,한의학,병원-한의학과,1,2,250,1540881000,12226,6163524,126033
서울,서초구,202012,전문서비스,한의학,한의약품,0,0,4,165187000,27,41296739,6118035
서울,서초구,202012,종합유통,다단계판매,다단계,0,0,1,2047000,18,2047000,113722
서울,서초구,202012,전문서비스,전문용역서비스,회계서비스,5,5,68,234360000,1370,3446473,171066
서울,서초구,202012,종합유통,마트/슈퍼마켓,대형마트,0,0,9,4173272000,63420,463696848,65804
서울,서초구,202012,전문서비스,전문용역서비스,고용알선/직업안내,0,0,1,60000,1,60000,60000
서울,서초구,202012,전문서비스,임신출산,산후조리원,0,0,4,50322000,42,12580550,1198148
서울,서초구,202012,전문서비스,상담,결혼정보회사,1,0,66,129753000,472,1965956,274901
서울,서초구,202012,전문서비스,상담,심리상담,0,0,33,55838000,266,1692061,209917
서울,서초구,202012,전문서비스,상조,상조서비스,0,0,5,160187000,225,32037362,711941
서울,서초구,202012,전문서비스,상조,장례식장,0,0,1,182668000,118,182668150,1548035
서울,서초구,202012,전문서비스,상품권,상품권/기프티콘,0,0,35,210332000,477,6009480,440947
서울,서초구,202012,전문서비스,약국,약국,4,0,244,1797523000,87210,7366897,20611
서울,서초구,202012,전문서비스,약국,제약회사,0,0,18,11972295000,2823,665127491,4240983
서울,서초구,202012,전문서비스,웨딩,예식서비스,0,0,6,18480000,41,3079933,450722
서울,서초구,202012,전문서비스,웨딩,예식장,0,0,7,49831000,134,7118646,371870
서울,서초구,202012,전문서비스,웨딩,혼수전문점,0,0,2,80000,2,40000,40000
서울,서초구,202012,전문서비스,전문용역서비스,건축설계사무소,0,0,3,4434000,6,1478000,739000
서울,서초구,202012,전문서비스,의료기관,대체의학,0,0,1,280000,4,280000,70000
서울,서초구,202012,전문서비스,의료기관,치료/발달센터,0,0,3,6050000,23,2016667,263043
서울,서초구,202012,전문서비스,의료기기,보청기,0,0,13,31066000,61,2389692,509279
서울,서초구,202012,전문서비스,의료기기,성인용품,0,0,1,551000,20,551000,27550
서울,서초구,202012,전문서비스,의료기기,안경점,4,1,108,700760000,3413,6488516,205321
서울,서초구,202012,전문서비스,의료기기,의료기기,2,1,112,1992177000,1980,17787299,1006150
서울,서초구,202012,전문서비스,의료기기,치과기공소,0,0,1,180000,1,180000,180000
서울,서초구,202012,전문서비스,인쇄/출판/광고,광고,8,1,62,205700000,848,3317747,242571
서울,서초구,202012,전문서비스,인쇄/출판/광고,인쇄업,3,0,93,164573000,2475,1769607,66494
서울,서초구,202012,전문서비스,인쇄/출판/광고,정기간행물 발행,0,0,6,2372000,46,395367,51570
서울,서초구,202012,전문서비스,인쇄/출판/광고,출판사,0,0,8,113514000,245,14189311,463324
서울,서초구,202012,전문서비스,임신출산,산후조리서비스,0,0,2,10270000,4,5135000,2567500
서울,서초구,202012,전문서비스,의료기관,요양원,0,0,14,2016501000,93,144035821,21682812
서울,서초구,202012,종합유통,마트/슈퍼마켓,슈퍼마켓 기업형,0,0,33,2236579000,109379,67775116,20448
서울,서초구,202012,종합유통,마트/슈퍼마켓,슈퍼마켓 일반형,1,0,105,2030663000,107162,19339650,18949
서울,서초구,202012,종합유통,면세점,면세점,0,0,1,11220000,37,11219530,303231
서울,서초구,202012,종합유통,백화점,백화점,0,0,9,28162920000,141518,3129213308,199006
서울,서초구,202012,종합유통,아울렛,아울렛,0,0,1,3310578000,70114,3310577910,47217
서울,서초구,202012,종합유통,온라인,대형 이커머스 ,0,0,1,85000,1,85000,85000
서울,서초구,202012,종합유통,온라인,전자상거래,10,0,93,63771998000,517954,685720409,123123
서울,서초구,202012,종합유통,온라인,홈쇼핑,0,0,13,15887296000,118542,1222099684,134023
서울,서초구,202012,종합유통,전용매장,복지매점,0,0,2,6622000,1303,3311135,5082
서울,서초구,202012,종합유통,전용매장,사원전용매장,0,0,1,22790000,832,22789790,27392
서울,서초구,202012,종합유통,편의점,편의점,6,4,442,3416484000,541247,7729602,6312
서울,서초구,202012,전문서비스,부동산,부동산중개,2,0,6,30147000,3539,5024518,8519
서울,서초구,202012,전문서비스,부동산,부동산-주택/아파트 임대,1,0,37,31959000,1137,863745,28108
서울,서초구,202012,일반유통,각종기기판매/서비스,휴대폰,0,0,7,3493000,194,498929,18003
서울,서초구,202012,일반유통,건설/건축,건축용자재/용품,3,0,137,501578000,3837,3661156,130721
서울,서초구,202012,일반유통,건설/건축,인테리어,0,0,9,51349000,177,5705425,290106
서울,서초구,202012,일반유통,건설/건축,페인트,0,1,9,8256000,156,917312,52922
서울,서초구,202012,일반유통,과학기자재,과학기기,0,1,43,456293000,456,10611459,1000642
서울,서초구,202012,일반유통,과학기자재,측량/제도/정밀기기,0,0,1,960000,8,960000,120000
서울,서초구,202012,일반유통,기계류제조업,기계류 제조,0,0,2,7838000,7,3919150,1119757
서울,서초구,202012,일반유통,기타제조업,가구 제조,0,0,1,2420000,1,2420000,2420000
서울,서초구,202012,일반유통,기타제조업,기타 제조,0,0,31,180124000,580,5810455,310559
서울,서초구,202012,일반유통,냉난방,냉난방기기,0,0,21,58967000,319,2807957,184850
서울,서초구,202012,일반유통,냉난방,보일러,0,0,1,690000,3,690000,230000
서울,서초구,202012,일반유통,각종기기판매/서비스,통신관련서비스,6,2,10,35092000,331,3509165,106017
서울,서초구,202012,일반유통,문구용품,문구용품,0,1,128,1112637000,28956,8692477,38425
서울,서초구,202012,일반유통,문구용품,학습교구,0,0,1,467000,1,467105,467105
서울,서초구,202012,일반유통,생활용품,생활용품,6,7,125,903101000,34796,7224808,25954
서울,서초구,202012,일반유통,생활용품,유리/거울,0,0,9,6078000,242,675327,25115
서울,서초구,202012,일반유통,생활용품,인테리어 용품,0,0,5,6621000,148,1324102,44733
서울,서초구,202012,일반유통,생활용품,커튼/카페트/수예,0,0,57,39928000,219,700497,182321
서울,서초구,202012,일반유통,서점,서점,1,3,98,250093000,4044,2551974,61843
서울,서초구,202012,일반유통,옷감/직물,섬유,1,0,8,3469000,59,433638,58798
서울,서초구,202012,일반유통,옷감/직물,한복/포목점,0,0,2,864000,12,432100,72017
서울,서초구,202012,일반유통,의류,교복,0,0,1,105000,2,105000,52500
서울,서초구,202012,일반유통,의류,내의,0,0,27,40030000,651,1482604,61491
서울,서초구,202012,일반유통,의류,아동복/유아복,0,0,11,4191000,66,380959,63493
서울,서초구,202012,일반유통,문구용품,복사대행,0,0,3,4592000,18,1530703,255117
서울,서초구,202012,일반유통,의류,의류,7,8,565,3734081000,59891,6608993,62348
서울,서초구,202012,일반유통,각종기기판매/서비스,컴퓨터/주변기기,5,4,175,413818000,2929,2364674,141283
서울,서초구,202012,일반유통,각종기기판매/서비스,사무용기기,0,0,52,197831000,6453,3804439,30657
서울,서초구,202012,음식,양식,스테이크,0,1,14,35984000,882,2570318,40799
서울,서초구,202012,음식,양식,양식,8,5,255,973686000,19447,3818375,50069
서울,서초구,202012,음식,양식,패밀리 레스토랑,0,0,9,228732000,3040,25414625,75241
서울,서초구,202012,음식,유흥주점,룸살롱/단란주점,1,1,4,831000,4,207625,207625
서울,서초구,202012,음식,유흥주점,일반 유흥주점,0,0,1,341000,3,341000,113667
서울,서초구,202012,음식,음료,주스,0,0,12,16937000,3182,1411394,5323
서울,서초구,202012,음식,음료,차,1,0,19,142001000,19130,7473731,7423
서울,서초구,202012,음식,음료,커피,6,2,506,819425000,111560,1619417,7345
서울,서초구,202012,음식,주점및주류판매,꼬치구이,0,0,10,21484000,307,2148405,69981
서울,서초구,202012,음식,주점및주류판매,맥주/요리주점,0,2,91,92135000,2711,1012471,33986
서울,서초구,202012,음식,주점및주류판매,민속주점,0,0,7,12492000,494,1784543,25287
서울,서초구,202012,일반유통,각종기기판매/서비스,자동판매기,1,0,13,9716000,2056,747414,4726
서울,서초구,202012,음식,주점및주류판매,주류,4,0,30,174625000,1656,5820817,105450
서울,서초구,202012,음식,패스트푸드,치킨,3,1,199,423268000,17569,2126975,24092
서울,서초구,202012,음식,패스트푸드,피자,3,1,68,197846000,7054,2909496,28047
서울,서초구,202012,음식,패스트푸드,햄버거,0,0,59,513678000,54148,8706398,9487
서울,서초구,202012,음식,한식,가정식,34,24,1529,5403667000,162301,3534118,33294
서울,서초구,202012,음식,한식,구내식당/푸드코트,0,2,26,141337000,11242,5436051,12572
서울,서초구,202012,음식,한식,기사식당,0,0,2,1693000,155,846500,10923
서울,서초구,202012,음식,한식,단품요리 전문,41,31,1916,5320653000,257582,2776959,20656
서울,서초구,202012,음식,한식,도시락,0,0,27,136966000,6033,5072827,22703
서울,서초구,202012,음식,한식,출장부페,0,0,3,17589000,172,5863080,102263
서울,서초구,202012,일반유통,가구,가구,4,1,76,326835000,962,4300457,339745
서울,서초구,202012,음식,주점및주류판매,포장마차,0,0,8,10806000,376,1350713,28739
서울,서초구,202012,일반유통,의류,의류 대여,0,0,1,115000,2,115000,57500
서울,서초구,202012,일반유통,의류,한복,0,0,2,870000,2,435000,435000
서울,서초구,202012,전문서비스,개인병원,병원-안과,1,0,42,5683849000,9359,135329729,607314
