광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
서울,영등포구,202011,생활서비스,수리점,가정용품 수리,1,2,67,95667000,1128,1427869,84811
서울,영등포구,202011,생활서비스,수리점,정보통신기기 수리,0,0,3,2434000,11,811333,221273
서울,영등포구,202011,생활서비스,연료,LPG가스,0,0,4,1881656000,13764,470413981,136709
서울,영등포구,202011,생활서비스,연료,가정용연료,0,1,32,220583000,1204,6893210,183208
서울,영등포구,202011,생활서비스,연료,주유소,0,0,34,2652290000,59901,78008524,44278
서울,영등포구,202011,생활서비스,열쇠/도장,도장,0,0,3,288000,8,95917,35969
서울,영등포구,202011,생활서비스,열쇠/도장,열쇠,0,0,28,12209000,234,436019,52173
서울,영등포구,202011,생활서비스,월납/세금,통신요금,0,0,1,2699721000,5076,2699720570,531860
서울,영등포구,202011,생활서비스,수리점,가전제품 수리,0,0,4,82044000,986,20511100,83209
서울,영등포구,202011,생활서비스,자동차-기타,렌터카,0,0,11,41489000,110,3771682,377168
서울,영등포구,202011,생활서비스,자동차-기타,주차장,2,0,508,621985000,106284,1224380,5852
서울,영등포구,202011,생활서비스,자동차정비,세차/광택,0,0,1,1750000,2,1750000,875000
서울,영등포구,202011,생활서비스,자동차정비,오토바이 용품,0,0,1,365000,3,365000,121667
서울,영등포구,202011,생활서비스,자동차정비,자동차 검사소,0,0,1,1238000,25,1238000,49520
서울,영등포구,202011,생활서비스,자동차정비,자동차 경정비,3,1,370,5865130000,6140,15851702,955233
서울,영등포구,202011,생활서비스,자동차정비,자동차 시트/타이어,2,0,31,172801000,683,5574211,253002
서울,영등포구,202011,생활서비스,자동차정비,중장비 판매,0,0,37,128724000,483,3479027,266509
서울,영등포구,202011,생활서비스,택시,택시,0,0,1,318000,25,317900,12716
서울,영등포구,202011,생활서비스,자동차-기타,자동차 견인,0,0,13,3867000,27,297462,143222
서울,영등포구,202011,생활서비스,화물운송업,콜밴,0,0,1,188000,3,187600,62533
서울,영등포구,202011,생활서비스,세탁소,세탁소,5,0,139,80584000,5602,579740,14385
서울,영등포구,202011,생활서비스,사회단체,종교단체,0,0,6,9844000,444,1640745,22172
서울,영등포구,202011,문화레져,전시/관람/체험,테마카페,0,0,3,2501000,192,833533,13024
서울,영등포구,202011,문화레져,종교,종교용품,0,0,2,3090000,4,1545000,772500
서울,영등포구,202011,문화레져,화원,꽃집/꽃배달,5,1,124,132759000,3656,1070640,36313
서울,영등포구,202011,문화레져,화원,화훼/조경,0,0,5,688000,28,137602,24572
서울,영등포구,202011,문화레져,휴게소,휴게소,0,0,1,182000,30,181800,6060
서울,영등포구,202011,생활서비스,기계/장비대여,정밀기기 대여,1,0,103,89720000,1081,871063,82997
