INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010001LI12210001000101171,20201201,49,화,11,서울특별시,1154,금천구,1,FEMALE,0,831.4378388,12.5098865
LI122100010001LI12210001000101172,20201201,49,화,11,서울특별시,1154,금천구,13,FEMALE,0,1358.490186,111.0069263
LI122100010001LI12210001000101173,20201201,49,화,11,서울특별시,1154,금천구,18,FEMALE,4,9074.450039,3398.645688
LI122100010001LI12210001000101174,20201201,49,화,11,서울특별시,1154,금천구,5,MALE,2,7681.090862,675.8817661
LI122100010001LI12210001000101175,20201201,49,화,11,서울특별시,1154,금천구,22,MALE,7,3982.142176,457.1526111
LI122100010001LI12210001000101176,20201201,49,화,11,서울특별시,1154,금천구,12,FEMALE,6,9462.899971,1686.161467
LI122100010001LI12210001000101177,20201201,49,화,11,서울특별시,1154,금천구,0,MALE,4,9762.42088,881.837483
LI122100010001LI12210001000101178,20201201,49,화,11,서울특별시,1154,금천구,22,MALE,5,9099.3816,1929.790133
LI122100010001LI12210001000101179,20201201,49,화,11,서울특별시,1154,금천구,8,MALE,5,12088.12554,4459.733085
LI122100010001LI122100010001011710,20201201,49,화,11,서울특별시,1154,금천구,15,MALE,4,9832.007478,2946.248742
LI122100010001LI122100010001011711,20201201,49,화,11,서울특별시,1154,금천구,15,FEMALE,2,7376.484162,1589.741307
LI122100010001LI122100010001011712,20201201,49,화,11,서울특별시,1154,금천구,16,FEMALE,6,7795.049126,2162.722495
LI122100010001LI122100010001011713,20201201,49,화,11,서울특별시,1154,금천구,22,FEMALE,1,6241.927889,1093.84507
LI122100010001LI122100010001011714,20201201,49,화,11,서울특별시,1154,금천구,6,MALE,6,7044.460826,2633.543545
LI122100010001LI122100010001011715,20201201,49,화,11,서울특별시,1154,금천구,10,MALE,6,9154.520848,2516.103848
LI122100010001LI122100010001011716,20201201,49,화,11,서울특별시,1154,금천구,14,FEMALE,5,12402.67366,2288.520481
LI122100010001LI122100010001011717,20201201,49,화,11,서울특별시,1154,금천구,4,MALE,3,9378.126178,584.2926795
LI122100010001LI122100010001011718,20201201,49,화,11,서울특별시,1154,금천구,2,FEMALE,1,6547.342706,366.7420797
LI122100010001LI122100010001011719,20201201,49,화,11,서울특별시,1154,금천구,11,MALE,6,9256.069432,2468.256589
LI122100010001LI122100010001011720,20201201,49,화,11,서울특별시,1154,금천구,8,FEMALE,4,10594.49485,4153.782267
LI122100010001LI122100010001011721,20201201,49,화,11,서울특별시,1154,금천구,15,FEMALE,0,1116.800028,181.2170031
LI122100010001LI122100010001011722,20201201,49,화,11,서울특별시,1154,금천구,17,FEMALE,5,10244.77147,3158.305503
LI122100010001LI122100010001011723,20201201,49,화,11,서울특별시,1154,금천구,22,FEMALE,4,7224.98914,1456.118689
LI122100010001LI122100010001011724,20201201,49,화,11,서울특별시,1154,금천구,16,FEMALE,0,966.7979553,136.0728967
LI122100010001LI122100010001011725,20201201,49,화,11,서울특별시,1154,금천구,21,MALE,3,8167.18756,2896.435374
LI122100010001LI122100010001011726,20201201,49,화,11,서울특별시,1154,금천구,19,MALE,7,4370.644888,871.7659483
LI122100010001LI122100010001011727,20201201,49,화,11,서울특별시,1154,금천구,23,FEMALE,5,9890.449676,948.1231685
LI122100010001LI122100010001011728,20201201,49,화,11,서울특별시,1154,금천구,9,FEMALE,3,11360.17535,2619.806491
LI122100010001LI122100010001011729,20201201,49,화,11,서울특별시,1154,금천구,12,MALE,2,10933.27142,1843.691367
LI122100010001LI122100010001011730,20201201,49,화,11,서울특별시,1154,금천구,22,MALE,0,553.9888535,42.77200556
LI122100010001LI122100010001011731,20201201,49,화,11,서울특별시,1154,금천구,18,MALE,0,730.6536663,105.8141754
LI122100010001LI122100010001011732,20201201,49,화,11,서울특별시,1154,금천구,11,FEMALE,0,1243.497811,65.34825253
LI122100010001LI122100010001011733,20201201,49,화,11,서울특별시,1154,금천구,1,FEMALE,2,7806.029511,578.851933
LI122100010001LI122100010001011734,20201201,49,화,11,서울특별시,1154,금천구,13,MALE,6,9310.146213,2318.280154
LI122100010001LI122100010001011735,20201201,49,화,11,서울특별시,1154,금천구,18,MALE,7,4483.781106,1194.774836
LI122100010001LI122100010001011736,20201201,49,화,11,서울특별시,1154,금천구,13,FEMALE,7,7563.579665,1268.992407
LI122100010001LI122100010001011737,20201201,49,화,11,서울특별시,1154,금천구,5,MALE,4,9013.957453,2324.752028
LI122100010001LI122100010001011738,20201201,49,화,11,서울특별시,1154,금천구,12,FEMALE,2,11424.76477,1612.495467
LI122100010001LI122100010001011739,20201201,49,화,11,서울특별시,1154,금천구,11,MALE,7,6051.947756,1508.60732
LI122100010001LI122100010001011740,20201201,49,화,11,서울특별시,1154,금천구,9,FEMALE,1,7649.509192,695.8007088
LI122100010001LI122100010001011741,20201201,49,화,11,서울특별시,1154,금천구,23,MALE,5,9427.837539,1410.557014
LI122100010001LI122100010001011742,20201201,49,화,11,서울특별시,1154,금천구,17,FEMALE,2,7648.001057,2071.904214
LI122100010001LI122100010001011743,20201201,49,화,11,서울특별시,1154,금천구,3,FEMALE,5,11159.62365,374.4782803
LI122100010001LI122100010001011744,20201201,49,화,11,서울특별시,1154,금천구,7,MALE,2,8035.351696,2141.926571
LI122100010001LI122100010001011745,20201201,49,화,11,서울특별시,1154,금천구,2,MALE,3,9097.423971,574.5657734
LI122100010001LI122100010001011746,20201201,49,화,11,서울특별시,1154,금천구,6,FEMALE,1,5503.678287,287.5266926
LI122100010001LI122100010001011747,20201201,49,화,11,서울특별시,1154,금천구,7,MALE,7,5199.592538,979.9999282
LI122100010001LI122100010001011748,20201201,49,화,11,서울특별시,1154,금천구,9,FEMALE,7,6850.029472,1007.769733
LI122100010001LI122100010001011749,20201201,49,화,11,서울특별시,1154,금천구,14,FEMALE,0,1292.824127,104.3528547
LI122100010001LI122100010001011750,20201201,49,화,11,서울특별시,1154,금천구,7,MALE,1,7491.94192,485.0481205
