INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010001LI12210001000101181,20201201,49,화,11,서울특별시,1135,노원구,9,MALE,2,10910.90084,2330.003547
LI122100010001LI12210001000101182,20201201,49,화,11,서울특별시,1135,노원구,19,FEMALE,6,11555.26742,2367.497618
LI122100010001LI12210001000101183,20201201,49,화,11,서울특별시,1135,노원구,4,FEMALE,4,15545.07283,558.8970819
LI122100010001LI12210001000101184,20201201,49,화,11,서울특별시,1135,노원구,4,MALE,4,12872.22055,820.9818076
LI122100010001LI12210001000101185,20201201,49,화,11,서울특별시,1135,노원구,5,FEMALE,1,15295.599,472.985148
LI122100010001LI12210001000101186,20201201,49,화,11,서울특별시,1135,노원구,3,MALE,7,8164.761614,380.4084839
LI122100010001LI12210001000101187,20201201,49,화,11,서울특별시,1135,노원구,19,MALE,7,7922.081451,1501.254723
LI122100010001LI12210001000101188,20201201,49,화,11,서울특별시,1135,노원구,5,FEMALE,2,10863.2356,644.9601878
LI122100010001LI12210001000101189,20201201,49,화,11,서울특별시,1135,노원구,22,MALE,5,12184.098,2671.968807
LI122100010001LI122100010001011810,20201201,49,화,11,서울특별시,1135,노원구,8,MALE,0,1304.947995,88.70814276
LI122100010001LI122100010001011811,20201201,49,화,11,서울특별시,1135,노원구,13,FEMALE,2,11378.96218,1918.211817
LI122100010001LI122100010001011812,20201201,49,화,11,서울특별시,1135,노원구,10,FEMALE,1,19065.73476,1414.140774
LI122100010001LI122100010001011813,20201201,49,화,11,서울특별시,1135,노원구,6,FEMALE,3,9048.687066,923.3420814
LI122100010001LI122100010001011814,20201201,49,화,11,서울특별시,1135,노원구,17,MALE,6,8870.259509,4314.787851
LI122100010001LI122100010001011815,20201201,49,화,11,서울특별시,1135,노원구,23,MALE,5,12649.50832,1860.776913
LI122100010001LI122100010001011816,20201201,49,화,11,서울특별시,1135,노원구,14,MALE,5,9387.068428,3116.932197
LI122100010001LI122100010001011817,20201201,49,화,11,서울특별시,1135,노원구,19,FEMALE,4,15796.55158,4403.818959
