INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010001LI12210001000101231,20201201,49,화,11,서울특별시,1144,마포구,17,MALE,7,4405.904614,1879.336077
LI122100010001LI12210001000101232,20201201,49,화,11,서울특별시,1144,마포구,5,FEMALE,4,8177.497077,589.4435521
LI122100010001LI12210001000101233,20201201,49,화,11,서울특별시,1144,마포구,23,MALE,4,7961.05484,2057.364806
LI122100010001LI12210001000101234,20201201,49,화,11,서울특별시,1144,마포구,0,FEMALE,2,11647.61961,1000.37174
LI122100010001LI12210001000101235,20201201,49,화,11,서울특별시,1144,마포구,2,FEMALE,4,8101.52464,335.1579903
LI122100010001LI12210001000101236,20201201,49,화,11,서울특별시,1144,마포구,21,MALE,2,10335.76226,3642.350443
LI122100010001LI12210001000101237,20201201,49,화,11,서울특별시,1144,마포구,18,FEMALE,7,5888.935528,1195.989706
LI122100010001LI12210001000101238,20201201,49,화,11,서울특별시,1144,마포구,15,FEMALE,6,7554.736438,2332.777344
LI122100010001LI12210001000101239,20201201,49,화,11,서울특별시,1144,마포구,1,MALE,1,6850.939544,349.3438365
LI122100010001LI122100010001012310,20201201,49,화,11,서울특별시,1144,마포구,11,FEMALE,2,14887.30414,2435.095889
LI122100010001LI122100010001012311,20201201,49,화,11,서울특별시,1144,마포구,1,MALE,7,3987.948442,217.5884278
LI122100010001LI122100010001012312,20201201,49,화,11,서울특별시,1144,마포구,8,FEMALE,0,649.3087146,73.31284261
LI122100010001LI122100010001012313,20201201,49,화,11,서울특별시,1144,마포구,17,FEMALE,7,6022.791742,1554.573467
LI122100010001LI122100010001012314,20201201,49,화,11,서울특별시,1144,마포구,19,MALE,6,5129.45899,2694.604189
LI122100010001LI122100010001012315,20201201,49,화,11,서울특별시,1144,마포구,19,FEMALE,1,8029.757848,1545.961377
LI122100010001LI122100010001012316,20201201,49,화,11,서울특별시,1144,마포구,11,FEMALE,3,12632.98134,2229.885871
LI122100010001LI122100010001012317,20201201,49,화,11,서울특별시,1144,마포구,0,FEMALE,0,644.3451986,20.20877647
LI122100010001LI122100010001012318,20201201,49,화,11,서울특별시,1144,마포구,1,MALE,2,9231.654319,888.1883526
LI122100010001LI122100010001012319,20201201,49,화,11,서울특별시,1144,마포구,6,MALE,2,7621.927997,1390.157706
LI122100010001LI122100010001012320,20201201,49,화,11,서울특별시,1144,마포구,7,MALE,1,6557.829754,642.876467
LI122100010001LI122100010001012321,20201201,49,화,11,서울특별시,1144,마포구,10,FEMALE,6,7878.020886,1974.393582
LI122100010001LI122100010001012322,20201201,49,화,11,서울특별시,1144,마포구,0,FEMALE,6,6559.18326,293.7345643
LI122100010001LI122100010001012323,20201201,49,화,11,서울특별시,1144,마포구,18,MALE,4,10827.00917,7196.99163
LI122100010001LI122100010001012324,20201201,49,화,11,서울특별시,1144,마포구,19,MALE,1,8308.803863,1542.820361
LI122100010001LI122100010001012325,20201201,49,화,11,서울특별시,1144,마포구,22,MALE,2,8970.261934,2746.91494
LI122100010001LI122100010001012326,20201201,49,화,11,서울특별시,1144,마포구,9,MALE,0,520.6590123,38.84039807
LI122100010001LI122100010001012327,20201201,49,화,11,서울특별시,1144,마포구,2,MALE,4,8430.181216,660.438131
LI122100010001LI122100010001012328,20201201,49,화,11,서울특별시,1144,마포구,8,MALE,2,9797.52033,4349.432188
LI122100010001LI122100010001012329,20201201,49,화,11,서울특별시,1144,마포구,8,MALE,3,10672.10093,7193.58688
LI122100010001LI122100010001012330,20201201,49,화,11,서울특별시,1144,마포구,13,MALE,2,12643.49709,2724.053028
LI122100010001LI122100010001012331,20201201,49,화,11,서울특별시,1144,마포구,5,FEMALE,1,5865.560729,289.049324
