INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010001LI12210001000101261,20201201,49,화,11,서울특별시,1120,성동구,19,MALE,6,5621.396506,2024.49363
LI122100010001LI12210001000101262,20201201,49,화,11,서울특별시,1120,성동구,11,FEMALE,6,7212.08192,1382.195753
LI122100010001LI12210001000101263,20201201,49,화,11,서울특별시,1120,성동구,2,FEMALE,2,8005.489338,460.096108
LI122100010001LI12210001000101264,20201201,49,화,11,서울특별시,1120,성동구,5,FEMALE,6,6541.185776,700.3726634
LI122100010001LI12210001000101265,20201201,49,화,11,서울특별시,1120,성동구,21,MALE,2,7711.713411,2458.539898
LI122100010001LI12210001000101266,20201201,49,화,11,서울특별시,1120,성동구,0,MALE,3,8038.940007,790.1007693
LI122100010001LI12210001000101267,20201201,49,화,11,서울특별시,1120,성동구,12,MALE,4,10649.32962,2407.130919
LI122100010001LI12210001000101268,20201201,49,화,11,서울특별시,1120,성동구,1,MALE,0,359.4028058,7.097590685
LI122100010001LI12210001000101269,20201201,49,화,11,서울특별시,1120,성동구,4,MALE,3,7683.320713,545.178938
LI122100010001LI122100010001012610,20201201,49,화,11,서울특별시,1120,성동구,16,MALE,1,5823.280837,1010.194123
LI122100010001LI122100010001012611,20201201,49,화,11,서울특별시,1120,성동구,7,MALE,7,4514.97615,1288.11263
LI122100010001LI122100010001012612,20201201,49,화,11,서울특별시,1120,성동구,17,MALE,3,8313.172321,2701.31183
LI122100010001LI122100010001012613,20201201,49,화,11,서울특별시,1120,성동구,13,FEMALE,2,11649.52809,1809.247504
LI122100010001LI122100010001012614,20201201,49,화,11,서울특별시,1120,성동구,12,MALE,3,10440.92159,2128.823475
LI122100010001LI122100010001012615,20201201,49,화,11,서울특별시,1120,성동구,1,FEMALE,5,8129.685504,300.7927626
LI122100010001LI122100010001012616,20201201,49,화,11,서울특별시,1120,성동구,20,MALE,0,370.5310109,9.026579618
LI122100010001LI122100010001012617,20201201,49,화,11,서울특별시,1120,성동구,3,MALE,3,7806.438177,520.525731
LI122100010001LI122100010001012618,20201201,49,화,11,서울특별시,1120,성동구,5,FEMALE,4,7268.582139,474.9493318
LI122100010001LI122100010001012619,20201201,49,화,11,서울특별시,1120,성동구,20,FEMALE,7,4640.997911,518.6537249
LI122100010001LI122100010001012620,20201201,49,화,11,서울특별시,1120,성동구,2,FEMALE,0,552.4078026,12.62276196
LI122100010001LI122100010001012621,20201201,49,화,11,서울특별시,1120,성동구,7,FEMALE,3,7887.187413,2132.636799
LI122100010001LI122100010001012622,20201201,49,화,11,서울특별시,1120,성동구,18,MALE,0,343.4336009,38.08091331
LI122100010001LI122100010001012623,20201201,49,화,11,서울특별시,1120,성동구,7,MALE,2,7900.865644,1777.477698
LI122100010001LI122100010001012624,20201201,49,화,11,서울특별시,1120,성동구,16,MALE,3,8350.594,2218.810809
LI122100010001LI122100010001012625,20201201,49,화,11,서울특별시,1120,성동구,6,FEMALE,0,506.5263312,13.36855483
LI122100010001LI122100010001012626,20201201,49,화,11,서울특별시,1120,성동구,12,FEMALE,3,10558.39066,1494.749967
LI122100010001LI122100010001012627,20201201,49,화,11,서울특별시,1120,성동구,14,FEMALE,6,7410.535667,1445.749338
LI122100010001LI122100010001012628,20201201,49,화,11,서울특별시,1120,성동구,6,MALE,4,6621.873577,2722.415511
