INDEX_KEY,CRTR_YMD,CRTR_WEEK,DWK_NM,CTPV_CD,CTPV_NM,SGG_CD,SGG_NM,TMZN_CD,SEX_DV,AGRDE_CLS,REVISN_AMBLT_PUL_CNT,REVISN_NMBLT_PUL_CNT
LI122100010001LI12210001000101321,20201201,49,화,11,서울특별시,1138,은평구,21,FEMALE,7,10176.48792,1029.517981
LI122100010001LI12210001000101322,20201201,49,화,11,서울특별시,1138,은평구,6,MALE,5,9331.420531,2791.511922
LI122100010001LI12210001000101323,20201201,49,화,11,서울특별시,1138,은평구,21,FEMALE,1,13050.20991,2051.890111
LI122100010001LI12210001000101324,20201201,49,화,11,서울특별시,1138,은평구,10,MALE,3,6550.950253,1538.236977
LI122100010001LI12210001000101325,20201201,49,화,11,서울특별시,1138,은평구,15,MALE,5,8117.761029,2879.309154
LI122100010001LI12210001000101326,20201201,49,화,11,서울특별시,1138,은평구,20,MALE,0,954.5352318,81.83634067
LI122100010001LI12210001000101327,20201201,49,화,11,서울특별시,1138,은평구,2,MALE,4,10460.45588,641.6610307
LI122100010001LI12210001000101328,20201201,49,화,11,서울특별시,1138,은평구,1,FEMALE,1,11903.64926,525.2202394
LI122100010001LI12210001000101329,20201201,49,화,11,서울특별시,1138,은평구,14,FEMALE,3,8393.914623,1496.919203
LI122100010001LI122100010001013210,20201201,49,화,11,서울특별시,1138,은평구,6,FEMALE,5,10499.20632,1217.916775
LI122100010001LI122100010001013211,20201201,49,화,11,서울특별시,1138,은평구,2,MALE,0,984.3771005,21.18104267
LI122100010001LI122100010001013212,20201201,49,화,11,서울특별시,1138,은평구,18,FEMALE,4,10919.51462,3901.31464
LI122100010001LI122100010001013213,20201201,49,화,11,서울특별시,1138,은평구,20,FEMALE,4,11841.9205,2485.015503
LI122100010001LI122100010001013214,20201201,49,화,11,서울특별시,1138,은평구,10,MALE,5,8511.921706,2548.252697
LI122100010001LI122100010001013215,20201201,49,화,11,서울특별시,1138,은평구,2,MALE,5,10674.61744,635.0882257
LI122100010001LI122100010001013216,20201201,49,화,11,서울특별시,1138,은평구,1,MALE,1,12390.29281,536.7521858
LI122100010001LI122100010001013217,20201201,49,화,11,서울특별시,1138,은평구,4,MALE,6,8827.623158,714.3823279
LI122100010001LI122100010001013218,20201201,49,화,11,서울특별시,1138,은평구,16,FEMALE,1,13464.93497,2002.3196
LI122100010001LI122100010001013219,20201201,49,화,11,서울특별시,1138,은평구,9,FEMALE,3,8990.306874,1783.929406
